dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,prix_unitaire
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Espagne,976.8,444,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Etats Sardes,79.2,36,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Etats romains,325.6,148,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Martinique,114.4,52,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Suisse,1918.4,872,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Toscane,376.2,171,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Turquie,459.8,209,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Ambre gris,Etats Sardes,9800,7000,57400,Grammes,1.4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Ambre gris,Sénégal,43400,31000,57400,Grammes,1.4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Ambre gris,Toscane,4200,3000,57400,Grammes,1.4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Alger,5346,1782,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Angleterre,1017,339,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Espagne,654,218,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Etats Sardes,516,172,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Etats barbares,4152,1384,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,R.de la Plata,222,74,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Toscane,861,287,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Turquie,1212,404,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Benjoin,Villes anséatiques,3414,1138,17394,Kilo,3
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; naturel,Espagne,12800,64,12800,Kilo,200
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; en grains,Espagne,93,93,93,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Alger,180.8,113,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Angleterre,1230.4,769,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Danemark,176,110,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Espagne,582.4,364,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Etats-Unis,536,335,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; Storax ; préparé ; liquide,Martinique,40,25,2746,Kilo,1.6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Alger,196,98,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Angleterre,936,468,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Belgique,1148,574,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Deux-Siciles,154,77,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Egypte,148,74,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Espagne,554,277,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Etats Sardes,2368,1184,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Haïti,188,94,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Martinique,36,18,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Pays-Bas,9640,4820,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Russie,1274,637,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Suisse,604,302,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,322,Baumes ; de Copahu,Villes anséatiques,7236,3618,24482,Kilo,2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; brut,Alger,72,18,15298,Kilo,4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; brut,Deux-Siciles,872,218,15298,Kilo,4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; brut,Ile Maurice,88,22,15298,Kilo,4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; brut,Villes anséatiques,14260,3565,15298,Kilo,4
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Espagne,23417.5,2755,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Etats Sardes,4505,530,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Etats barbares,1343,158,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Etats-Unis,33473,3938,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Grèce,722.5,85,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Guadeloupe,136,16,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Martinique,374,44,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,R.de la Plata,136,16,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Russie,20434,2404,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,St Thomas,867,102,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Suisse,629,74,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Camphre ; raffiné,Turquie,960.5,113,86998,Kilo,8.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Alger,100,10,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Angleterre,31970,3197,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Belgique,220,22,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Bourbon,410,41,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Cayenne,10,1,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Egypte,20,2,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Espagne,8670,867,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Etats Sardes,3290,329,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Grèce,20,2,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Guadeloupe,900,90,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Guyane anglaise,30,3,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Ile Maurice,530,53,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Martinique,2110,211,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Cantharides,Suisse,830,83,49110,Kilo,10
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Castoreum,Espagne,1360,17,75920,Kilo,80
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Castoreum,Etats Sardes,71760,897,75920,Kilo,80
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,298,Castoreum,Toscane,2800,35,75920,Kilo,80
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Belgique,1109.5,1585,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Brésil,372.4,532,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Cuba et P.R.,99.4,142,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Espagne,177.1,253,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Etats Sardes,22.4,32,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Etats-Unis,265.3,379,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Cornes de cerf et de snack,Suisse,212.8,304,2259,Kilo,0.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Alger,244,305,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Allemagne,85.6,107,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Angleterre,8,10,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Danemark,68.8,86,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Espagne,246.4,308,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Etats Sardes,518.4,648,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Etats romains,70.4,88,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Guadeloupe,17.6,22,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Ile Maurice,12,15,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Martinique,225.6,282,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Pays-Bas,64,80,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Portugal,8,10,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; autres,Villes anséatiques,91.2,114,1652,Kilo,0.8
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Alger,309,618,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Allemagne,19,38,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Belgique,934,1868,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Danemark,859,1718,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Etats Sardes,819.5,1639,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Pays-Bas,2580,5160,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Prusse,134.5,269,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Suisse,430.5,861,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Suède,67.5,135,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,"Ecorce ; de citron, d'orange et de leurs variétés",Villes anséatiques,2970.5,5941,9129,Kilo,0.5
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Allemagne,28956,4826,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Angleterre,78,13,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Danemark,420,70,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Deux-Siciles,354,59,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Espagne,3750,625,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Etats Sardes,56130,9355,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Etats barbares,564,94,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Etats romains,1104,184,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Etats-Unis,43842,7307,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Guadeloupe,72,12,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Martinique,780,130,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Pays-Bas,7104,1184,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Russie,948,158,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Suisse,390,65,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Toscane,510,85,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Turquie,426,71,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,329,Ecorce ; de quinquina,Villes anséatiques,714,119,104856,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Alger,3174,529,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Allemagne,606,101,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Angleterre,36,6,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Autriche,2856,476,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Belgique,11958,1993,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Bourbon,90,15,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Espagne,762,127,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Etats Sardes,180846,30141,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Etats-Unis,42,7,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Haïti,60,10,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Indes anglaises,18,3,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Martinique,24,4,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Pays-Bas,948,158,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,R.de la Plata,18,3,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Russie,2082,347,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Suisse,5868,978,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Suède,522,87,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; commune,Toscane,9312,1552,219222,Kilo,6
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Alger,1800,90,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Allemagne,20,1,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Angleterre,4080,204,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Autriche,6220,311,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Belgique,5280,264,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Bourbon,140,7,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Deux-Siciles,120,6,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Espagne,1940,97,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Etats Sardes,11540,577,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Guyane anglaise,280,14,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Ile Maurice,60,3,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Martinique,160,8,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Prusse,320,16,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Russie,1760,88,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Suisse,1800,90,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Suède,2340,117,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Toscane,20,1,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Turquie,1780,89,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,299,Eponges ; fines,Villes anséatiques,20,1,39680,Kilo,20
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Alger,959,959,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Allemagne,305,305,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Angleterre,76,76,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Autriche,118,118,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Belgique,532,532,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Bourbon,182,182,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Brésil,867,867,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Cuba et P.R.,100,100,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Danemark,4051,4051,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Etats Sardes,32,32,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Etats romains,13,13,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Etats-Unis,1585,1585,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Guadeloupe,78,78,15796,Kilo,1
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,330,Feuilles ; autres,Haïti,120,120,15796,Kilo,1
