numerodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantity,quantity_unit,value,prix_unitaire,Remarques
30,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Indigo,Rouen,Ile français d'amérique,8820,livres,,"2,6",
31,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Indigo,Rouen,Portugal,90,livres,,"2,6",
32,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Beurre salé,Rouen,Angleterre,629800,livres,,"0,5",
33,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Beurre salé,Rouen,Hollande,1640,livres,,"0,5",
34,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Beurre salé,Rouen,Nord,525,livres,,"0,5",
35,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Bœuf salé,Rouen,Angleterre,1580800,livres,,22,7904 barils
36,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Café,Rouen,Ile français d'amérique,43050,livres,,"0,7",
37,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Charbon de terre,Rouen,Angleterre,17585500,livres,,5,70342 barils
38,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Indigo,Rouen,Espagne,19470,livres,,"4,5",
39,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Indigo,Rouen,Hollande,4660,livres,,"4,5",
40,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1735,Imports,Indigo,Rouen,Ile français d'amérique,48350,livres,,"4,5",
41,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Beurre salé,Rouen,Angleterre,443900,livres,,"0,5",
42,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Beurre salé,Rouen,Hollande,2325,livres,,"0,5",
43,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Bœuf salé,Rouen,Angleterre,1871200,livres,,22,9356 barils
44,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Café,Rouen,Ile français d'amérique,448300,livres,,"0,7",
45,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Charbon de terre,Rouen,Angleterre,12877500,livres,,5,51510 barils
46,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Indigo,Rouen,Hollande,5800,livres,,"4,5",
47,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1736,Imports,Indigo,Rouen,Ile français d'amérique,113900,livres,,"4,5",
48,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Beurre salé,Rouen,Angleterre,706977,livres,,"0,5",
49,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Beurre salé,Rouen,Hollande,1895,livres,,"0,5",
50,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Bœuf salé,Rouen,Angleterre,2617800,livres,,22,13064 barils
51,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Bœuf salé,Rouen,Hollande,25,barils,,22,
52,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Café,Rouen,Espagne,125,livres,,"0,7",
53,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Café,Rouen,Ile français d'amérique,395557,livres,,"0,7",
54,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Charbon de terre,Rouen,Angleterre,25640250,livres,,5,102561 barils
55,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Indigo,Rouen,Espagne,2612,livres,,"4,5",
56,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Indigo,Rouen,Hollande,10916,livres,,"4,5",
57,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1737,Imports,Indigo,Rouen,Ile français d'amérique,140246,livres,,"4,5",
58,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Beurre salé,Rouen,Angleterre,961400,livres,,"0,5",
59,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Beurre salé,Rouen,Hollande,2650,livres,,"0,5",
60,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Beurre salé,Rouen,Nord,150,livres,,"0,5",
61,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Bœuf salé,Rouen,Angleterre,2960000,livres,,22,14800 barils
62,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Café,Rouen,Ile français d'amérique,1176500,livres,,"0,7",
63,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Charbon de terre,Rouen,Angleterre,18634750,livres,,5,74539 barils
64,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Indigo,Rouen,Hollande,4887,livres,,"4,5",
65,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1739,Imports,Indigo,Rouen,Ile français d'amérique,156506,livres,,"4,5",
66,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Beurre salé,Rouen,Angleterre,468900,livres,,"0,15",
67,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Beurre salé,Rouen,Hollande,3350,livres,,"0,9",
68,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Beurre salé,Rouen,Nord,75,livres,,"0,9",
69,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Bœuf salé,Rouen,Angleterre,10281,barils,,45,
70,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Café,Rouen,Hollande,160,livres,,"0,7",
71,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Café,Rouen,Ile français d'amérique,1765700,livres,,"0,7",
72,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Charbon de terre,Rouen,Angleterre,71335,barils,,5,
73,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Charbon de terre,Rouen,Danemark,25,barils,,5,
74,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Charbon de terre,Rouen,Hollande,695,barils,,5,
75,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Indigo,Rouen,Angleterre,45,livres,,"4,5",
76,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Indigo,Rouen,Hollande,879,livres,,"4,5",
77,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1740,Imports,Indigo,Rouen,Ile français d'amérique,64185,livres,,"4,5",
78,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Beurre salé,Rouen,Angleterre,111228,livres,,"0,9",
79,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Beurre salé,Rouen,Hollande,1691,livres,,"0,9",
80,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Beurre salé,Rouen,Ile français d'amérique,68,livres,,"0,9",
81,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Beurre salé,Rouen,Nord,87,livres,,"0,9",
82,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Bœuf salé,Rouen,Angleterre,83385,livres,,"0,15",
83,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Café,Rouen,Ile français d'amérique,1618239,livres,,"0,7",
84,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Charbon de terre,Rouen,Angleterre,53137,barils,,5,
85,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Charbon de terre,Rouen,Hollande,585,barils,,"6,5",
86,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Indigo,Rouen,Hollande,2446,livres,,"4,5",
87,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1741,Imports,Indigo,Rouen,Ile français d'amérique,132734,livres,,"4,5",
88,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Beurre salé,Rouen,Angleterre,371886,livres,,"0,9",
89,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Beurre salé,Rouen,Hollande,1662,livres,,"0,9",
90,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Beurre salé,Rouen,Nord,260,livres,,"0,9",
91,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Bœuf salé,Rouen,Angleterre,82000,livres,,"0,15",
92,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Bœuf salé,Rouen,Angleterre,460,barils,,45,
93,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Café,Rouen,Ile français d'amérique,1556852,livres,,"0,7",
94,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Charbon de terre,Rouen,Angleterre,23220,barils,,"6,5",
95,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Charbon de terre,Rouen,Hollande,527,barils,,"6,5",
96,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Charbon de terre,Rouen,Nord,1281,barils,,"6,5",
97,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Indigo,Rouen,Hollande,9538,livres,,"4,5",
98,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1742,Imports,Indigo,Rouen,Ile français d'amérique,108152,livres,,"4,5",
99,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Beurre salé,Rouen,Angleterre,1010697,livres,,"0,9",
100,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Beurre salé d’Irlande,Rouen,Hollande,27590,livres,,"0,9",
101,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Beurre salé de Hollande,Rouen,Hollande,7444,livres,,"0,9",
102,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Bœuf salé,Rouen,Angleterre,1219,barils,,45,
103,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Café,Rouen,Hollande,12,livres,,"0,7",
104,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Café,Rouen,Ile français d'amérique,1610243,livres,,"0,7",
105,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Café,Rouen,Nord,8,livres,,"0,7",
106,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Charbon de terre,Rouen,Angleterre,51816,barils,,"6,5",
107,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Indigo,Rouen,Espagne,865,livres,,"4,5",
108,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Indigo,Rouen,Ile français d'amérique,114572,livres,,"4,5",
109,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Indigo floré,Rouen,Hollande,3289,livres,,"4,5",
110,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1743,Imports,Indigo java,Rouen,Hollande,1140,livres,,"4,5",
111,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Beurre salé,Rouen,Angleterre,289685,livres,,"0,9",
112,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Beurre salé,Rouen,Danemark,29145,livres,,"0,9",
113,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Beurre salé,Rouen,Hollande,8822,livres,,"0,9",
114,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Bœuf salé,Rouen,Nord,2550,barils,,45,
115,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Café,Rouen,Ile français d'amérique,162243,livres,,"0,7",
116,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Angleterre,13145,barils,,"6,5",
117,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Angleterre,91,barils,,"6,5",
118,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Angleterre,1,barils,,"6,5",
119,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Danemark,2634,barils,,"6,5",
120,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Hollande,2593,barils,,"6,5",
121,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Charbon de terre,Rouen,Nord,943,barils,,"6,5",
122,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Indigo,Rouen,Espagne,3415,livres,,"4,5",
123,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Indigo,Rouen,Ile français d'amérique,96751,livres,,"4,5",
124,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Indigo floré,Rouen,Hollande,4267,livres,,"4,5",
125,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1744,Imports,Indigo java,Rouen,Hollande,1125,livres,,"4,5",
126,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Beurre salé,Rouen,Angleterre,145615,livres,,"0,9",
127,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Beurre salé,Rouen,Hollande,25015,livres,,"0,9",
128,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Beurre salé,Rouen,Nord,15935,livres,,"0,9",
129,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Bœuf salé,Rouen,Angleterre,10,barils,,40,
130,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Café,Rouen,Hollande,20,livres,,"0,7",
131,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Café,Rouen,Ile français d'amérique,68880,livres,,"0,7",
132,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Charbon de terre,Rouen,Angleterre,3641,barils,,"6,5",
133,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Charbon de terre,Rouen,Hollande,4225,barils,,"6,5",
134,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Charbon de terre,Rouen,Nord,7,barils,,"6,5",
135,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Charbon de terre,Rouen,Suéde,160,barils,,"6,5",
136,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Indigo,Rouen,Hollande,12095,livres,,"4,5",
137,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1745,Imports,Indigo,Rouen,Ile français d'amérique,80,livres,,"4,5",
138,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1746,Imports,Beurre salé,Rouen,Angleterre,295,livres,,"0,9",
139,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1746,Imports,Beurre salé,Rouen,Hollande,13005,livres,,"0,9",
140,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,53,1746,Imports,Charbon de terre,Rouen,Angleterre,5624,barils,,"6,5",
