numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
62,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Mercerie meslées,17 600,livres,85 000,
63,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Ornemens d'Eglise,,,32 000,
64,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Orfeverie et argenterie,1 700,marcs,89 400,
65,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Ouvrages divers,,,23 000,
66,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Ouvrage de cuivre doré et argenté,,,10 000,
67,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Ouvrages de Porcelaine,3 390,livres,21 900,
68,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Ouvrages de terre Cuite,,,140 500,
69,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Papier à Ecrire,75 500,livres,57 000,
70,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Parfumerie,,,13 500,
71,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Peaux apretées de Chevres,1 510,douzaines,106 000,
72,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Peaux de Chevreaux,2 940,douzaines,35 300,
73,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Plumes d'Autruche appretés,180,livres,14 500,
74,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Savon,87 900,livres,42 700,
75,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bœufs ,205,nombre,28 500,
76,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Moutons,2 130,nombre,16 000,
77,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Porcs,1 110,nombre,27 700,
78,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Vaches,200,nombre,12 700,
79,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Chevaux,95,nombre,45 800,
80,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Mulets,100,nombre,12 000,
81,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Bœurre ,1 435 200,livres,800 800,
82,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Chair de Bœuf Salée,5 395 600,livres,1 586 100,
83,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Chair de Porc,177 400,livres,64 200,
84,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,farine,154 600,livres,26 600,
85,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Poissons Salés et Saumon,98 300,livres,30 600,
86,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sucre en pain,158 200,livres,126 500,
87,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Metallique Litarge,26 300,livres,10 100,
88,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Pour la Peinture et la Teinture,,,18 600,
89,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,alun,486 400,livres,146 200,
90,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Couperose,239 400,livres,24 700,
91,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Objets divers de moindre Valeur,,,118 900,
92,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Beurre,60 500,livres,35 800,
93,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Chair de Porc Salée,38 700,livres,13 200,
94,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,farine,770 300,livres,88 800,
95,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,fruits cruds divers,,,16 100,
96,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,fruits divers,,,14 300,
97,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,fruits secs divers,,,11 100,
98,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,fruits pruneaux,665 200,livres,136 300,
99,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,fruits Raisins,41 100,livres,11 700,
100,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,huile d'olive,98 400,livres,53 900,
101,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Legume,1 538 100,livres,194 500,
102,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Miel,65 500,livres,13 100,
103,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sel,4 612 700,livres,41 300,
104,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Volaille,13 300,nombre,10 400,
105,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Eaux de Vie de Vin,34 098,muids,4 742 500,
106,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Eaux de Grain,7 680,muids,1 045 500,
107,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Liqueurs diverses,,,15 500,
108,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sirop capilaire,12 100,livres,10 300,
109,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sirop Melasse,41 100,,9 900,
110,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Vins divers,,,136 700,22430 bouteilles et 560 muids
111,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Vins de Bordeaux,,,2 575 700,4380 bouteilles et 18930 muids
112,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Vinaigre,1 590,muids,46 900,
113,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Meslées,,,12 300,
114,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Medecinales diverses,,,12 700,
115,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Medecinales Saffran,640,livres,13 000,
116,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Pour la Peinture et la Teinture,,,19 700,
117,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Indigo,21 730,livres,166 900,
118,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; huile de therebentine,58 700,livres,10 300,
119,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Droguerie ; Verdet,10 000,livres,14 300,
120,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Argent monnoyé en Piastres,,,300 000,
121,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Caffé,155 700,livres,124 600,
122,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Coton,277 700,livres,674 500,
123,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Indigo,84 100,livres,835 100,
124,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sucre blanc et terré,124 000,livres,68 200,
125,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Sucre en pain,4 000,livres,4 000,
126,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Caffé de Bourbon,14 300,livres,12 500,
127,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Coton en laine,75 000,livres,75 000,
128,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Thé,792 100,livres,1 762 000,
129,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Objets divers ,,,12 200,
130,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,5,Exports,Angleterre,Objets divers de moindre Valeur,,,242 100,
