numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,doubleaccounts
89,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Eau-de-vie double,Espagne,,88,muids,,,0
90,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Eau-de-vie simple,Espagne,,900,muids,,,1
91,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Eau-de-vie simple,Espagne,,216,pintes,,,2
92,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Epingles,Espagne,51721,,,,,0
93,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Etoffes mêlées,Espagne,30428,,,,,0
94,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Etoffes de laine ; poil et laine,Espagne,1819284,,,,,0
95,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Etoffes riches,Espagne,93960,,,,,0
96,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Etoffes de soie,Espagne,,14179,aunes,,,1
97,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Etoffes de soie,Espagne,,"314,7",quintaux,,,2
98,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Farine,Espagne,,1186,quintaux,,,0
99,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Fer et acier,Espagne,,"8371,38",quintaux,,,0
100,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Gaze de soie,Espagne,,"12,16",quintaux,,,0
101,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Gommes diverses,Espagne,161150,,,,,0
102,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Légumes divers,Espagne,,37430,quintaux,,,0
103,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Librairie,Espagne,131279,,,,,0
104,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Mercerie,Espagne,1177183,,,,,0
105,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Morue,Espagne,,"474,71",quintaux,,,0
106,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Mouchoirs de toutes sortes,Espagne,204662,,,,,0
107,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Noix de galle,Espagne,,"191,9",quintaux,,,0
108,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Papier à écrire,Espagne,,2576,rames,,,0
109,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Papier à écrire,Espagne,,"891,65",quintaux,,,2
110,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Parfumerie diverse,Espagne,34974,,,,,0
111,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Peaux,Espagne,170654,,,,,0
112,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Pelleteries mêlées,Espagne,10400,,,,,0
113,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Plomb,Espagne,,879,quintaux,,,0
114,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Poivre,Espagne,,"61,42",quintaux,,,0
115,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Poudre à tirer,Espagne,,85,quintaux,,,0
116,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Quincaillerie diverse,Espagne,124100,,,,,0
117,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Riz,Espagne,,"2558,74",quintaux,,,0
118,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Rubans de soie,Espagne,,"68,1",quintaux,,,0
119,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Savon,Espagne,,894,quintaux,,,0
120,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Sel de Saturne,Espagne,,"178,38",quintaux,,,0
121,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Soie par Marseille,Espagne,,"9,25",quintaux,,,0
122,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Tabac en feuilles par Bayonnne,Espagne,,"517,6",quintaux,,,0
123,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Tabac râpé par Dunkerque,Espagne,,1209,quintaux,,,0
125,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles mêlées de lin et de chanvre,Espagne,510831,,,,,0
126,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles de chanvre diverses,Espagne,925210,,,,,0
127,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles de coton diverses,Espagne,76868,,,,,0
128,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles de coton peintes,Espagne,51452,,,,,0
129,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles mousseline,Espagne,350528,,,,,0
130,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles de fil et coton diverses,Espagne,33273,,,,,0
131,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles de lin ; diverses,Espagne,3777473,,,,,0
132,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Toiles batiste et linon,Espagne,985932,,,,,0
133,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Verdet,Espagne,,"504,06",quintaux,,,0
134,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Verrerie,Espagne,28149,,,,,0
135,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins divers de France,Espagne,,326,muids,,,1
136,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins divers de France,Espagne,,46,pintes,,,2
137,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins de Bordeaux,Espagne,,1877,muids,,,1
138,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins de Bordeaux,Espagne,,106,pintes,,,2
139,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins du Languedoc,Espagne,,777,muids,,,1
140,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins du Languedoc,Espagne,,75,pintes,,,2
141,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Vins de liqueurs,Espagne,,109,muids,,,0
142,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Marchandises diverses ; mêlées en une infinité d'articles,Espagne,1206168,,,,,0
143,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Café,Espagne,,"28,37",quintaux,,,0
144,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Sucre brut,Espagne,,"2644,65",quintaux,,,0
145,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,43,Sucre terré,Espagne,,"979,65",quintaux,,,0
160,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Beurre,Portugal,,"498,55",quintaux,,,0
161,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Bray et goudron,Portugal,,"11119,6",quintaux,,,0
162,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Chairs salées de toutes sortes,Portugal,,862,quintaux,,,0
163,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Cuirs divers,Portugal,75437,,,,,0
164,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Draperies de toutes sortes,Portugal,429452,,,,,0
165,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Eau-de-vie simple,Portugal,,44,muids,,,1
166,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Eau-de-vie simple,Portugal,,138,pintes,,,2
167,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Eau-de-vie de genièvre,Portugal,,279,muids,,,1
168,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Eau-de-vie de genièvre,Portugal,,132,pintes,,,2
169,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Etoffes de laine ; poil et laine,Portugal,241659,,,,,0
170,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Etoffes de soie,Portugal,,35,quintaux,,,0
171,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Fers divers,Portugal,,770,quintaux,,,0
172,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Garence,Portugal,,92,quintaux,,,0
173,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Gaze de soie,Portugal,,75,livres,,,0
174,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Herbes à teindre,Portugal,35828,,,,,0
175,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Librairie,Portugal,56712,,,,,0
176,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Liqueurs,Portugal,18000,,,,,0
177,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Merceries,Portugal,57664,,,,,0
178,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Papiers à écrire,Portugal,,"1268,67",quintaux,,,0
179,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Papiers à écrire,Portugal,,7136,rames,,,0
180,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Papier peint et de couleur,Portugal,11550,,,,,0
181,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Peaux de toutes sortes ; apprêtées,Portugal,720048,,,,,0
182,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Quincaillerie de toutes sortes,Portugal,33101,,,,,0
183,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Rubans de soie,Portugal,,"25,75",quintaux,,,0
184,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Taffia et rhum étranger,Portugal,,33764,pintes,,,0
185,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,46,Tabac râpé,Portugal,,"33764,52",quintaux,,,0
186,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Thé étranger,Portugal,,45,quintaux,,,0
187,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Toiles de chanvre ; diverses,Portugal,60192,,,,,0
188,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Toiles de coton ; peintes,Portugal,4000,,,,,0
189,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Toiles de lin ; diverses,Portugal,74781,,,,,0
190,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Toiles batiste et linon,Portugal,95660,,,,,0
191,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Verrerie diverses,Portugal,9745,,,,,0
192,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,47,Marchandises diverses ; mêlées en une infinité d'articles,Portugal,210825,,,,,0
218,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Argent monnoyé en piastres ; par le Pont de Beauvoisin,Etats du Roi de Sardaigne,98280,,,,,0
219,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux et bêtes de sommes divers,Etats du Roi de Sardaigne,10780,,,,,0
220,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux ; bœufs,Etats du Roi de Sardaigne,,598,en nombre,,,0
221,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux ; moutons et brebis,Etats du Roi de Sardaigne,,2522,en nombre,,,0
222,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux ; porcs et porcelets,Etats du Roi de Sardaigne,,715,en nombre,,,0
223,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux ; chevaux,Etats du Roi de Sardaigne,,57,en nombre,,,0
224,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bestiaux ; mules et mulets,Etats du Roi de Sardaigne,,190,en nombre,,,0
225,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Blé froment ; par Marseille,Etats du Roi de Sardaigne,,1600,quintaux,,,0
226,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bonneteries diverses,Etats du Roi de Sardaigne,60792,,,,,0
227,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bonneteries de soie,Etats du Roi de Sardaigne,,"1,49",quintaux,,,0
228,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Bougie,Etats du Roi de Sardaigne,,"30,7",quintaux,,,0
229,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Cannelle,Etats du Roi de Sardaigne,,"15,28",quintaux,,,0
230,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Chapeaux divers,Etats du Roi de Sardaigne,119128,,,,,0
231,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Cire jaune,Etats du Roi de Sardaigne,,"605,62",quintaux,,,0
232,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Coton en laine ; du Levant,Etats du Roi de Sardaigne,,220,quintaux,,,0
233,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Coton filé,Etats du Roi de Sardaigne,,"566,78",quintaux,,,0
234,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Cuirs divers,Etats du Roi de Sardaigne,185215,,,,,0
235,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Dentelle de fil,Etats du Roi de Sardaigne,,"1,5",quintaux,,,0
236,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Dentelle de soie,Etats du Roi de Sardaigne,,"1,7",quintaux,,,0
237,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Draperie de toutes sortes,Etats du Roi de Sardaigne,531438,,,,,0
238,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Eau-de-vie double,Etats du Roi de Sardaigne,,20,muids,,,1
239,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Eau-de-vie double,Etats du Roi de Sardaigne,,254,pintes,,,2
240,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Eau-de-vie simple,Etats du Roi de Sardaigne,,293,muids,,,1
241,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Eau-de-vie simple,Etats du Roi de Sardaigne,,187,pintes,,,2
242,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Etoffe de coton,Etats du Roi de Sardaigne,14985,,,,,0
243,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,50,Etoffe de laine,Etats du Roi de Sardaigne,46080,,,,,0
248,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Etoffe riche,Etats du Roi de Sardaigne,175200,,,,,0
249,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Etoffe de soie,Etats du Roi de Sardaigne,,"137,5",quintaux,,,0
250,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Fers divers,Etats du Roi de Sardaigne,,2279,quintaux,,,0
251,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Filets à pêcher ; par Marseille,Etats du Roi de Sardaigne,99280,12410,paquets,,,0
252,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Fromage,Etats du Roi de Sardaigne,,"697,41",quintaux,,,0
253,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Garence et alisary,Etats du Roi de Sardaigne,,"481,13",quintaux,,,0
254,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Gaze de soie,Etats du Roi de Sardaigne,,"8,02",quintaux,,,0
255,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Horlogerie,Etats du Roi de Sardaigne,184997,,,,,0
256,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Huile d'olive,Etats du Roi de Sardaigne,,"330,92",quintaux,,,0
257,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Laines diverses ; par Marseille,Etats du Roi de Sardaigne,,"2345,28",quintaux,,,0
258,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Librairie,Etats du Roi de Sardaigne,39355,,,,,0
259,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Liqueurs diverses,Etats du Roi de Sardaigne,31222,,,,,0
260,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Mercerie,Etats du Roi de Sardaigne,170613,,,,,0
261,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Morue,Etats du Roi de Sardaigne,,"1796,12",quintaux,,,0
262,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Mouchoirs divers,Etats du Roi de Sardaigne,24080,,,,,0
263,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,51,Muscade,Etats du Roi de Sardaigne,,14,quintaux,,,0
