numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
21,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Etain,365000,livres,393000,
22,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Plomb,2094000,livres,634000,
23,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Objets divers a la Valeur,,,280011,
24,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Laines d'Espagne,128000,livres,279000,
25,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Bonneterie de Coton et de Soye,,,126000,
26,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Dentelle de fil,841,livres,841000,
27,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Dentelle de soye,6192,livres,2310000,
28,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Etoffes de Soye,3317,livres,179000,
29,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Etoffes mélées de soye,2606,livres,78000,
30,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Papiers,55000,livres,40000,
31,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Ruban de soye,672,livres,40000,
32,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Toile melée,,,71000,33000 aunes et 1600 livres
33,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Toiles batiste,333700,aunes,1982000,
34,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Bray et gaudron,408000,livres,40000,
35,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Cuirs tannés et corroyé,32000,livres,42000,
36,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Gands de Peau,8800,douzaines,106000,
37,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Glaces au tain,4620,livres,28000,
38,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Graines diverses,3014000,livres,446000,
39,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Liege,,,57000,
40,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Mercerie,19000,livres,57000,
41,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Orfevrerie en argent,710,marcs,36000,
42,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Ouvrage divers,,,41000,
43,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Porcelaine,,,26000,
44,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Therebanttine,140000,livres,26000,
45,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Beurre,51000,livres,30000,
46,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Bled froment,4458000,,445000,
47,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Eaux de vie,25000,muids,3429000,
48,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,farine,2825000,livres,428000,
49,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,fruits Secs,,,155000,
50,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,huitres,,,61000,
51,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Rhum de Prise,131,muids,41000,
52,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Sel,892,muids,34000,
53,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Vins,,,2312000,8556 muids et 37170 bouteillles
54,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Vinaigre,972,muids,28000,
55,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Bètes de Somme en chevaux,82,nombre,41000,
56,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Caffé,56000,livres,44000,
57,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Coton,69000,livres,155000,
58,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Indigo,38000,livres,379000,
59,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Sucre blanc et terré,67000,livres,37000,
60,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Thé,207607,livres,622000,
61,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Exports,Angleterre,Objets divers a la Valeur,,,863478,
