dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,pays,value,probleme,remarks
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Salonique,"113 113,00","-113 113,00",2 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Archypel,"672 934,00","-672 934,00",24 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Morée,"185 490,00","-185 490,00",6 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Candie,"684 546,00","-684 546,00",14 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Barbarie,"176 581,00","-176 581,00",19 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Constantinople,"23 480,00","-23 480,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Smirne,"187 526,00","-187 526,00",2 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Alexandrette,"587 425,00","-587 425,00",6 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Seydes,"326 234,00","-326 234,00",11 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Tripoly de Syrie,"48 272,00","-48 272,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Chypres,"61 242,00","-61 242,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Egypte,"520 287,00","-520 287,00",5 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Salonique,"86 162,00","-86 162,00",4 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Archypel,"1 043 834,00","-1 043 834,00",45 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Morée,"178 360,00","-178 360,00",8 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Candie,"323 582,00","-323 582,00",7 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,4,1722,Imports,Marseille,Barbarie,"43 993,00","-43 993,00",7 batiments
