numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,doubleaccounts
24,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Bestiaux de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",48302,,,,0
25,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Veaux,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,2916,nombre,,0
26,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Bœufs et vache,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,26558,nombre,,0
27,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Moutons et Brebis,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,39756,nombre,,0
28,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Porcs et porcelets,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,25229,nombre,,0
29,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,chevaux,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,12535,nombre,,0
30,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Mules et Mulets,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,325,nombre,,0
31,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Beurre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,371326,livres,,0
32,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Bières en muids,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"6136,35",muids,muid à 288 pintes,0
33,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Bières en bouteille,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,3162,bouteilles,,0
34,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Aiguilles à coudre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",248210,,,,0
35,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Alun,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,78780,livres,,0
36,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Amandes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1024109,livres,,0
37,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Amandes,"De l’Amérique, Isles Antilles ou Colonies françaises",,140412,livres,,0
38,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Amandes,Asie,,28687,livres,,0
39,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Amidon,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1231914,livres,,0
40,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Anchois,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,66485,livres,,0
41,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Antimoine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,23877,livres,,0
42,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Ardoises,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,14652500,nombres,,0
43,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Ardoises,"De l’Amérique, Isles Antilles ou Colonies françaises",,807000,nombres,,0
44,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Argent monnayé,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",6154193,,,,0
45,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Argent monnayé,"De l’Amérique, Isles Antilles ou Colonies françaises",102400,,,,0
46,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Argent monnayé,Asie,4802795,,,,0
47,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Armes diverses,"De l’Amérique, Isles Antilles ou Colonies françaises",71964,,,,0
48,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Armes diverses,Afrique,274187,,,,0
49,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Armes diverses,Asie,230273,,,,0
50,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Baleine coupée et en fanons,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,38520,livres,,0
51,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bestiaux de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",316501,,,,0
52,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bestiaux de toutes sortes,"De l’Amérique, Isles Antilles ou Colonies françaises",66600,,,,0
53,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Veaux,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,2350,nombres,,0
54,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bœufs et vache,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,12440,nombres,,0
55,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Moutons et Brebis,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,153021,nombres,,0
56,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Porcs et porcelets,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,61773,nombres,,0
57,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,chevaux,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,383,nombres,,0
58,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Mules et Mulets,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,13059,nombres,,0
59,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Beurre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,553341,livres,,0
60,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Beurre,"De l’Amérique, Isles Antilles ou Colonies françaises",,635620,livres,,0
61,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Beurre,Afrique,,81200,livres,,0
62,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Beurre,Asie,,74272,livres,,0
63,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Beurre,Pêches françaises,,167095,livres,,0
64,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bières en muids,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,3255,muids,,0
65,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bières en muids,"De l’Amérique, Isles Antilles ou Colonies françaises",,"1416,05",muids,,0
66,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bières en muids,Asie,,"631,1",muids,,0
67,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bières en bouteille,"De l’Amérique, Isles Antilles ou Colonies françaises",,58566,Bouteilles,,0
68,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bières en bouteille,Asie,,25705,Bouteilles,,0
69,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bijouterie,"De l’Amérique, Isles Antilles ou Colonies françaises",80045,,,,0
70,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Bijouterie,Asie,27150,,,,0
71,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Biscuit de mer,"De l’Amérique, Isles Antilles ou Colonies françaises",,1747621,livres,,0
72,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Biscuit de mer,Afrique,,271200,livres,,0
73,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Biscuit de mer,Asie,,356779,livres,,0
74,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,22,Biscuit de mer,Pêches françaises,,656735,livres,,0
75,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Blé-Froment,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,324450833,livres,,0
76,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Seigle,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,3323800,livres,,0
77,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Orge,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1234754,livres,,0
78,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Maïs,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,10848550,livres,,0
79,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bleu de Prusse,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,874,livres,,0
80,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bois divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",589157,,,,0
81,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bois à brûler,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",133105,,,,0
82,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bois de construction,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",1993622,,,,0
83,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,"Bois des îles et des Indes, pour teinture et marqueterie","De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",1820267,,,,0
84,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,"Bois des îles et des Indes, pour teinture et marqueterie","De l’Amérique, Isles Antilles ou Colonies françaises",186649,,,,0
85,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bois d'ébène,Asie,,100000,livres,,0
86,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bonneteries diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",21734,,,,0
87,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bonneteries de coton,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",146871,,,,0
88,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bonneteries de line,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",427999,,,,0
89,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Bourre de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,14397,livres,,0
90,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Boutons divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",16743,,,,0
91,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,"Bray, Goudron et Résine","De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,13884472,livres,,0
92,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Briques,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1311000,nombres,,0
93,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Brun rouge,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,560930,livres,,0
94,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Cacao,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1193276,livres,,0
95,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Cacao,"De l’Amérique, Isles Antilles ou Colonies françaises",,1293642,livres,,0
96,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Café divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1193276,livres,,0
97,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Café divers,"De l’Amérique, Isles Antilles ou Colonies françaises",,73629968,livres,,0
98,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Canelle,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,7806,livres,,0
99,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Cantarides,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,8000,livres,,0
100,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Carret,"De l’Amérique, Isles Antilles ou Colonies françaises",,10495,livres,,0
101,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Casse ou canefis,"De l’Amérique, Isles Antilles ou Colonies françaises",,"1439,74",livres,,0
102,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,23,Cauris,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",13350,,,,0
103,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Blé-Froment,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,10378750,livres,,0
104,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Seigle,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1490400,livres,,0
105,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Orge,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1716900,livres,,0
106,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Maïs,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,568750,livres,,0
107,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bois divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",510720,,,,0
108,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bois divers,"De l’Amérique, Isles Antilles ou Colonies françaises",505983,,,,0
109,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bois divers,Afrique,15452,,,,0
110,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bois divers,Asie,158796,,,,0
111,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,"Bois des îles et des Indes, pour teinture et marqueterie","De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",209810,,,,0
112,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneteries diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",2293108,,,,0
113,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneteries diverses,"De l’Amérique, Isles Antilles ou Colonies françaises",309103,,,,0
114,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneteries diverses,Afrique,15452,,,,0
115,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneterie diverses,Asie,158796,,,,0
116,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneteries de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,46338,livres,,0
117,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bonneteries de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,62089,paires,,0
118,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bouchons de Liège,"De l’Amérique, Isles Antilles ou Colonies françaises",38520,,,,0
119,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bouchons de Liège,Asie,16486,,,,0
120,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bougie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,49065,livres,,0
121,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bougie,"De l’Amérique, Isles Antilles ou Colonies françaises",,62261,livres,,0
122,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bougie,Afrique,,12690,livres,,0
123,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bougie,Asie,,42102,livres,,0
124,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Bourre de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,5200,livres,,0
125,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,"Bray, Goudron et Résine","De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,6648697,livres,,0
