numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,doubleaccounts
48,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Soudes,L'Espagne,4038,100950,Livres,.04,0,,0
49,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Tasses de vermillon,L'Espagne,288,48,Douzaines,6,0,,0
50,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Alun,L'Italie,74500,372500,Livres,.2,0,,0
51,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Agoutals de bois,L'Italie,540,90,Douzaines,6,0,,0
52,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Balais de palme,L'Italie,"472,5",315,Douzaines,1.5,0,,0
53,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Balais de paille de ris,L'Italie,"6,5",1.5,Douzaines,45,-25,,0
54,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Citrons,L'Italie,156,13,Caisses,12,0,,0
55,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Citrons,L'Italie,6880,344,Milliers,20,0,,0
56,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Confitures,L'Italie,"2058,55",2745,Livres,.75,-2,,0
57,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Couperose,L'Italie,3325,33250,Livres,.1,0,,0
58,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Chanure peigné,L'Italie,4545,10100,Livres,.45,0,,0
59,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Chanure cru,L'Italie,"11752,5",39175,Livres,.3,0,,0
60,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Cercles de tonneaux,L'Italie,70,14,Charges,5,0,,0
61,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Douves a tonneaux,L'Italie,9810,436,Charges,22,218,Erreur de calcul,0
62,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Douves a tonneaux,L'Italie,"337,5",4500,Nombre,.075,0,,0
63,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Esprit de bergamote,L'Italie,1800,60,Livres,30,0,,0
64,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Essence de bergamote,L'Italie,7200,240,Livres,30,0,,0
65,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Fromage parmesan,L'Italie,"212,5",425,Livres,.5,0,,0
66,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Fideaux,L'Italie,2615,13075,Livres,.2,0,,0
67,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Galles légères,L'Italie,"6596,25",43975,Livres,.15,0,,0
68,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Huile d'olive,L'Italie,"656976,25",1877075,Livres,.35,0,,0
69,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Iris,L'Italie,64,160,Livres,.4,0,,0
70,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Mâne de Calabre,L'Italie,"6231,25",4985,Livres,1.25,0,,0
71,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Morties de marbre,L'Italie,150,150,Nombre,1,0,,0
72,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,marbre à table,L'Italie,"3972,5",11350,Livres,.35,0,,0
73,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Marbre brut,L'Italie,400,2000,Livres,.2,0,,0
74,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Noisettes,L'Italie,"218,75",4375,Livres,.05,0,,0
75,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Oranges douces,L'Italie,5610,187,Milliers,30,0,,0
76,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Pistaches,L'Italie,240,240,Livres,1,0,,0
77,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Parapluis,L'Italie,250,5,Douzaines,50,0,,0
78,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Ris,L'Italie,26965,269650,Livres,.1,0,,0
79,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Saucissons,L'Italie,555,555,Livres,1,0,,0
80,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Sirop de cedra,L'Italie,15,20,Livres,.75,0,,0
81,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Souffre,L'Italie,"6857,5",68575,Livres,.1,0,,0
82,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Tableaux sur toile,L'Italie,200,40,Livres,5,0,,0
83,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Terre de fayence,L'Italie,1956,130400,Livres,0.015,0,,0
84,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Vermichel,L'Italie,1325,6625,Livres,.2,0,,0
85,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Beaume de la Meque,Le Levant,120,6,Livres,20,0,,0
86,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Babouches,Le Levant,40,54,Paires,.75,-5,,0
87,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Balais de palme,Le Levant,"115,5",77,Douzaines,1.5,0,,0
88,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Coque Levant,Le Levant,148,1480,Livres,.1,0,,0
89,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Coloquinte,Le Levant,120,60,Livres,2,0,,0
90,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Cire jaune,Le Levant,"71599,5",68190,Livres,1.05,0,,0
91,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Cuirs de beuf en poil,Le Levant,31860,2655,Nombre,12,0,,0
92,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Coton en laine,Le Levant,359075,718150,Livres,.5,0,,0
93,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Coton filé commun,Le Levant,22650,22650,Livres,1,0,,0
94,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Coton filé fin d'once,Le Levant,"312,5",250,Livres,1.25,0,,0
95,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Dattes,Le Levant,1191,7940,Livres,.15,0,,0
96,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Drogues communes,Le Levant,66000,52800,Livres,1.25,0,,0
97,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Elebore blanc,Le Levant,602,860,Livres,.7,0,,0
98,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Encens,Le Levant,"3787,5",5050,Livres,.75,0,,0
99,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Eponges,Le Levant,710,710,Livres,1,0,,0
100,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Fil de poil de chevre,Le Levant,9270,3090,Livres,3,0,,0
101,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Galles d'alep,Le Levant,26025,34700,Livres,.75,0,,0
102,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Gomme arabique,Le Levant,2407,7260,Livres,.4,-497,,0
103,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Gomme d'adragan,Le Levant,1500,25,Livres,.6,1485,Erreur de conversion?,0
104,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Huile d'olive,Le Levant,"226837,5",756125,Livres,.3,0,,0
105,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Jus de citron,Le Levant,"12442,5",7110,Livres,1.75,0,,0
106,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Jujubes,Le Levant,50,250,Livres,.2,0,,0
107,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Laine pellade,Le Levant,452200,1292000,Livres,.35,0,,0
108,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Laine surge,Le Levant,670635,1916100,Livres,.35,0,,0
109,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Lin peigné,Le Levant,30,30,Livres,1,0,,0
110,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Lin cru,Le Levant,150,150,Livres,1,0,,0
111,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Opium,Le Levant,14,2,Livres,7,0,,0
112,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Poil de chevre,Le Levant,"931,25",3725,Livres,.25,0,,0
113,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Pierres ponce,Le Levant,1335,13350,Livres,.1,0,,0
114,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Ris,Le Levant,"46106,25",307375,Livres,.15,0,,0
115,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Rubarbe,Le Levant,1080,27,Livres,40,0,,0
116,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Sené,Le Levant,4800,2400,Livres,2,0,,0
117,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Saxafra,Le Levant,75,150,Livres,.5,0,,0
118,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Sandarac,Le Levant,12,20,Livres,.6,0,,0
119,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Sel ammoniac,Le Levant,650,650,Livres,1,0,,0
120,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Sel de tamarins,Le Levant,"106,25",425,Livres,.25,0,,0
121,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Safranon,Le Levant,"423,75",2825,Livres,.15,0,,0
122,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Tamarins,Le Levant,285,380,Livres,.75,0,,0
123,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Turbit,Le Levant,45,10,Livres,4.5,0,,0
124,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,41,Vitriel de Chipre,Le Levant,825,1100,Livres,.75,0,,0
125,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Amandes cassées,La Hollande,9160,45800,Livres,.2,0,,0
126,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Amandes en coques,La Hollande,"102,5",1025,Livres,.1,0,,0
127,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Aristoloche,La Hollande,1075,4300,Livres,.25,0,,0
128,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Chataignes blanches,La Hollande,"2461,85",32825,Livres,.075,-3,,0
129,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Capres,La Hollande,225,450,Livres,.5,0,,0
130,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Confection d'hyacinte,La Hollande,456,38,Livres,12,0,,0
131,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Confection d'alkerme,La Hollande,120,30,Livres,4,0,,0
132,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Cristal de tartre,La Hollande,2091,5975,Livres,.35,-25,,0
133,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Eau de vie,La Hollande,"921237,5",368495,Livres,2.5,0,,0
134,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Eau de la reyne d'Hongrie,La Hollande,2820,4700,Livres,.6,0,,0
135,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Eau de fleur d'orange,La Hollande,"131,25",525,Livres,.25,0,,0
136,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Elebore,La Hollande,"94,5",135,Livres,.7,0,,0
137,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Fromage de Roquefort,La Hollande,4005,6675,Livres,.6,0,,0
138,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Figues,La Hollande,270,1350,Livres,.2,0,,0
139,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Fruit à l'eau de vie,La Hollande,215,430,Livres,.5,0,,0
140,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Graine de jardin,La Hollande,9549,31830,Livres,.3,0,,0
141,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Gans de senteur,La Hollande,1034,47,Livres,22,0,,0
142,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Huile d'olive,La Hollande,2470,6175,Livres,.4,0,,0
143,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Huile de senteur,La Hollande,6700,6700,Livres,1,0,,0
144,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Huile de laurier,La Hollande,350,700,Livres,.5,0,,0
145,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Huile d'aspic,La Hollande,88,220,Livres,.4,0,,0
146,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,42,Liqueurs a boire,La Hollande,40420,80840,Livres,.5,0,,0
147,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Liège,La Hollande,10490,52450,Livres,.2,0,,0
148,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Miel,La Hollande,270,675,Livres,.4,0,,0
149,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Olives,La Hollande,11384,28460,Livres,.4,0,,0
150,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Oignons de fleur,La Hollande,9,6,Livres,1.5,0,,0
151,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Prunes brugnolles,La Hollande,"1956,25",7825,Livres,.25,0,variété de prune,0
152,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Pommade de senteur,La Hollande,"187,5",75,Livres,2.5,0,,0
153,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Peaux de maroquin,La Hollande,990,33,Douzaines,30,0,,0
154,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Poil de chameau,La Hollande,"937,5",250,Livres,3.75,0,,0
155,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Raisin sec,La Hollande,645,4300,Livres,.15,0,,0
156,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Soye ouvrée,La Hollande,6432,268,Livres,24,0,,0
157,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Squine,La Hollande,"193,75",775,Livres,.25,0,,0
158,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Savon,La Hollande,"321,25",1285,Livres,.25,0,,0
159,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Exports,Montpellier,43,Soude,La Hollande,750,15000,Livres,.05,0,,0
