numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
31,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,224,Ipécacuana,44954,3458,44954,Kilo,13
32,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,226,Iris de Florence,47300,26278,47300,Kilo,1.8
33,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,226,Jalap,35289,11028,35289,Kilo,3.2
34,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,220,Jus de réglisse,379120,379120,379120,Kilo,1
35,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,234,Lichens médicinaux,943,3142,943,Kilo,0.3
36,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,220,Manne,158900,88278,158900,Kilo,1.8
37,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,330,Médicaments composés (Eaux distillées sans alcool),46210,9242,46210,Kilo,5
38,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,218,Opium,383392,11981,383392,Kilo,32
39,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,226,Racines ; autres,65361,21787,65361,Kilo,3
40,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,224,Rhubarbe,84040,16808,84040,Kilo,5
41,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,226,Réglisse,129348,287440,129348,Kilo,0.45
42,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,214,Résines ; Scammonée,39240,981,39240,Kilo,40
43,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,214,Résines ; Térébenthine ; compacte,1990,9950,1990,Kilo,0.2
44,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,214,Résines ; Térébenthine ; essence,100,166,100,Kilo,0.6
45,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,212,Résines ; Térébenthine liquide,651,4342,651,Kilo,0.15
46,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,226,Salesepareille,159552,53184,159552,Kilo,3
47,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,172,Sangsues,1009611,33653694,1009611,pièce,0.03
48,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,308,Sels ammoniacaux ; bruts ou en poudre,5131,2270,5131,Kilo,3.2
49,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,308,Sels ammoniacaux ; raffinés,0,0,0,Kilo,3.2
50,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,310,"Sels, sulfates ; de magnésie",9759,16266,9759,Kilo,0.6
51,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,218,Aloes,12960,5891,12960,Kilo,2.2
52,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,216,Baumes ; Benjoin,2763,921,2763,Kilo,3
53,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,216,Baumes ; Copahu,22084,11042,22084,Kilo,2
54,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,216,"Baumes ; Storax préparé, liquide",4806,3004,4806,Kilo,1.6
55,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,218,Camphre brut,74104,18526,74104,Kilo,4
56,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,220,Camphre raffiné,15776,1856,15776,Kilo,8.5
57,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,172,Cantharides,51810,5181,51810,Kilo,10
58,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,174,Castoreum,100560,1257,100560,Kilo,80
59,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,176,Cornes de cerf ; Râpures,4021,5744,4021,Kilo,0.7
60,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,176,Cornes de cerf ; en morceaux,416,594,416,Kilo,0.7
61,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,228,Ecorces ; autres,881,1101,881,Kilo,0.8
62,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,228,Ecorces ; de Quinquina,1386640,173330,1386640,Kilo,8
63,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,228,"Ecorces ; de citrons, d'oranges et de leurs variétés",10418,20835,10418,Kilo,0.5
64,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,174,Eponges ; communes,353910,70782,353910,Kilo,5
65,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,174,Eponges ; fines,143072,8942,143072,Kilo,16
66,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,230,Feuilles ; Autres,524,524,524,Kilo,1
67,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,230,Feuilles ; d'oranger,37062,37062,37062,Kilo,1
68,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,230,Feuilles ; de Séné,126165,36047,126165,Kilo,3.5
69,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,230,Fleurs ; Autres,3569,3569,3569,Kilo,1
70,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,230,Fleurs ; de Lavande et d'oranger,183466,91733,183466,Kilo,2
71,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,234,Fruits ; Autres,33821,33821,33821,Kilo,1
72,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,232,Fruits ; Badiane ou Anis étoilé de la Chine,10372,5186,10372,Kilo,2
73,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,234,Fruits ; Barbotine,1742,5808,1742,Kilo,0.3
74,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,232,Fruits ; Casse sans apprêt,59766,39844,59766,Kilo,1.5
75,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,234,Fruits ; Follicules de séné,39575,14134,39575,Kilo,2.8
76,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,232,Fruits ; Graine de moutarde,40033,80065,40033,Kilo,0.5
77,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,232,Fruits ; Tamarins ; confits dans le sucre,1399,933,1399,Kilo,1.5
78,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,232,Fruits ; Tamarins ; en gousses,3494,7764,3494,Kilo,0.45
79,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,228,Herbes ; Absinthe,1148,2295,1148,Kilo,0.5
80,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,228,Herbes ; Autres,2693,5385,2693,Kilo,0.5
81,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,224,Ipécacuana,15275,1175,15275,Kilo,13
82,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,226,Iris de Florence,25366,14092,25366,Kilo,1.8
83,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,226,Jalap,182384,56995,182384,Kilo,3.2
84,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,220,Jus de réglisse,372539,372539,372539,Kilo,1
85,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,234,Lichens médicinaux,1389,4630,1389,Kilo,0.3
86,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,220,Manne,103401,57445,103401,Kilo,1.8
87,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,330,Médicaments composés (Eaux distillées sans alcool),10405,2081,10405,Kilo,5
88,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,218,Opium,475520,14860,475520,Kilo,32
89,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,226,Racines ; autres,112203,37401,112203,Kilo,3
90,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,224,Rhubarbe,25365,5073,25365,Kilo,5
91,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,226,Réglisse,100240,222755,100240,Kilo,0.45
92,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,214,Résines ; Scammonée,21480,537,21480,Kilo,40
93,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,214,Résines ; Térébenthine ; compacte,822,4108,822,Kilo,0.2
94,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,214,Résines ; Térébenthine ; essence,409,681,409,Kilo,0.6
95,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,212,Résines ; Térébenthine liquide,5486,36571,5486,Kilo,0.15
96,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,226,Salesepareille,271215,90405,271215,Kilo,3
97,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,172,Sangsues,809457,26981900,809457,pièce,0.03
98,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,308,Sels ammoniacaux ; bruts ou en poudre,8834,2938,8834,Kilo,3.2
99,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,308,Sels ammoniacaux ; raffinés,0,0,0,Kilo,3.2
100,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1828,Imports,310,"Sels, sulfates ; de magnésie",8294,13824,8294,Kilo,0.6
101,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,218,Aloes,16546,7521,16546,Kilo,2.2
102,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,216,Baumes ; Benjoin,28338,9446,28338,Kilo,3
103,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,216,Baumes ; Copahu,26536,13268,26536,Kilo,2
104,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,216,"Baumes ; Storax préparé, liquide",4107,2567,4107,Kilo,1.6
105,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,218,Camphre brut,78336,19584,78336,Kilo,4
106,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,220,Camphre raffiné,16295,1917,16295,Kilo,8.5
107,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,172,Cantharides,55710,5571,55710,Kilo,10
108,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,174,Castoreum,2000,25,2000,Kilo,80
109,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,176,Cornes de cerf ; Râpures,804,1148,804,Kilo,0.7
110,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,176,Cornes de cerf ; en morceaux,1235,1765,1235,Kilo,0.7
111,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,228,Ecorces ; autres,727,909,727,Kilo,0.8
112,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,228,Ecorces ; de Quinquina,4598088,574761,4598088,Kilo,8
113,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,228,"Ecorces ; de citrons, d'oranges et de leurs variétés",10032,20064,10032,Kilo,0.5
114,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,174,Eponges ; communes,324005,64801,324005,Kilo,5
115,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,174,Eponges ; fines,144464,9029,144464,Kilo,16
116,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,230,Feuilles ; Autres,518,518,518,Kilo,1
117,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,230,Feuilles ; d'oranger,44523,44523,44523,Kilo,1
118,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,230,Feuilles ; de Séné,150181,42909,150181,Kilo,3.5
119,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,230,Fleurs ; Autres,10555,10555,10555,Kilo,1
120,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,230,Fleurs ; de Lavande et d'oranger,316352,158176,316352,Kilo,2
121,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,234,Fruits ; Autres,32686,32686,32686,Kilo,1
122,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,232,Fruits ; Badiane ou Anis étoilé de la Chine,53864,26932,53864,Kilo,2
123,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,234,Fruits ; Barbotine,637,2122,637,Kilo,0.3
124,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,232,Fruits ; Casse sans apprêt,109170,72780,109170,Kilo,1.5
125,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,234,Fruits ; Follicules de séné,15061,5379,15061,Kilo,2.8
126,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,232,Fruits ; Graine de moutarde,29670,59340,29670,Kilo,0.5
127,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,232,Fruits ; Tamarins ; confits dans le sucre,1942,1295,1942,Kilo,1.5
128,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,232,Fruits ; Tamarins ; en gousses,1135,2522,1135,Kilo,0.45
129,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,228,Herbes ; Absinthe,1269,2539,1269,Kilo,0.5
130,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,228,Herbes ; Autres,3980,7961,3980,Kilo,0.5
131,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,224,Ipécacuana,7553,581,7553,Kilo,13
132,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,226,Iris de Florence,51167,28426,51167,Kilo,1.8
133,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,226,Jalap,334800,104625,334800,Kilo,3.2
134,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,220,Jus de réglisse,463544,463544,463544,Kilo,1
135,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,234,Lichens médicinaux,704,2346,704,Kilo,0.3
136,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,220,Manne,171719,95399,171719,Kilo,1.8
137,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,330,Médicaments composés (Eaux distillées sans alcool),17370,3474,17370,Kilo,5
138,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,218,Opium,170624,5332,170624,Kilo,32
139,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,226,Racines ; autres,93462,31154,93462,Kilo,3
140,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,224,Rhubarbe,32425,6485,32425,Kilo,5
141,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,226,Réglisse,129328,287394,129328,Kilo,0.45
142,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,214,Résines ; Scammonée,69520,1738,69520,Kilo,40
143,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,214,Résines ; Térébenthine ; compacte,807,4038,807,Kilo,0.2
144,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,214,Résines ; Térébenthine ; essence,1214,2024,1214,Kilo,0.6
145,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,212,Résines ; Térébenthine liquide,4910,32732,4910,Kilo,0.15
146,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,226,Salesepareille,609606,203202,609606,Kilo,3
147,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,172,Sangsues,1337212,44573754,1337212,pièce,0.03
148,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,308,Sels ammoniacaux ; bruts ou en poudre,6265,1988,6265,Kilo,3.2
149,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,308,Sels ammoniacaux ; raffinés,0,0,0,Kilo,3.2
150,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1829,Imports,310,"Sels, sulfates ; de magnésie",2067,3445,2067,Kilo,0.6
151,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1830,Imports,218,Aloes,12181,5537,12181,Kilo,2.2
152,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1830,Imports,216,Baumes ; Benjoin,15291,5097,15291,Kilo,3
