numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée,probleme,remarks
13,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,canons de fer de 4 livres de balles,Rennes,d'Angleterre,"343,00",pièces,"200,00000",,,,,"68 600,00",,
14,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,caraffes de verre,Rennes,d'Angleterre,"8,00",pièces,"0,50000",,,,,"4,00",,
15,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,chandelles moullées,Rennes,d'Angleterre,"12,00",boites,"72,00000",,,,,"864,00",,
16,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,chandelles moullées,Rennes,d'Angleterre,"1 800,00",Livres,"0,45000",,,,,"810,00",,
17,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chanvre,Rennes,d'Angleterre,"80 000,00",Livres,"0,20000",,,,,"16 000,00",,
18,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chardon de terre,Rennes,d'Angleterre,"3 120,00",barils,"6,00000",,,,,"18 720,00",,
19,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chardon de terre,Rennes,d'Angleterre,"251,00",bariques,"10,00000",,,,,"2 510,00",,
20,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chardon de terre,Rennes,d'Angleterre,"1 281,00",juttes,"0,00000",,,,,"0,00",,pas d'indication de prix
21,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chardon de terre,Rennes,d'Angleterre,"186,50",tonneaux,"40,00000",,,,,"7 460,00",,
22,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,chardon de terre,Rennes,d'Angleterre,"185 250,00",Livres,"0,04000",,,,,"7 410,00",,
23,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,cire jaune,Rennes,d'Angleterre,"2 934,00",Livres,"2,00000",,,,,"5 868,00",,
24,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,cordage,Rennes,d'Angleterre,"6 000,00",Livres,"0,28000",,,,,"1 680,00",,
25,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,Creusets,Rennes,d'Angleterre,"2,00",boucauds,"50,00000",,,,,"100,00",,
26,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,cuir de bœuf,Rennes,d'Angleterre,"401,00",pièces,"21,00000",,,,,"8 421,00",,
27,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,Draches,Rennes,d'Angleterre,"1,00",baril,"6,00000",,,,,"6,00",,
28,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,farinne,Rennes,d'Angleterre,"57 007,00",Livres,"0,15000",,,,,"8 551,05",,
29,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,fer ouvré,Rennes,d'Angleterre,"1,00",valeur,,,,,600,"600,00",,valeur de 600 lt
30,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,fromage,Rennes,d'Angleterre,"4 050,00",Livres,"0,30000",,,,,"1 215,00",,
31,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,fromage,Rennes,d'Angleterre,"1,00",valeur,,,,,40,"40,00",,valeur de 40 livres
32,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,graisse de porc,Rennes,d'Angleterre,"3,00",barils,"5,00000",,,,,"15,00",,
33,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,huille de lin,Rennes,d'Angleterre,"6,00",barriques,"150,00000",,,,,"900,00",,barrique de 800 livres poids
34,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,huille de poisson,Rennes,d'Angleterre,"1,00",baril,"30,00000",,,,,"30,00",,barril de 266 livres poids
35,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,huille de poisson,Rennes,d'Angleterre,"37,00",barriques,"140,00000",,,,,"5 180,00",,
36,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,lainne fillée,Rennes,d'Angleterre,"1 123,00",Livres,"2,50000",,,,,"2 807,50",,
37,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,lainne non fillée,Rennes,d'Angleterre,"95,00",Livres,"1,50000",,,,,"142,50",,
38,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,langue de bœuf,Rennes,d'Angleterre,"10,00",baril,"30,00000",,,,,"300,00",,type de monnaie non précisé
39,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,langue de bœuf,Rennes,d'Angleterre,"3,00",frequins,"30,00000",,,,,"90,00",,type de monnaie non précisé
40,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,lard,Rennes,d'Angleterre,"20,00",barriques,"150,00000",,,,,"3 000,00",,
41,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,lard,Rennes,d'Angleterre,"14,00",frequins,"60,00000",,,,,"840,00",,
42,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,lie d'huille,Rennes,d'Angleterre,"1,00",valeur,,,,,15,"15,00",,valeur de 15 Lt cy
43,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,2,1749,maquereaux sallés,Rennes,d'Angleterre,"84,00",baril,"20,00000",,,,,"1 680,00",,
44,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,matures,Rennes,d'Angleterre,"5,00",pièces,"120,00000",,,,,"600,00",,
45,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,Moelle de bœuf,Rennes,d'Angleterre,"1,00",valeur,,,,,40,"40,00",,valeur de 40 Lt cy
46,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,morue seche,Rennes,d'Angleterre,"5 500,00",Livres,"0,25000",,,,,"1 375,00",,
47,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,morue seche,Rennes,d'Angleterre,"1,00",valeur,,,,,200,"200,00",,valeur de 200 Lt cy
48,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,ocre jaune,Rennes,d'Angleterre,"440,00",Livres,"0,05000",,,,,"22,00",,
49,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,patattes,Rennes,d'Angleterre,"1,00",valeur,,,,,4,"4,00",,valeur de 4 Lt cy
50,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,paumelles,Rennes,d'Angleterre,"1 392,00",boisseaux,"3,00000",,,,,"4 176,00",,
51,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,pipes à fumer,Rennes,d'Angleterre,"1,00",grosse,"2,25000",,,,,"2,25",,
52,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,plomb en saumon,Rennes,d'Angleterre,"29 900,00",Livres,"0,20000",,,,,"5 980,00",,
53,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,poil de bœuf fillé,Rennes,d'Angleterre,"305,00",Livres,"0,25000",,,,,"76,25",,
54,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,suif,Rennes,d'Angleterre,"2 200,00",Livres,"0,30000",,,,,"660,00",,
55,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,tabac de Virginie en feuille,Rennes,d'Angleterre,"171,00",boucauds,"0,25000",,,,,"42,75",,
56,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,tabac de Virginie en feuille,Rennes,d'Angleterre,"1 945 089,00",Livres,"0,25000",,,,,"486 272,25",,
57,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,toile de coton des Indes,Rennes,d'Angleterre,"341,00",balles,"0,00000",,,,,"0,00",,"1lt15s la toile, mais pas de prix pour la balle"
58,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,anspects,Rennes,De Danemark,"14,00",douzaines,"3,00000",,,,,"42,00",,vérifié sur l'objet de 1749 Danemark
59,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,avirons,Rennes,De Danemark,"168,00",pièces,"1,50000",,,,,"252,00",,Il s'agit probablement de traques pas d'unités...
60,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,barres d'anspects,Rennes,De Danemark,"24,00",pièces,"1,50000",,,,,"36,00",,
61,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,cabilleaux,Rennes,De Danemark,"19,00",barils,,,,,,,,"12 sous le cabillaud ou la livre, mais pas prix pour le baril. Je l'ai récupéré dans l'objet"
62,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,Cheverons,Rennes,De Danemark,"964,00",en nombre,"1,00000",,,,,"964,00",,
63,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,demoiselles,Rennes,De Danemark,"250,00",en nombre,"0,80000",,,,,"200,00",,"pas d'indication de prix, prix récupéré par l'objet"
64,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,fer en barre,Rennes,De Danemark,"14 000,00",Livres,"0,11000",,,,,"1 540,00",,
65,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,gaudron,Rennes,De Danemark,"23,00",barils,"25,00000",,,,,"575,00",,
66,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,gaulles de 30 pieds,Rennes,De Danemark,"13,00",en nombre,"6,00000",,,,,"78,00",,
67,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,lin,Rennes,De Danemark,"167,00",bottes,"1,25000",,,,,"208,75",,
68,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,3,1749,Manches de gaffes,Rennes,De Danemark,"100,00",en nombre,"0,30000",,,,,"30,00",,
69,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,mats,Rennes,De Danemark,"2,00",en nombre,"40,00000",,,,,"80,00",,
70,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,matreaux,Rennes,De Danemark,"528,00",en nombre,"1,00000",,,,,"528,00",,
71,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,mairrain en barique douëlles,Rennes,De Danemark,"5 053,00",en nombre,"1,50000",,,,,"7 579,50",,
72,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,planches en sapin diverses,Rennes,De Danemark,"108 449,00",en nombre,"0,75000",,,,,"81 336,75",,
73,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,Rogue de stocfich,Rennes,De Danemark,"5 984,50",barils,"50,00000",,,,,"299 225,00",,
74,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,Amandes,Rennes,d'Espagne,"6,00",barils,"20,00000",,,,,"120,00",,
75,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,Amandes,Rennes,d'Espagne,"2,00",Canastres,"10,00000",,,,,"20,00",,pas d'indication de prix. Prix récupéré sur l'objet de 1749 Espagne 
76,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,avirons,Rennes,d'Espagne,"40,00",traques,"2,00000",,,,,"80,00",,
77,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,balais de palme,Rennes,d'Espagne,"80,00",douzaines,"4,00000",,,,,"320,00",,
78,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,bordages,Rennes,d'Espagne,"400,00",pièces,"0,40000",,,,,"160,00",,
79,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,bray,Rennes,d'Espagne,"15,00",barils,"23,00000",,,,,"345,00",,
80,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,chocolat,Rennes,d'Espagne,"297,00",Livres,"3,50000",,,,,"1 039,50",,
81,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,cidres,Rennes,d'Espagne,"4,00",barriques,"30,00000",,,,,"120,00",,
82,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,citrons,Rennes,d'Espagne,"104,00",caisses,"12,00000",,,,,"1 248,00",,
83,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,clous de fer,Rennes,d'Espagne,"1 367,00",Livres,"0,30000",,,,,"410,10",,
84,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,fer en barre,Rennes,d'Espagne,"278 860,00",Livres,"0,13000",,,,,"36 251,80",,
85,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,fer en feuilles,Rennes,d'Espagne,"762,00",Livres,"0,18000",,,,,"137,16",,
86,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,figues,Rennes,d'Espagne,"707,00",barils,"12,00000",,,,,"8 484,00",,
87,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,figues,Rennes,d'Espagne,"30 000,00",Livres,"0,20000",,,,,"6 000,00",,
88,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,gaudron,Rennes,d'Espagne,"10,00",barriques,"60,00000",,,,,"600,00",,
89,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,huile d'olive,Rennes,d'Espagne,"20,00",bottes,"500,00000",,,,,"10 000,00",,
90,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,huile d'olive,Rennes,d'Espagne,"2 877,00",Livres,"0,70000",,,,,"2 013,90",,"0,72 sur l'objet, mais a priori c'était l'ancien prix corrigé sur le doc de Rennes."
91,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,laine brute,Rennes,d'Espagne,"12,00",Livres,"1,50000",,,,,"18,00",,
92,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,lain paignée,Rennes,d'Espagne,"200,00",Livres,"2,00000",,,,,"400,00",,nombre de sous difficile à lire; vérifié dans l'objet. Il s'agit de lin et bon de laine selon l'objet. Peut-être une erreur (est-ce que le lin peigné existe??? A priori oui d'après notre liste de nom de marchandises) 
93,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,4,1749,marchandises meslées,Rennes,d'Espagne,,valeur,,,,,12500,"0,00",,valeur de 12500lt cy
94,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,noix,Rennes,d'Espagne,"4,00",poches,"3,00000",,,,,"12,00",,
95,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,olives,Rennes,d'Espagne,"12,00",barils,"1,00000",,,,,"12,00",,
96,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,olives,Rennes,d'Espagne,"237,00",botiches,"1,25000",,,,,"296,25",,
97,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,oranges et citrons,Rennes,d'Espagne,"354,00",caisses,"6,00000",,,,,"2 124,00",,classé en oranges seulement dans l'objet
98,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,oranges et citrons,Rennes,d'Espagne,"8 400,00",en nombre,"0,15000",,,,,"1 260,00",,classé en oranges seulement dans l'objet
99,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,Passes,Rennes,d'Espagne,"602,00",barils,"20,00000",,,,,"12 040,00",,A 26 lt selon l'objet? Pas de rature pourtant.
100,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,Passes,Rennes,d'Espagne,"110 000,00",Livres,"0,20000",,,,,"22 000,00",,
101,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,peaux de bouc,Rennes,d'Espagne,"2,00",douzaines,"15,00000",,,,,"30,00",,6 douzaines d'après l'objet
102,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,piastres,Rennes,d'Espagne,"468,50",marcs,"46,90000",,,,,"21 972,65",,46lt et 8 sous d'après l'objet.
103,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,piastres,Rennes,d'Espagne,"76 686,00",pièces,"5,20000",,,,,"398 767,20",,
104,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,pierres à filtrer l'eau,Rennes,d'Espagne,"4,00",en nombre,"6,00000",,,,,"24,00",,
105,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,pierres à meule,Rennes,d'Espagne,"153,00",en nombre,"3,00000",,,,,"459,00",,
106,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,planches de pin,Rennes,d'Espagne,"200,00",???,"0,40000",,,,,"80,00",,
107,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,platre,Rennes,d'Espagne,"6,00",fourneaux,"0,00000",,,,,"0,00",,pas d'indication de prix
108,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,raisins secs,Rennes,d'Espagne,"9,00",barils,"20,00000",,,,,"180,00",,
109,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,raisins secs,Rennes,d'Espagne,"408,00",Livres,"0,30000",,,,,"122,40",,10 sous la livre pour l'objet
110,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,Rames,Rennes,d'Espagne,"440,00",traques,"4,00000",,,,,"1 760,00",,
111,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,réglisse,Rennes,d'Espagne,"4,00",balles,"20,00000",,,,,"80,00",,
112,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,réglisse,Rennes,d'Espagne,"1 400,00",Livres,"0,20000",,,,,"280,00",,
113,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,roseaux,Rennes,d'Espagne,"10 000,00",Livres,"0,02000",,,,,"200,00",,
114,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,savon,Rennes,d'Espagne,"120,00",Livres,"0,40000",,,,,"48,00",,
115,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,terraille grossière,Rennes,d'Espagne,"28,00",douzaines,"1,00000",,,,,"28,00",,
116,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,vin d'Espagne,Rennes,d'Espagne,"11,00",barils,"35,00000",,,,,"385,00",,
117,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,vin d'Espagne,Rennes,d'Espagne,"2,00",barriques,"140,00000",,,,,"280,00",,unité de quantité non identifiée
118,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,vin d'Espagne,Rennes,d'Espagne,"2,00",bottes,"280,00000",,,,,"560,00",,
119,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,vin d'Espagne,Rennes,d'Espagne,"25,00",pots,"1,25000",,,,,"31,25",,
120,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,5,1749,vin d'Espagne,Rennes,d'Espagne,"6,00",tonneaux,"560,00000",,,,,"3 360,00",,
121,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,vin de Navarre,Rennes,d'Espagne,"40,00",pots,"30,00000",,,,,"1 200,00",,
122,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,vin de pacaret,Rennes,d'Espagne,"30,00",barils,"35,00000",,,,,"1 050,00",,
123,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,vin de Rancio,Rennes,d'Espagne,"5,00",pelaux,"60,00000",,,,,"300,00",,"Qrteaux : abreviation de ""quarteaux"" ? Pelaux d'après l'objet."
124,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,vin de Rianco et de Xirès,Rennes,d'Espagne,"270,00",bottes,"300,00000",,,,,"81 000,00",,"La ligne n'est pas rattachée à un produit, il s'agit soit vin de Rancio soit de Xerès"
125,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,vin de Xirès,Rennes,d'Espagne,"230,00",Aroves,"7,50000",,,,,"1 725,00",,"unité de quantité non identifiée, probablement une unité espagnole."
126,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,acier,Rennes,de Hollande,"8 250,00",Livres,"0,25000",,,,,"2 062,50",,
127,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,allun,Rennes,de Hollande,"1 600,00",Livres,"0,20000",,,,,"320,00",,
128,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,amidon,Rennes,de Hollande,"900,00",Livres,"0,20000",,,,,"180,00",,
129,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,ancres de fer,Rennes,de Hollande,"1,00",pièce,"450,00000",450,,,,"450,00",,1 estimée 450 cy
130,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,azur,Rennes,de Hollande,"31,00",barils,"65,00000",,,,,"2 015,00",,
131,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,azur,Rennes,de Hollande,"1 100,00",Livres,"0,60000",,,,,"660,00",,
132,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bajutapau,Rennes,de Hollande,"80,00",pièces,"24,00000",,,,,"1 920,00",,
133,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,balais de soye de porc,Rennes,de Hollande,"6,00",Livres,"0,50000",,,,,"3,00",,
