numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
21,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Vinaigre,Rennes,Angleterre," 1,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
22,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Voile de vaisseaux,Rennes,Angleterre," 4,00    ",Nombres,"0,000","0,00","0,00","0,00",
23,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Miel,Rennes,Hollande," 22 500,00    ",Livres,"0,000","0,00","0,00","0,00",
24,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Cartes a jouer,Rennes,Espagne," 100,00    ",Grosses,"10,000","1 000,00","1 000,00","0,00",
25,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Etamine,Rennes,Espagne," 400,00    ",Aunes,"0,000","0,00","0,00","0,00",
26,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Merceries,Rennes,Espagne," 200,00    ",Livres,"0,000","0,00","0,00","0,00",
27,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Soie a coudre,Rennes,Espagne," 748,00    ",Livres,"0,000","0,00","0,00","0,00",
28,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles bretagne,Rennes,Espagne," 125 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
29,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles bretagne,Rennes,Espagne," 5 765,00    ",Pièces,"21,000","121 065,00","121 065,00","0,00",
30,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles navales,Rennes,Espagne," 5 300,00    ",Aunes,"0,000","0,00","0,00","0,00",
31,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles roscoune,Rennes,Espagne," 182 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
32,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles écruës,Rennes,Espagne," 800,00    ",Aunes,"0,000","0,00","0,00","0,00",
33,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles de Rouën,Rennes,Espagne," 11 320,00    ",Aunes,"0,000","0,00","0,00","0,00",
34,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles crées large,Rennes,Espagne," 176 100,00    ",Aunes,"0,000","0,00","0,00","0,00",
35,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles fougeres,Rennes,Espagne," 2 400,00    ",Aunes,"0,000","0,00","0,00","0,00",
36,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles morlaix,Rennes,Espagne," 4 200,00    ",Aunes,"0,000","0,00","0,00","0,00",
37,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles gratienne rayée,Rennes,Espagne," 5 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
38,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles de couleur rayée,Rennes,Espagne," 2 800,00    ",Aunes,"0,000","0,00","0,00","0,00",
39,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Camelot,Rennes,Portugal," 15,00    ",Pièces,"0,000","0,00","0,00","0,00",
40,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Chemises,Rennes,Portugal," 150,00    ",Nombres,"0,000","0,00","0,00","0,00",
41,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Etoffe de soie,Rennes,Portugal," 108,00    ",Livres,"0,000","0,00","0,00","0,00",
42,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Galon or et argent,Rennes,Portugal," 40,00    ",Livres,"0,000","0,00","0,00","0,00",
43,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Papier,Rennes,Portugal," 1 981,00    ",Rames,"0,000","0,00","0,00","0,00",
44,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles bretagne,Rennes,Portugal," 300,00    ",Pièces,"0,000","0,00","0,00","0,00",
45,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles bretagne,Rennes,Portugal," 5 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
46,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles cholet,Rennes,Portugal," 300,00    ",Aunes,"0,000","0,00","0,00","0,00",
47,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles de leon,Rennes,Portugal," 2 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
48,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles a voile,Rennes,Portugal," 2 780,00    ",Aunes,"0,000","0,00","0,00","0,00",
49,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Chapeaux de castor,Rennes,Isles françoises de l'Amerique," 350,00    ",Nombres,"0,000","0,00","0,00","0,00",
50,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Chemises,Rennes,Isles françoises de l'Amerique," 5,00    ",Douzaines,"0,000","0,00","0,00","0,00",
51,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Dentelle commune,Rennes,Isles françoises de l'Amerique," 1,00    ",Caisses,"0,000","0,00","800,00","-800,00",
52,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Drap fin manufacture de France,Rennes,Isles françoises de l'Amerique," 1 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
53,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Ecarlatille,Rennes,Isles françoises de l'Amerique," 18,00    ",Pièces,"0,000","0,00","0,00","0,00",
54,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Fil de Rennes,Rennes,Isles françoises de l'Amerique," 1 500,00    ",Livres,"0,000","0,00","0,00","0,00",
55,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Fil de Rouën,Rennes,Isles françoises de l'Amerique," 3 000,00    ",Livres,"0,000","0,00","0,00","0,00",
56,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Papier,Rennes,Isles françoises de l'Amerique," 30,00    ",Rames,"0,000","0,00","0,00","0,00",
57,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Quincaillerie,Rennes,Isles françoises de l'Amerique," 300,00    ",Livres,"0,000","0,00","0,00","0,00",
58,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles baliste,Rennes,Isles françoises de l'Amerique," 60,00    ",Pièces,"0,000","0,00","0,00","0,00",
59,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles bretagne,Rennes,Isles françoises de l'Amerique," 400,00    ",Pièces,"0,000","0,00","0,00","0,00",
60,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles bretagne,Rennes,Isles françoises de l'Amerique," 5 490,00    ",Aunes,"0,000","0,00","0,00","0,00",
61,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles de Rouën,Rennes,Isles françoises de l'Amerique," 2 345,00    ",Aunes,"0,000","0,00","0,00","0,00",
62,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles écruës,Rennes,Isles françoises de l'Amerique," 2 852,00    ",Aunes,"0,000","0,00","0,00","0,00",
63,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles de halle,Rennes,Isles françoises de l'Amerique," 100 266,00    ",Aunes,"0,000","0,00","0,00","0,00",
64,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles navales,Rennes,Isles françoises de l'Amerique," 973,00    ",Aunes,"0,000","0,00","0,00","0,00",
65,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles brin de Dinant,Rennes,Isles françoises de l'Amerique," 320,00    ",Aunes,"0,000","0,00","0,00","0,00",
66,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles cholet,Rennes,Isles françoises de l'Amerique," 68,00    ",Pièces,"0,000","0,00","0,00","0,00",
67,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles rayée,Rennes,Isles françoises de l'Amerique," 300,00    ",Aunes,"0,000","0,00","0,00","0,00",
68,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles crées large,Rennes,Isles françoises de l'Amerique," 15,00    ",Pièces,"0,000","0,00","0,00","0,00",
69,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles crées large,Rennes,Isles françoises de l'Amerique," 1 200,00    ",Aunes,"0,000","0,00","0,00","0,00",
70,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles coutil,Rennes,Isles françoises de l'Amerique," 145,00    ",Aunes,"0,000","0,00","0,00","0,00",
71,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Toiles a voile,Rennes,Isles françoises de l'Amerique," 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
72,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Amandes,Rennes,Angleterre," 200,00    ",Livres,"0,000","0,00","0,00","0,00",
73,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Beure de Bretagne,Rennes,Angleterre," 400,00    ",Livres,"0,000","0,00","0,00","0,00",
74,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Bas de laine,Rennes,Angleterre," 3,00    ",Douzaines,"0,000","0,00","0,00","0,00",
75,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Eau de vie,Rennes,Angleterre," 1,00    ",Tierçon,"0,000","0,00","0,00","0,00",
76,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Figues,Rennes,Angleterre," 300,00    ",Livres,"0,000","0,00","0,00","0,00",
77,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Fil de couleur,Rennes,Angleterre," 60,00    ",Livres,"0,000","0,00","0,00","0,00",
78,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,3,1714,Grelin ,Rennes,Angleterre," 1,00    ",Nombres,"0,000","0,00","0,00","0,00",
79,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Miel,Rennes,Angleterre," 2 500,00    ",Livres,"0,000","0,00","0,00","0,00",
80,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Papier blanc,Rennes,Angleterre," 586,00    ",Rames,"0,000","0,00","0,00","0,00",
81,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Plumes a lit,Rennes,Angleterre," 500,00    ",Livres,"0,000","0,00","0,00","0,00",
82,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Ris,Rennes,Angleterre," 20,00    ",Livres,"0,000","0,00","0,00","0,00",
83,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Raisin,Rennes,Angleterre," 1 300,00    ",Livres,"0,000","0,00","0,00","0,00",
84,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Savon,Rennes,Angleterre," 7 360,00    ",Livres,"0,000","0,00","0,00","0,00",
85,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Toile de halle,Rennes,Angleterre," 2 912,00    ",Aunes,"0,000","0,00","0,00","0,00",
86,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Toile a voile,Rennes,Angleterre," 360,00    ",Aunes,"0,000","0,00","0,00","0,00",
87,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Vin d'Espagne,Rennes,Angleterre," 6,00    ",Pots,"0,000","0,00","0,00","0,00",
88,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Vin de Bordeaux,Rennes,Angleterre," 3,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
89,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Amandes,Rennes,Hollande," 3 600,00    ",Livres,"0,000","0,00","0,00","0,00",
90,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Huitres a la daube,Rennes,Hollande," 50,00    ",Barils,"0,000","0,00","0,00","0,00",
91,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Miel,Rennes,Hollande," 65 400,00    ",Livres,"0,000","0,00","0,00","0,00",
92,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Papier blanc,Rennes,Hollande," 1 580,00    ",Rames,"0,000","0,00","0,00","0,00",
93,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Satin brodé de la Chine,Rennes,Hollande," 8,00    ",Pièces,"0,000","0,00","0,00","0,00",
94,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Vin,Rennes,Hollande," 4,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
95,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Bas pour homme,Rennes,Espagne," 59,00    ",Paires,"0,000","0,00","0,00","0,00",
96,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Bas pour femme,Rennes,Espagne," 12,00    ",Paires,"0,000","0,00","0,00","0,00",
97,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Bonnets,Rennes,Espagne," 1,00    ",Douzaines,"0,000","0,00","0,00","0,00",
98,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Confiture,Rennes,Espagne," 300,00    ",Livres,"0,000","0,00","0,00","0,00",
99,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Ceinture de soie,Rennes,Espagne," 10,00    ",Nombres,"0,000","0,00","0,00","0,00",
100,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Ceinturons,Rennes,Espagne," 5,00    ",Nombres,"0,000","0,00","0,00","0,00",
101,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Chemises,Rennes,Espagne," 550,00    ",Nombres,"0,000","0,00","0,00","0,00",
102,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Damas,Rennes,Espagne," 21,50    ",Pièces,"0,000","0,00","0,00","0,00",
103,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Etamines de Reims,Rennes,Espagne," 1 200,00    ",Aunes,"0,000","0,00","0,00","0,00",
104,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Eventail,Rennes,Espagne," 87,00    ",Nombres,"0,000","0,00","0,00","0,00",
105,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Gorgoran,Rennes,Espagne," 4,00    ",Pièces,"0,000","0,00","0,00","0,00",
106,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Grisette,Rennes,Espagne," 8,00    ",Pièces,"0,000","0,00","0,00","0,00",
107,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Linçeuls,Rennes,Espagne," 300,00    ",Nombres,"0,000","0,00","0,00","0,00",
108,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Mouchoirs,Rennes,Espagne," 53,00    ",Nombres,"0,000","0,00","0,00","0,00",
109,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Papier,Rennes,Espagne," 1 984,00    ",Rames,"0,000","0,00","0,00","0,00",
110,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Rubans,Rennes,Espagne," 3,00    ",Pièces,"0,000","0,00","0,00","0,00",
111,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,4,1714,Satin a fleurs,Rennes,Espagne," 1,00    ",Pièces,"0,000","0,00","0,00","0,00",
112,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Tabac en cottes,Rennes,Espagne," 1 200,00    ",Livres,"0,000","0,00","0,00","0,00",
113,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Tafetas de pequin,Rennes,Espagne," 180,00    ",Pièces,"0,000","0,00","0,00","0,00",
114,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de Morlaix,Rennes,Espagne," 4 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
115,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de laval,Rennes,Espagne," 12 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
116,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de Rouën,Rennes,Espagne," 4 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
117,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de bretagne large,Rennes,Espagne," 600,00    ",Pièces,"0,000","0,00","0,00","0,00",
118,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de bretagne étroite,Rennes,Espagne," 1 200,00    ",Pièces,"0,000","0,00","0,00","0,00",
119,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile crée large,Rennes,Espagne," 50 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
120,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile rosconne,Rennes,Espagne," 50 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
121,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile de collon,Rennes,Espagne," 8,00    ",Pièces,"0,000","0,00","0,00","0,00",
122,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Velour,Rennes,Espagne," 3,00    ",Pièces,"0,000","0,00","0,00","0,00",
123,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Papier gris,Rennes,Portugal," 1 800,00    ",Rames,"0,000","0,00","0,00","0,00",
124,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Beuf salé,Rennes,Isles françoises de l'Amerique," 5 500,00    ",Livres,"0,000","0,00","0,00","0,00",
125,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Beure,Rennes,Isles françoises de l'Amerique," 5 000,00    ",Livres,"0,000","0,00","0,00","0,00",
126,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Farine,Rennes,Isles françoises de l'Amerique," 2 000,00    ",Livres,"0,000","0,00","0,00","0,00",
127,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Feves,Rennes,Isles françoises de l'Amerique," 200,00    ",Boisseaux,"0,000","0,00","0,00","0,00",
128,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Fer en barres,Rennes,Isles françoises de l'Amerique," 2 000,00    ",Livres,"0,000","0,00","0,00","0,00",
129,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Lard,Rennes,Isles françoises de l'Amerique," 30 000,00    ",Livres,"0,000","0,00","0,00","0,00",
130,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Pois,Rennes,Isles françoises de l'Amerique," 500,00    ",Boisseaux,"0,000","0,00","0,00","0,00",
131,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,5,1714,Toile royale,Rennes,Isles françoises de l'Amerique," 25,00    ",Pièces,"0,000","0,00","0,00","0,00",
