numerodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
37,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,ploc fillé,Rennes,d'Angleterre,1 199,Livres,"0,25000",,,
38,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,ploc non filé,Rennes,d'Angleterre,880,Livres,"0,15000",,,
39,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,plomb en saumons,Rennes,d'Angleterre,300,saumons,"37,50000",,,"300 saumons à 150 livres poids à 0,25 lt le cent"
40,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,plomb en saumons,Rennes,d'Angleterre,98 085,Livres,"0,20000",,,
41,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,poils de boeuf,Rennes,d'Angleterre,4 181,Livres,"0,60000",,,12 à 16 sous
42,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,saumon salé,Rennes,d'Angleterre,19,barils,"36,00000",,,
43,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,saumure,Rennes,d'Angleterre,2,bariques,"70,00000",,,
44,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,suif,Rennes,d'Angleterre,2 154,Livres,"0,30000",,,
45,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,tabac,Rennes,d'Angleterre,5 286,boucauds,,,,il faudrois en savoir le poids
46,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,tabac,Rennes,d'Angleterre,21,botes,,,,Il faudrait en savoir le poids
47,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,telescopes,Rennes,d'Angleterre,2,en nombre,,,,cela dépend de la fabrique
48,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,acier,Rennes,De Danemark,40,barils,"25,00000",,,
49,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,blé seigle,Rennes,De Danemark,15,tonneaux,"80,00000",,,
50,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,fer en barres,Rennes,De Danemark,80,barres,"0,14000",,,
51,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,gaudron,Rennes,De Danemark,300,barils,"22,00000",,,
52,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,planches de sapin,Rennes,De Danemark,32 610,en nombre,"20,00000",,,
53,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,rogue de stocfiches,Rennes,De Danemark,1 228,barils,"50,00000",,,
54,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,rogue de stocfiches,Rennes,De Danemark,2 018,livres,"0,40000",,,
55,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,saumon salé,Rennes,De Danemark,3,barils,"30,00000",,,
56,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,ancres de fer,Rennes,d'Espagne,10 658,Livres,"0,28000",,,
57,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,ancres de fer,Rennes,d'Espagne,1,valeur de,"1750,00000",,,valeur de 1750 cy
58,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,anspects,Rennes,d'Espagne,20,traques,"3,00000",,,"""3 Lt pièce"" combien de pièces par traque ?"
59,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,avirons,Rennes,d'Espagne,728,traques,"2,00000",,,
60,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,bray,Rennes,d'Espagne,20,barils,"22,00000",,,
61,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,cacao,Rennes,d'Espagne,50,Livres,"0,50000",,,
62,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,chocolas,Rennes,d'Espagne,376,Livres,"3,50000",,,
63,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,Citrons,Rennes,d'Espagne,5,caisses,"12,00000",,,
64,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,Citrons,Rennes,d'Espagne,6 100,en nombre,"0,01500",,,15 Lt le millier
65,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,cloux de fer,Rennes,d'Espagne,38 100,Livres,"0,30000",,,
66,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,fer en barres,Rennes,d'Espagne,965 800,Livres,"0,13000",,,
67,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,fer en feuillard,Rennes,d'Espagne,3 450,Livres,"0,18000",,,
68,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,figues,Rennes,d'Espagne,831,Livres,,,,"""baril à 12 livres"" combien de livres ?"
69,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,fruis sec,Rennes,d'Espagne,2 888,Livres,"0,30000",,,
70,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,3,1752,gaudron,Rennes,d'Espagne,10,bariques,"22,00000",,,
71,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,huile d'olive,Rennes,d'Espagne,26,bottes,"500,00000",,,
72,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,huile d'olive,Rennes,d'Espagne,8 721,Livres,"0,27000",,,
73,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,laine brute,Rennes,d'Espagne,60,Livres,"0,40000",,,
74,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,lampes de fer,Rennes,d'Espagne,288,en nombre,"0,40000",,,à 8S pièces
75,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,olives,Rennes,d'Espagne,6,potiches,"1,50000",,,
76,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,oranges,Rennes,d'Espagne,64,caisses,"5,00000",,,
77,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,oranges,Rennes,d'Espagne,3 500,,"0,15000",,,
78,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,patates,Rennes,d'Espagne,50,barils,"10,00000",,,
79,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,patates,Rennes,d'Espagne,1,valeur de,"400,00000",,,valeur de 400 Lt cy
80,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,piastres,Rennes,d'Espagne,77 770,marcs,"46,90000",,,"""77770 marcs à proportion 5Lt4S pièce"" C'est le même prix qu'en 1749"
81,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,piastres,Rennes,d'Espagne,450 000,pièces,"5,20000",,,
82,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,raisins secs,Rennes,d'Espagne,1 133,barils,"20,00000",,,
83,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,rozeaux,Rennes,d'Espagne,12,paniers,"4,00000",,,
84,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,rozeaux,Rennes,d'Espagne,19,milliers,"0,06000",,,
85,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin d'Espagne,Rennes,d'Espagne,36,bariques,"60,00000",,,
86,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin d'Espagne,Rennes,d'Espagne,32,barils,"25,00000",,,25 à 30 Lt
87,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin de Malaga,Rennes,d'Espagne,3,barils,"30,00000",,,
88,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin de Malaga,Rennes,d'Espagne,1,bouc,"400,00000",,,
89,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,Vin de Cauret,Rennes,d'Espagne,17,barils,"24,00000",,,marchandise non identifiée
90,Loïc,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin de Xerès,Rennes,d'Espagne,4,pipes,"400,00000",,,
91,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin de Xerès,Rennes,d'Espagne,556,bottes,"400,00000",,,
92,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,vin de Xerès,Rennes,d'Espagne,206,demy bottes,"200,00000",,,
93,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,acier,Rennes,d'Hollande,290,barils,"25,00000",,,
94,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,acier,Rennes,d'Hollande,5 654,livres,"0,25000",,,
95,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,eguilles à voilles,Rennes,d'Hollande,2,caisses,"100,00000",,,
96,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,4,1752,ains à pescher,Rennes,d'Hollande,5,barils,"25,00000",,,
97,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,allun,Rennes,d'Hollande,2 836,Livres,"1,00000",,,
98,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,amidon,Rennes,d'Hollande,6,Barils,"36,00000",,,36 à 40 lt
99,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,anabas,Rennes,d'Hollande,1 370,pièces,"30,00000",,,
100,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,azur,Rennes,d'Hollande,1,baril,,,,pas d'indication de prix
101,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,azur,Rennes,d'Hollande,3 800,Livres,"0,80000",,,plus ou moins suivant la pesanteur et la qualité
102,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,bajutapaux,Rennes,d'Hollande,270,pièces,"24,00000",,,
103,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,balaine coupée,Rennes,d'Hollande,1,baril,,,,cela dépend du poid
104,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,balaine coupée,Rennes,d'Hollande,120,Livres,"3,00000",,,
105,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,barbancons de gres,Rennes,d'Hollande,126,en nombre,"2,00000",,,
106,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,Bierre,Rennes,d'Hollande,12,pièces,"30,00000",,,
107,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,Bierre,Rennes,d'Hollande,520,bariques,"25,00000",,,
108,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,blé froment,Rennes,d'Hollande,25,letz,,,,pas d'indication de prix
109,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,blé froment,Rennes,d'Hollande,150,boisseaux,,,,pas d'indication de prix
110,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,blé seigle,Rennes,d'Hollande,805,letz,,,,pas d'indication de prix
111,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,bois de Brezil,Rennes,d'Hollande,150,Livres,"0,25000",,,
112,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,bois de campeche,Rennes,d'Hollande,4 785,Livres,"0,30000",,,
113,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,bois d'inde,Rennes,d'Hollande,2 400,Livres,"0,25000",,,5 à 6 sous
114,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,bois mairrain,Rennes,d'Hollande,1 920,pièces,"2,00000",,,
115,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,borax,Rennes,d'Hollande,1,baril,"25,00000",,,barril de 50 livres
116,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,Boulange,Rennes,d'Hollande,50,pièces,"15,00000",,,15 à 18 Lt
117,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,boutons d'ore fau,Rennes,d'Hollande,147,Livres,"0,50000",,,
118,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,Burmards et leurs poids,Rennes,d'Hollande,20,en nombre,"80,00000",,,marchandise non identifiée
119,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,braules,Rennes,d'Hollande,30,pièces,"10,00000",,,10 à 12 Lt
120,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,Bray,Rennes,d'Hollande,26,barils,"22,00000",,,
121,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,canettes de grez,Rennes,d'Hollande,1 073,pièces,"1,50000",,,
122,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,caves garnies de 9 flacons,Rennes,d'Hollande,270,pièces,"20,00000",,,
123,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,caves garnies de 6 flacons,Rennes,d'Hollande,1 350,pièces,"4,00000",,,
124,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,cartes marines,Rennes,d'Hollande,3 000,feuilles,"3,00000",,,
125,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,ceruse,Rennes,d'Hollande,10,barils,,,,baril de 100 livres
126,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,chanvre en masse,Rennes,d'Hollande,465,balles,,,,5 sous la livre mais pas de prix à la balle
127,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,5,1752,chasselas,Rennes,d'Hollande,110,pièces,"25,00000",,,
128,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cire jaune,Rennes,d'Hollande,1,valeur de,"2500,00000",,,valeur de 2500 Lt cy
129,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cloux de gerofle,Rennes,d'Hollande,249,Livres,"8,00000",,,
130,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,corail,Rennes,d'Hollande,500,Livres,"150,00000",,,
131,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,corail faux,Rennes,d'Hollande,4 568,Livres,"10,00000",,,
132,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,corne à lanterne,Rennes,d'Hollande,3,caisses,"50,00000",,,
133,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,coroos,Rennes,d'Hollande,1 150,pièces,"4,00000",,,
134,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,coton imprimé,Rennes,d'Hollande,195,pièces,"25,00000",,,
135,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,couperose,Rennes,d'Hollande,4 200,Livres,"0,08000",,,
136,Loïc,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,Coupis,Rennes,d'Hollande,220,pièces,"20,00000",,,
137,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,coutteaux,Rennes,d'Hollande,3 514,douzaines,"1,50000",,,
138,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,coutteaux flamans,Rennes,d'Hollande,1,baril,"150,00000",,,
139,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,coutteaux flamans,Rennes,d'Hollande,1,caisse,,,,il faudroit en savoir la contenance
140,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,creusets d'orfèvre,Rennes,d'Hollande,240,pièces,"0,50000",,,10 à 12 sous la pièce
141,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cuirs,Rennes,d'Hollande,50,feittots?,"6,00000",,,Unité de mesure non identifiée
142,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cuivre en bassins,Rennes,d'Hollande,988,pièces,"1,50000",,,
143,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cuivre jaune non ouvré,Rennes,d'Hollande,14,futailles,,,,"""25 S la livre"" combien de livres par futaille ?"
144,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cuivre ouvré,Rennes,d'Hollande,736,Livres,"1,50000",,,
145,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,cuivre rouge,Rennes,d'Hollande,2,caisses,"62,50000",,,
146,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,dames Jeannes,Rennes,d'Hollande,25,en nombre,"2,50000",,,
147,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,douelles à tonneaux,Rennes,d'Hollande,1 488,pièces,"0,30000",,,
148,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,douelles à tonneaux,Rennes,d'Hollande,3 244,pièces,"0,15000",,,
149,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,escopes,Rennes,d'Hollande,60,en nombre,,,,pas d'indication de prix
150,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,epicerie,Rennes,d'Hollande,2,paquets,"200,00000",,,"il faudrois en savoir le poids et la quantité (rajouté, 100 livre poid le paquet)"
151,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,epicerie,Rennes,d'Hollande,8 920,Livres,"2,00000",,,
152,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,faucilles,Rennes,d'Hollande,1 200,pièces,"0,20000",,,
153,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,fer blanc,Rennes,d'Hollande,7,barils,"90,00000",,,
154,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,fer en feuillard,Rennes,d'Hollande,6 028,barres,"6,00000",,,
155,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,fer en feuillard,Rennes,d'Hollande,37 330,Livres,"0,20000",,,
