numrodeligne,source,sourcepath,sourcetype,year,exportsimports,direction,marchandises,pays,quantity_unit,prix_unitaire,probleme,remarks,quantit,value
58,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir vert en poil,Angleterre,Nombres,,,,580,0
59,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir vert salé,Angleterre,Nombres,,,,367,0
60,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir vert salé,Angleterre,Nombres,,,Nombres ou livres?,530,0
61,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre en mitraille,Angleterre,Livres,,,,1000,0
62,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fanal de navire,Angleterre,Nombres,,,,1,0
63,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer,Angleterre,Livres,,,,1600,0
64,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer de fonte ouvré,Angleterre,Boëtes,,,,51,0
65,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer de fonte ouvré,Angleterre,Livres,,,,2000,0
66,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer de fonte ouvré,Angleterre,Pieriers,,,,12,0
67,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Angleterre,Livres,,,,45155,0
68,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en boulets de canon,Angleterre,Livres,,,,5200,0
69,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en verge,Angleterre,Livres,,,,2100,0
70,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer vieux,Angleterre,Livres,,,,1800,0
71,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de fer,Angleterre,Livres,,,,175,0
72,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fromage,Angleterre,Livres,,,,44294,0
73,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fromage,Angleterre,Livres,"0,2",0,,2453,490.6
74,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fusils,Angleterre,Nombres,,,,5,0
75,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaudron,Angleterre,Barils,,,,60,0
76,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Angleterre,Barils,,,,6,0
77,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Angleterre,Barils,48,0,,168,8064
78,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Angleterre,Boisseaux,,,,1002,0
79,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de St Soin,Angleterre,Livres,,,,4,0
80,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de trefle,Angleterre,Livres,,,,80,0
81,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graisse de porcs,Angleterre,Livres,,,,500,0
82,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Guimblette,Angleterre,Livres,,,,40,0
83,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans,Angleterre,Barils,,,,6,0
84,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans sorés,Angleterre,Barils,,,,49,0
85,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Angleterre,Bariques,,,,12.5,0
86,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Angleterre,Bariques,,,"46,25 = 108 pots",46.25,0
87,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Angleterre,Livres,,,,8370,0
88,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine,Angleterre,Livres,,,,360,0
89,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine  peignée,Angleterre,Livres,2,0,,9838,19676
90,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine filée,Angleterre,Livres,,,,7020,0
91,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine grasse,Angleterre,Livres,,,,575,0
92,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine lavée,Angleterre,Livres,,,,18000,0
93,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine peignée,Angleterre,Livres,,,,21218,0
94,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lame peignée,Angleterre,Livres,,,,13032,0
95,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Langue de beuf,Angleterre,Livres,,,,15,0
96,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Langues de beuf,Angleterre,Livres,,,,36,0
97,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lard,Angleterre,Livres,,,,18020,0
98,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mât de sapin,Angleterre,Nombres,,,,2,0
99,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a baril,Angleterre,Douelles,,,,400,0
100,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a barique,Angleterre,Douelles,,,,2100,0
101,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a barique,Angleterre,Nombres,,,,25,0
102,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain abarique,Angleterre,Douelles,,,,1200,0
103,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain abarique,Angleterre,Nombres,,,,40,0
104,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Meules a coutelier,Angleterre,Nombres,,,,23,0
105,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mine de plomb,Angleterre,Livres,,,,8030,0
106,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Moruë seche,Angleterre,Livres,,,,50,0
107,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Noir de fumée,Angleterre,Barils,,,,800,0
108,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Oranges,Angleterre,Livres,,,,1000,0
109,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge,Angleterre,Quartiers,,,,118,0
110,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge,Angleterre,Tonneaux,,,,22,0
111,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge germée,Angleterre,Boisseaux,,,,1580,0
112,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge germée,Angleterre,Setiers,,,,115,0
113,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge mondée,Angleterre,Livres,,,,100,0
114,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Orge non germée,Angleterre,Boisseaux,,,,100,0
115,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Paumelle,Angleterre,Boisseaux,,,,100,0
116,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de lapin,Angleterre,Livres,,,,5,0
117,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de lapin seches,Angleterre,Nombres,,,,585,0
118,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de lapins en poil,Angleterre,Douzaines,,,,3,0
119,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de mouton,Angleterre,Nombres,,,,17,0
120,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Piere a paver,Angleterre,Tonneaux,,,,8,0
121,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pieres a paver,Angleterre,Nombres,,,,500,0
122,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pieres a paver,Angleterre,Pieds,,,,300,0
123,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Piériés garnis de leurs boëtes,Angleterre,Pièces,,,,14,0
124,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pierres a paver,Angleterre,Nombres,,,,2400,0
125,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pipes a fumer,Angleterre,Grosses,,,,111.5,0
126,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Planche de sapin,Angleterre,Livres,,,,900,0
127,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Planche de sapin,Angleterre,Nombres,,,,24,0
128,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Planche de sapin,Angleterre,Nombres,"0,9",180,,400,180
129,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Planches de sapin,Angleterre,Nombres,,,,600,0
130,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Plomb,Angleterre,Livres,,,,700,0
131,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Plomb en feuilles,Angleterre,Livres,,,,700,0
132,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Plomb en saumon,Angleterre,Livres,,,,59762,0
133,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Plumes a lit,Angleterre,Livres,,,,1362,0
134,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Poire a poudre,Angleterre,Nombres,,,,5,0
135,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pois,Angleterre,Boisseaux,,,,2,0
136,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pois raisine,Angleterre,Bariques,,,,2,0
137,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pompes a navires,Angleterre,Nombres,,,,2,0
138,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sardines,Angleterre,Barils,,,,627,0
139,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sardines,Angleterre,Bariques,,,,442,0
140,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Saumon salé,Angleterre,Barils,,,,37,0
141,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Saumon salé,Angleterre,Livres,,,,1440,0
142,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Savon,Angleterre,Livres,,,,1973,0
143,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Savon noir,Angleterre,Livres,,,,475,0
144,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel,Angleterre,Muids,,,,68,0
145,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel,Angleterre,Tonneaux,,,,6,0
146,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel blanc,Angleterre,Muids,,,,2,0
147,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel blanc,Angleterre,Tonneaux,,,,15,0
148,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sucre cassonade,Angleterre,Livres,,,,25,0
149,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sucre moscouäde,Angleterre,Livres,,,,165,0
150,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Suif,Angleterre,Livres,,,,83918,0
151,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Tabac,Angleterre,Livres,,,,499235,0
152,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Tabac de Virginie,Angleterre,Livres,,,,142954,0
153,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Tabac en feuilles,Angleterre,Livres,,,,1154831,0
154,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Terre ciselée,Angleterre,Livres,,,,100,0
155,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Verres a boire,Angleterre,Livres,,,,39,0
156,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin de canarie,Angleterre,Bariques,,,,4,0
157,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin de canarie,Angleterre,Tonneaux,,,,1,0
158,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,3039,0
159,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes cassées,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,2243,0
160,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anis,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,100,0
161,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Babouches,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Paires,,,,14,0
162,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cire jaune,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,44552,0
163,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre en mitraille,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,3000,0
164,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre neuf,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,3892,0
165,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre tangoul,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,8350,0
166,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Dattes,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,333,0
