numrodeligne,sourcepath,exportsimports,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,marchandises_simplification,year,u_conv,q_conv,marchandises_et_quantités,prix_predit,prix_calculé
854,National/Divers - in/Résultats du CE 1792.csv,Exports,78,Amandes,République de Hollande,2118,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
453,National/Divers - in/Résultats du CE 1792.csv,Exports,60,Amandes,Milanez et Toscane,577,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
333,National/Divers - in/Résultats du CE 1792.csv,Exports,55,Amandes,République de Gênes,157.28,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1405,National/Divers - in/Résultats du CE 1792.csv,Exports,98,Amandes,Danemarck et Norvège,243.3,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1490,National/Divers - in/Résultats du CE 1792.csv,Exports,105,Amandes,Prusse,464.1,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1009,National/Divers - in/Résultats du CE 1792.csv,Exports,83,Amandes,"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",3214.34,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1457,National/Divers - in/Résultats du CE 1792.csv,Exports,102,Amandes,Suède,123.1,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1537,National/Divers - in/Résultats du CE 1792.csv,Exports,109,Amandes,Russie et Courlande,240.42,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1648,National/Divers - in/Résultats du CE 1792.csv,Exports,115,Amandes,Etats Unis,184.1,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
2,National/Divers - in/Résultats du CE 1792.csv,Imports,40,Amandes,Espagne,305.65,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
549,National/Divers - in/Résultats du CE 1792.csv,Imports,64,Amandes,Royaume de Naples et de Sicile et Duché de Parmes,1372.8,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
39,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Amidon,Europe,1231914,livres,,amidon,1792,kg,.48949999,amidonlivres,.4121775,
8,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Amidon,Europe,894139,livres,,amidon,1792,kg,.48949999,amidonlivres,.4121775,
1119,National/Divers - in/Résultats du CE 1792.csv,Exports,89,Amidon,Allemagne et Pologne,1147.25,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
1073,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Amidon,Etats de l'empereur en Allemagne et en Flandre,1593.7,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
334,National/Divers - in/Résultats du CE 1792.csv,Exports,55,Amidon,République de Gênes,2124.17,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
454,National/Divers - in/Résultats du CE 1792.csv,Exports,60,Amidon,Milanez et Toscane,216.13,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
1491,National/Divers - in/Résultats du CE 1792.csv,Exports,105,Amidon,Prusse,566,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
1271,National/Divers - in/Résultats du CE 1792.csv,Exports,93,Amidon,"Suisse, ses alliés et Genève",2745.46,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
1047,National/Divers - in/Résultats du CE 1792.csv,Imports,86,Amidon,Etats de l'empereur en Allemagne et en Flandre,1055.33,quintaux,,amidon,1792,kg,48.949999,amidonquintaux,,41.21775
40,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Anchois,Europe,66485,livres,,anchois,1792,kg,.48949999,anchoislivres,,
9,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Anchois,Europe,897139,livres,,anchois,1792,kg,.48949999,anchoislivres,,
1650,National/Divers - in/Résultats du CE 1792.csv,Exports,115,Anchois,Etats Unis,370.1,quintaux,,anchois,1792,kg,48.949999,anchoisquintaux,,
3,National/Divers - in/Résultats du CE 1792.csv,Imports,40,Anchois,Espagne,1855.48,quintaux,,anchois,1792,kg,48.949999,anchoisquintaux,,
10,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Anis,Europe,177784,livres,,anis,1792,kg,.48949999,anislivres,,
41,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Antimoine,Europe,23877,livres,,antimoine,1792,kg,.48949999,antimoinelivres,.53323281,
12,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Antimoine,Europe,12900,livres,,antimoine,1792,kg,.48949999,antimoinelivres,.53323281,
1120,National/Divers - in/Résultats du CE 1792.csv,Exports,89,Ardoises,Allemagne et Pologne,3435,milliers,,ardoise,1792,pièces,1000,ardoisemilliers,,
1074,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Ardoises,Etats de l'empereur en Allemagne et en Flandre,5329,milliers,,ardoise,1792,pièces,1000,ardoisemilliers,,
42,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Ardoises,Europe,14652500,nombres,,ardoise,1792,pièces,1,ardoisenombres,,
43,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Ardoises,Amérique,807000,nombres,,ardoise,1792,pièces,1,ardoisenombres,,
18,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Arsenic,Europe,15900,livres,,arsenic,1792,kg,.48949999,arseniclivres,.4800615,
19,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Avoine,Europe,3308244,livres,,avoine,1792,kg,.48949999,avoinelivres,,
1123,National/Divers - in/Résultats du CE 1792.csv,Imports,90,Avoine,Allemagne et Pologne,3901.2,quintaux,,avoine,1792,kg,48.949999,avoinequintaux,,
1050,National/Divers - in/Résultats du CE 1792.csv,Imports,86,Avoine,Etats de l'empereur en Allemagne et en Flandre,3940.7,quintaux,,avoine,1792,kg,48.949999,avoinequintaux,,
628,National/Divers - in/Résultats du CE 1792.csv,Imports,68,Avoine,Etats de l'évêque de Rome et la république de Venise,2100,quintaux,,avoine,1792,kg,48.949999,avoinequintaux,,
1398,National/Divers - in/Résultats du CE 1792.csv,Imports,97,Avoine,Danemarck et Norvège,114.84,quintaux,,avoine,1792,kg,48.949999,avoinequintaux,,
20,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Azur,Europe,232863,livres,,azur,1792,kg,.48949999,azurlivres,.85611516,
1124,National/Divers - in/Résultats du CE 1792.csv,Imports,90,Azur,Allemagne et Pologne,328.19,quintaux,,azur,1792,kg,48.949999,azurquintaux,,85.611516
825,National/Divers - in/Résultats du CE 1792.csv,Imports,77,Azur,République de Hollande,573.66,quintaux,,azur,1792,kg,48.949999,azurquintaux,,85.611516
11,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Anis étoilé,Asie,1840,livres,,badiane,1792,kg,.48949999,badianelivres,,
50,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Baleine coupée et en fanons,Europe,38520,livres,,baleine coupée et en fanon,1792,kg,.48949999,baleine coupée et en fanonlivres,,
22,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Baleine coupée et en fanons,Europe,90140,livres,,baleine coupée et en fanon,1792,kg,.48949999,baleine coupée et en fanonlivres,,
23,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Balaine coupée et en fanons,Pêches françaises,177653,livres,,baleine coupée et en fanon,1792,kg,.48949999,baleine coupée et en fanonlivres,,
1010,National/Divers - in/Résultats du CE 1792.csv,Exports,83,Baleine coupée et en fanons,"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",385.2,quintaux,,baleine coupée et en fanon,1792,kg,48.949999,baleine coupée et en fanonquintaux,,
251,National/Divers - in/Détail des I et X_1792.csv,Exports,28,Fers en barre,Asie,2680710,livres,,barres de fer,1792,kg,.48949999,barres de ferlivres,.18628119,
249,National/Divers - in/Détail des I et X_1792.csv,Exports,28,Fers en barre,Amérique,366213,livres,,barres de fer,1792,kg,.48949999,barres de ferlivres,.18628119,
1402,National/Divers - in/Résultats du CE 1792.csv,Imports,97,Fer en barres,Danemarck et Norvège,208.3,quintaux,,barres de fer,1792,kg,48.949999,barres de ferquintaux,,18.628119
1532,National/Divers - in/Résultats du CE 1792.csv,Imports,108,Fer en barres,Russie et Courlande,7534.4,quintaux,,barres de fer,1792,kg,48.949999,barres de ferquintaux,,18.628119
61,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Beurre,Afrique,81200,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
62,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Beurre,Asie,74272,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
59,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Beurre,Europe,553341,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
63,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Beurre,Pêches françaises,167095,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
60,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Beurre,Amérique,635620,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
31,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Beurre,Europe,371326,livres,,beurre,1792,kg,.48949999,beurrelivres,.68708402,
708,National/Divers - in/Résultats du CE 1792.csv,Exports,73,Beurre,Angleterre y compris l'Ecosse et l'Irlande,1698.41,quintaux,,beurre,1792,kg,48.949999,beurrequintaux,,68.708402
160,National/Divers - in/Résultats du CE 1792.csv,Exports,46,Beurre,Portugal,498.55,quintaux,,beurre,1792,kg,48.949999,beurrequintaux,,68.708402
1309,National/Divers - in/Résultats du CE 1792.csv,Exports,94,Beurre,"Suisse, ses alliés et Genève",638,quintaux,,beurre,1792,kg,48.949999,beurrequintaux,,68.708402
685,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Beurre,Angleterre y compris l'Ecosse et l'Irlande,903.93,quintaux,,beurre,1792,kg,48.949999,beurrequintaux,,68.708402
826,National/Divers - in/Résultats du CE 1792.csv,Imports,77,Beurre,République de Hollande,451.33,quintaux,,beurre,1792,kg,48.949999,beurrequintaux,,68.708402
68,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bières en bouteille,Asie,25705,Bouteilles,,bière en bouteille,1792,,,bière en bouteilleBouteilles,,2.2230628
67,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bières en bouteille,Amérique,58566,Bouteilles,,bière en bouteille,1792,,,bière en bouteilleBouteilles,,2.2230628
33,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Bières en bouteille,Europe,3162,bouteilles,,bière en bouteille,1792,,,bière en bouteillebouteilles,,2.2230628
66,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bières en muids,Asie,631.1,muids,,bière en muid,1792,,,bière en muidmuids,,60.042191
64,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bières en muids,Europe,3255,muids,,bière en muid,1792,litres,268.22,bière en muidmuids,,60.042191
65,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bières en muids,Amérique,1416.05,muids,,bière en muid,1792,,,bière en muidmuids,,60.042191
32,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Bières en muids,Europe,6136.35,muids,,bière en muid,1792,,,bière en muidmuids,,60.042191
686,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Bière,Angleterre y compris l'Ecosse et l'Irlande,468,bouteilles,,bière,1792,,,bièrebouteilles,2.2230628,
1168,National/Divers - in/Résultats du CE 1792.csv,Exports,90,Bière,Allemagne et Pologne,1162,muids,,bière,1792,,,bièremuids,60.042191,
1079,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Bière,Etats de l'empereur en Allemagne et en Flandre,486,muids,,bière,1792,,,bièremuids,60.042191,
1310,National/Divers - in/Résultats du CE 1792.csv,Exports,94,Bière,"Suisse, ses alliés et Genève",934,muids,,bière,1792,,,bièremuids,60.042191,
1130,National/Divers - in/Résultats du CE 1792.csv,Imports,90,Bière,Allemagne et Pologne,410,muids,,bière,1792,,,bièremuids,60.042191,
687,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Bière,Angleterre y compris l'Ecosse et l'Irlande,320,muids,,bière,1792,,,bièremuids,60.042191,
1056,National/Divers - in/Résultats du CE 1792.csv,Imports,86,Bière,Etats de l'empereur en Allemagne et en Flandre,346,muids,,bière,1792,,,bièremuids,60.042191,
827,National/Divers - in/Résultats du CE 1792.csv,Imports,77,Bière,République de Hollande,1662.5,muids,,bière,1792,,,bièremuids,60.042191,
978,National/Divers - in/Résultats du CE 1792.csv,Imports,82,Bière,"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",152,muids,,bière,1792,,,bièremuids,60.042191,
688,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Bière,Angleterre y compris l'Ecosse et l'Irlande,256,pintes,,bière,1792,litres,.952146,bièrepintes,.41656113,
979,National/Divers - in/Résultats du CE 1792.csv,Imports,82,Bière,"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",144,pintes,,bière,1792,litres,.952146,bièrepintes,.41656113,
72,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Biscuit de mer,Afrique,271200,livres,,biscuit de mer,1792,kg,.48949999,biscuit de merlivres,.13463271,
73,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Biscuit de mer,Asie,356779,livres,,biscuit de mer,1792,kg,.48949999,biscuit de merlivres,.13463271,
74,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Biscuit de mer,Pêches françaises,656735,livres,,biscuit de mer,1792,kg,.48949999,biscuit de merlivres,.13463271,
71,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Biscuit de mer,Amérique,1747621,livres,,biscuit de mer,1792,kg,.48949999,biscuit de merlivres,.13463271,
79,National/Divers - in/Détail des I et X_1792.csv,Imports,23,Bleu de Prusse,Europe,874,livres,,bleu de Prusse,1792,kg,.48949999,bleu de Prusselivres,4.654747,
1051,National/Divers - in/Résultats du CE 1792.csv,Imports,86,Bestiaux en bœufs ; génisses et vaches,Etats de l'empereur en Allemagne et en Flandre,3647,en nombre,,bœuf et génisses et vaches,1792,pièces,1,bœuf et génisses et vachesen nombre,,
1165,National/Divers - in/Résultats du CE 1792.csv,Exports,90,Bestiaux ; bœufs et vaches,Allemagne et Pologne,1007,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
27,National/Divers - in/Résultats du CE 1792.csv,Exports,41,Bestiaux divers ; bœuf et vaches,Espagne,1035,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
1077,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Bestiaux bœufs et vaches,Etats de l'empereur en Allemagne et en Flandre,1465,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
1306,National/Divers - in/Résultats du CE 1792.csv,Exports,94,Bestiaux ; bœufs et vaches,"Suisse, ses alliés et Genève",3295,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
1125,National/Divers - in/Résultats du CE 1792.csv,Imports,90,Bestiaux et bêtes de sommes ; bœufs et vaches,Allemagne et Pologne,4452,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
1267,National/Divers - in/Résultats du CE 1792.csv,Imports,93,Bestiaux et bêtes de sommes ; bœufs et vaches,"Suisse, ses alliés et Genève",283,en nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesen nombre,,187.20753
26,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Bœufs et vache,Europe,26558,nombre,,bœuf et vaches,1792,pièces,1,bœuf et vachesnombre,,187.20753
54,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Bœufs et vache,Europe,12440,nombres,,bœuf et vaches,1792,pièces,1,bœuf et vachesnombres,,187.20753
220,National/Divers - in/Résultats du CE 1792.csv,Exports,50,Bestiaux ; bœufs,Etats du Roi de Sardaigne,598,en nombre,,bœuf,1792,pièces,1,bœufen nombre,187.20753,
85,National/Divers - in/Détail des I et X_1792.csv,Imports,23,Bois d'ébène,Asie,100000,livres,,bois d'ébène,1792,kg,.48949999,bois d'ébènelivres,,
1528,National/Divers - in/Résultats du CE 1792.csv,Imports,108,Bois de construction divers,Russie et Courlande,11513.8,quintaux,,bois pour construction,1792,kg,48.949999,bois pour constructionquintaux,,
116,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bonneteries de soie,Europe,46338,livres,,bonneterie de soie,1792,kg,.48949999,bonneterie de soielivres,80.643906,
36,National/Divers - in/Résultats du CE 1792.csv,Exports,41,Bonneteries diverses ; de soie,Espagne,13742,paires,,bonneterie de soie,1792,pièces,2,bonneterie de soiepaires,9.2996464,
117,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bonneteries de soie,Europe,62089,paires,,bonneterie de soie,1792,pièces,2,bonneterie de soiepaires,9.2996464,
1083,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Bonneterie de soie,Etats de l'empereur en Allemagne et en Flandre,3479,paires,,bonneterie de soie,1792,pièces,2,bonneterie de soiepaires,9.2996464,
1597,National/Divers - in/Résultats du CE 1792.csv,Exports,113,Bonneteries de soie,Etats Unis,3080,paires,,bonneterie de soie,1792,pièces,2,bonneterie de soiepaires,9.2996464,
1171,National/Divers - in/Résultats du CE 1792.csv,Exports,90,Bonneterie de soie,Allemagne et Pologne,21.2,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
37,National/Divers - in/Résultats du CE 1792.csv,Exports,41,Bonneteries diverses ; de soie,Espagne,58.5,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
1084,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Bonneterie de soie,Etats de l'empereur en Allemagne et en Flandre,4.8,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
855,National/Divers - in/Résultats du CE 1792.csv,Exports,78,Bonneterie de soie,République de Hollande,8.85,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
572,National/Divers - in/Résultats du CE 1792.csv,Exports,65,Bonneterie de soie,Royaume de Naples et de Sicile et Duché de Parmes,37.85,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
458,National/Divers - in/Résultats du CE 1792.csv,Exports,60,Bonneterie de soie,Milanez et Toscane,24.82,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
227,National/Divers - in/Résultats du CE 1792.csv,Exports,50,Bonneteries de soie,Etats du Roi de Sardaigne,1.49,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
339,National/Divers - in/Résultats du CE 1792.csv,Exports,55,Bonneteries de soie,République de Gênes,2.31,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
1011,National/Divers - in/Résultats du CE 1792.csv,Exports,83,Bonneterie de soie,"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",1.6,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
1314,National/Divers - in/Résultats du CE 1792.csv,Exports,94,Bonneterie de soie,"Suisse, ses alliés et Genève",6.3,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
1598,National/Divers - in/Résultats du CE 1792.csv,Exports,113,Bonneteries de soie,Etats Unis,4.23,quintaux,,bonneterie de soie,1792,kg,48.949999,bonneterie de soiequintaux,,8064.3906
122,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bougie,Afrique,12690,livres,,bougie,1792,kg,.48949999,bougielivres,,
123,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bougie,Asie,42102,livres,,bougie,1792,kg,.48949999,bougielivres,,
120,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bougie,Europe,49065,livres,,bougie,1792,kg,.48949999,bougielivres,,
121,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bougie,Amérique,62261,livres,,bougie,1792,kg,.48949999,bougielivres,,
38,National/Divers - in/Résultats du CE 1792.csv,Exports,41,Bougie,Espagne,59.23,quintaux,,bougie,1792,kg,48.949999,bougiequintaux,,
856,National/Divers - in/Résultats du CE 1792.csv,Exports,78,Bougie,République de Hollande,123,quintaux,,bougie,1792,kg,48.949999,bougiequintaux,,
228,National/Divers - in/Résultats du CE 1792.csv,Exports,50,Bougie,Etats du Roi de Sardaigne,30.7,quintaux,,bougie,1792,kg,48.949999,bougiequintaux,,
124,National/Divers - in/Détail des I et X_1792.csv,Exports,24,Bourre de soie,Europe,5200,livres,,bourre de soie,1792,kg,.48949999,bourre de soielivres,,
89,National/Divers - in/Détail des I et X_1792.csv,Imports,23,Bourre de soie,Europe,14397,livres,,bourre de soie,1792,kg,.48949999,bourre de soielivres,,
