numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Coton,1836200
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Fil,10900
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Laine,10689200
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Lin,1000
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,"Poil de chèvre, lièvre et lapin",110100
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Bois divers,18200
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Bois des îles,105900
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Soude,1089900
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Cuirs en poil,12700
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Suif,35300
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Tabacs,1099000
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Articles réunis,96500
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Blé et autres grains, comestibles",3200
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Riz,528000
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Légumes,19200
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Bestiaux en bœufs, vaches, porcs moutons",13200
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Chairs salées,104800
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Fromage,3244500
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Poissons de toute sorte,871200
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Fruits verts, en oranges et citrons",16500
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Fruits secs, en amandes, figues et raisins",166200
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Vins,168000
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Eaux-de-vie,68600
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Provisions diverses,130300
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Beurre,471700
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Cacao,1838400
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Café,10528500
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Sucre,19085000
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Thé,325700
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Liqueurs et sirops,153800
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Poivre ,3140500
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Cannelle,368100
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Girofle,345800
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Muscade,136300
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Epiceries diverses,19800
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Chanvre,2000100
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Coton,2888300
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Fil,238400
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Laine,2309200
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Lin,61500
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Poil de chèvre, lièvre et lapin",210500
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Soie et filoselle,29400
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Bois divers,260600
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Bois des îles,1026500
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Cendres diverses,1326500
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,"Potasse, vedasses et gravelées",391700
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Charbons,1600
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Cires blanche et jaune,292500
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Cuirs en poil,996300
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Huile d'olive pour fabriques,231800
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Huile de poisson,222900
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Soufre et salpêtre,8200
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Suif,4400
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Soie de porc et sanglier,125100
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Tabacs,2728400
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Articles réunis,283900
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Brai et goudron,261900
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Hollande,Graines diverses,165000
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,"Blé et autres grains, comestibles",4000
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Riz,2100
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,"Bestiaux en bœufs, vaches, porcs moutons",41500
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Chairs salées,4200
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Fromage,121300
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Poissons de toute sorte,16700
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,"Fruits secs, en amandes, figues et raisins",5600
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Vins,15700
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Eaux-de-vie,3000
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Provisions diverses,36300
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Café,28400
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Sucre,12000
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Thé,14500
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Liqueurs et sirops,10100
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Poivre ,13600
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Cannelle,13800
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Chanvre,82600
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Coton,2500
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Fil,1300
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Laine,106200
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Lin,500
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Soie et filoselle,20700
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Bois divers,907200
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Bois des îles,125500
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Cendres diverses,2500
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,"Potasse, vedasses et gravelées",183400
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Charbons,221800
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Cires blanche et jaune,9700
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Cuirs en poil,613000
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Huile d'olive pour fabriques,147400
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Huile de poisson,50900
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Soufre et salpêtre,2800
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Suif,6600
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Soie de porc et sanglier,30300
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Tabacs,50600
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Articles réunis,270700
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Brai et goudron,44500
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume de Prusse,Graines diverses,110000
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Blé et autres grains, comestibles",134000
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Riz,98800
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Farine et biscuit de mer,6300
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Bestiaux en bœufs, vaches, porcs moutons",77300
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Chairs salées,1000
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Fromage,1162200
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Poissons de toute sorte,2500
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Fruits verts, en oranges et citrons",15900
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Fruits secs, en amandes, figues et raisins",41700
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Vins,78200
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Eaux-de-vie,2300
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Provisions diverses,24800
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Cacao,11900
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Café,113900
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Sucre,88500
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Thé,5000
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Liqueurs et sirops,35900
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Poivre ,63200
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Cannelle,30200
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Girofle,12500
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Muscade,4600
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Coton,2292600
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Fil,20900
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Laine,242100
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Poil de chèvre, lièvre et lapin",1400
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Soie et filoselle,128100
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Bois divers,169100
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Bois des îles,14000
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Cendres diverses,1400
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,"Potasse, vedasses et gravelées",5400
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Soude,2200
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Charbons,2000
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Cires blanche et jaune,500
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Cuirs en poil,46900
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Huile d'olive pour fabriques,4600
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Huile de poisson,3100
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Suif,4700
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Soie de porc et sanglier,9800
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Articles réunis,64300
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Brai et goudron,3000
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,République de Suisse,Graines diverses,11500
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Riz,20700
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Farine et biscuit de mer,900
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Chairs salées,2600
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Poissons de toute sorte,23400
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Provisions diverses,900
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Cacao,180000
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Café,48100
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Sucre,430700
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Thé,70600
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Liqueurs et sirops,25900
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Poivre ,17400
169,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Coton,102800
170,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Bois divers,6000
171,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Bois des îles,1500
172,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Charbons,2300
173,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Etats-Unis d'Amérique,Tabacs,1510100
174,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Riz,2000
175,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Légumes,4200
176,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Chairs salées,2300
177,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Fromage,103900
178,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Poissons de toute sorte,3800
179,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,"Fruits secs, en amandes, figues et raisins",77100
180,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Vins,7000
181,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Eaux-de-vie,234300
182,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Villes Anséatiques,Provisions diverses,14600
