numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,remarks,doubleaccounts
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huile d'olive,Royaume de Sardaigne,41500,,0
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Légumes verts et secs,Royaume de Sardaigne,3200,,0
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Miel,Royaume de Sardaigne,9700,,0
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Moutarde,Royaume de Sardaigne,1600,,0
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Poissons frais et salés,Royaume de Sardaigne,94900,,0
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Riz,Royaume de Sardaigne,68000,,0
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Sel de mer et de salins,Royaume de Sardaigne,767900,,0
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Provisions diverses réunies,Royaume de Sardaigne,5700,,0
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bierre et cidre,Royaume de Sardaigne,3500,,0
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Eaux-de-vie,Royaume de Sardaigne,599600,,0
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Liqueurs,Royaume de Sardaigne,41600,,0
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins divers,Royaume de Sardaigne,5649000,,0
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins de liqueur,Royaume de Sardaigne,28700,,0
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vinaigre,Royaume de Sardaigne,23100,,0
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Denrées coloniales, telles que sucre, café, thé",Royaume de Sardaigne,5400,,0
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Sirop, mélasse",Royaume de Sardaigne,53800,,0
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Epiceries diverses,Royaume de Sardaigne,1100,,0
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bêtes de somme,Royaume de Sardaigne,138500,,0
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chanvre,Royaume de Sardaigne,30000,,0
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Coton filé,Royaume de Sardaigne,39400,,0
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fil de lin et de chanvre,Royaume de Sardaigne,60400,,0
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Laines fines, filées, &c",Royaume de Sardaigne,35200,,0
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Lin,Royaume de Sardaigne,19300,,0
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Soies,Royaume de Sardaigne,12400,,0
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bois divers de construction,Royaume de Sardaigne,44600,,0
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bois des îles et des Indes,Royaume de Sardaigne,4900,,0
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Brai, goudron et résine",Royaume de Sardaigne,7500,,0
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cendres dites potasses et soudes,Royaume de Sardaigne,82800,,0
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Charbon de terre et de bois,Royaume de Sardaigne,25500,,0
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cire jaune et blanche,Royaume de Sardaigne,65100,,0
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cuirs apprêtés,Royaume de Sardaigne,324200,,0
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Ecorces pour tan,Royaume de Sardaigne,4600,,0
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Graines de jardin,Royaume de Sardaigne,2900,,0
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Graines de trèfle et luzerne,Royaume de Sardaigne,51100,,0
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huiles de graines,Royaume de Sardaigne,27900,,0
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Liège en planche,Royaume de Sardaigne,5200,,0
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Matériaux de construction, tels que pierres, plâtres, chaux, &e",Royaume de Sardaigne,12400,,0
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Soufre,Royaume de Sardaigne,4400,,0
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Suif,Royaume de Sardaigne,1600,,0
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Tabacs,Royaume de Sardaigne,3300,,0
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Terre pour engrais et argile,Royaume de Sardaigne,11300,,0
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume de Sardaigne,44900,,0
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cochenille,Royaume de Sardaigne,2600,,0
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Couleurs et teintures diverses fabriquées,Royaume de Sardaigne,58600,,0
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Garance et alizari,Royaume de Sardaigne,153500,,0
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Herbes à teindre,Royaume de Sardaigne,12700,,0
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Indigo,Royaume de Sardaigne,19600,,0
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Noix de galles,Royaume de Sardaigne,8100,,0
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Verdet,Royaume de Sardaigne,109000,,0
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume de Sardaigne,42200,,0
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Beurre,Italie,11200,,0
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fromages,Italie,7700,,0
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits frais divers,Italie,5600,,0
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs divers,Italie,2700,,0
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits au sucre,Italie,2600,,0
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits et légumes confits au vinaigre,Italie,44000,,0
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huile d'olive,Italie,70400,,0
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Légumes verts et secs,Italie,43500,,0
169,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Miel,Italie,700,,0
170,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Moutarde,Italie,1600,,0
171,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Poissons frais et salés,Italie,7900,,0
172,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Sel de mer et de salins,Italie,30200,,0
173,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Provisions diverses réunies,Italie,5100,,0
