numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_2,remarks,doubleaccounts
104,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,République de suisse,255600,99200500,9673300,,0
105,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Villes anséatiques,216100,99200500,9673300,,0
106,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Royaume de Danemarck,50700,99200500,9673300,,0
107,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Royaume de Suede,186700,99200500,9673300,,0
108,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Milanes et toscane,26500,99200500,9673300,,0
109,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,République de Genes,604200,99200500,9673300,,0
110,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Empire ottoman et barbarie,28800,99200500,9673300,,0
111,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Royaume de sardaigne,719700,99200500,9673300,,0
112,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Empire d'Autriche,1647400,99200500,9673300,,0
113,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Royaume de Portugal,1306900,99200500,9673300,,0
114,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Etats de Rome,7100,99200500,9673300,,0
115,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Blé,Angleterre,586200,99200500,9673300,,0
116,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Farine,Royaume d'Espagne,966400,99200500,8432100,,0
117,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Farine,République de suisse,33600,99200500,8432100,,0
118,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Farine,Etats-Unis d'Amérique,4000,99200500,8432100,,0
119,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Farine,Villes anséatiques,7600,99200500,8432100,,0
120,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Farine,République de Genes,34200,99200500,8432100,,0
121,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Farine,Royaume de sardaigne,30200,99200500,8432100,,0
122,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Farine,Empire d'Autriche,39700,99200500,8432100,,0
123,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Farine,Angleterre,75600,99200500,8432100,,0
124,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Farine,"Colonies francaises en Amérique,Asie et afrique",7240800,99200500,8432100,,0
125,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,Royaume d'Espagne,408800,99200500,4872100,le total devrait être,0
126,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,République de suisse,7200,99200500,4872100,,0
127,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,Etats-Unis d'Amérique,15300,99200500,4872100,,0
128,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,Villes anséatiques,2500,99200500,4872100,,0
129,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,Royaume de Danemarck,1600,99200500,4872100,,0
130,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Chairs salées,Royaume de Suede,1000,99200500,4872100,,0
131,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Empire ottoman et barbarie,3500,99200500,4872100,,0
132,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Royaume de Naples,1000,99200500,4872100,,0
133,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Royaume de sardaigne,10100,99200500,4872100,,0
134,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Empire d'Autriche,5500,99200500,4872100,,0
135,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Empire de Russie,1200,99200500,4872100,,0
136,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Royaume de Portugal,44100,99200500,4872100,,0
137,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,Angleterre,3500,99200500,4872100,,0
138,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Chairs salées,"Colonies francaises en Amérique,Asie et afrique",4360800,99200500,4872100,,0
139,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Fromages,Royaume d'Espagne,31400,99200500,1110900,,0
140,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Fromages,Etats d'Allemagne,5800,99200500,1110900,,0
141,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Fromages,République de suisse,6900,99200500,1110900,,0
142,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Fromages,Etats-Unis d'Amérique,1700,99200500,1110900,,0
143,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Fromages,Royaume de Genes,8000,99200500,1110900,,0
144,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Fromages,Empire ottoman et barbarie,15300,99200500,1110900,,0
145,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Fromages,Royaume de Naples,3500,99200500,1110900,,0
146,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Fromages,Royaume de sardaigne,10300,99200500,1110900,,0
