numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts,remarks
65,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de moutarde,Royaume de Prusse,2100,0,
66,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de trèfle et luzerne,Royaume de Prusse,3800,0,
67,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de poissons,Royaume de Prusse,28700,0,
68,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cochenille,Royaume de Prusse,3500,0,
69,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Royaume de Prusse,1800,0,
70,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bestiaux,Etats de l'Allemagne,563500,0,
71,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Beurre,Etats de l'Allemagne,13700,0,
72,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chairs salées et fraîches,Etats de l'Allemagne,23300,0,
73,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chicorée moulue,Etats de l'Allemagne,83800,0,
74,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Eaux-de-vie,Etats de l'Allemagne,1081700,0,
75,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fromage,Etats de l'Allemagne,888600,0,
76,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits divers,Etats de l'Allemagne,243600,0,
77,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits secs divers,Etats de l'Allemagne,251000,0,
78,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits amandes,Etats de l'Allemagne,379600,0,
79,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huile d'olive,Etats de l'Allemagne,498000,0,
80,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Légumes,Etats de l'Allemagne,155300,0,
81,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Miel,Etats de l'Allemagne,135600,0,
82,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons divers,Etats de l'Allemagne,503300,0,
83,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons anchois,Etats de l'Allemagne,400,0,
84,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Sel,Etats de l'Allemagne,1468700,0,
85,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins divers,Etats de l'Allemagne,8586100,0,
86,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de liqueur,Etats de l'Allemagne,673900,0,
87,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vinaigre,Etats de l'Allemagne,219300,0,
88,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Volailles et gibier,Etats de l'Allemagne,23500,0,
89,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Etats de l'Allemagne,152800,0,
90,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Café,Etats de l'Allemagne,107200,0,
91,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Liqueurs, rhum, &c",Etats de l'Allemagne,47100,0,
92,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Sirops fins et mélasse,Etats de l'Allemagne,53200,0,
93,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Sucre,Etats de l'Allemagne,45600,0,
94,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Epiceries diverses,Etats de l'Allemagne,30500,0,
95,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Canelle,Etats de l'Allemagne,22300,0,
96,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Girofle,Etats de l'Allemagne,51400,0,
97,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Muscade et macis,Etats de l'Allemagne,41900,0,
98,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bêtes de somme,Etats de l'Allemagne,1151500,0,
99,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Coton,Etats de l'Allemagne,5100,0,
100,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fil de lin et de chanvre,Etats de l'Allemagne,1672900,0,
101,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Laines filées,Etats de l'Allemagne,60500,0,
102,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poil de chèvre filé,Etats de l'Allemagne,202400,0,
103,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soies,Etats de l'Allemagne,696400,0,
104,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Baleine,Etats de l'Allemagne,110800,0,
105,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois divers,Etats de l'Allemagne,50500,0,
106,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois des îles,Etats de l'Allemagne,302100,0,
107,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Brai, goudron et résine",Etats de l'Allemagne,7000,0,
108,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Charbon de bois et de terre,Etats de l'Allemagne,129100,0,
109,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Chaux, plâtre et ciment",Etats de l'Allemagne,143100,0,
110,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cire blanche et jaune,Etats de l'Allemagne,44100,0,
111,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuirs apprêtés,Etats de l'Allemagne,4512300,0,
112,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines diverses,Etats de l'Allemagne,20600,0,
113,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de jardin,Etats de l'Allemagne,65100,0,
114,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de moutarde,Etats de l'Allemagne,3000,0,
115,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de trèfle et luzerne,Etats de l'Allemagne,186900,0,
116,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de graines et de noix,Etats de l'Allemagne,3500100,0,
117,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de poissons,Etats de l'Allemagne,424700,0,
118,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Liège en planches,Etats de l'Allemagne,19400,0,
119,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soufre,Etats de l'Allemagne,56400,0,
120,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Etats de l'Allemagne,74600,0,
121,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Alquifoux,Etats de l'Allemagne,108100,0,
122,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Alun,Etats de l'Allemagne,134700,0,
123,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Céruse,Etats de l'Allemagne,31100,0,
124,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cochenille,Etats de l'Allemagne,93300,0,
125,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Garance,Etats de l'Allemagne,1139200,0,
126,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Indigo,Etats de l'Allemagne,548600,0,
127,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Tournesol,Etats de l'Allemagne,97300,0,
128,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Verdet,Etats de l'Allemagne,207600,0,
129,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Etats de l'Allemagne,163700,0,
130,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bestiaux,République de Suisse,631500,0,
131,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Beurre,République de Suisse,7400,0,
132,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chairs salées et fraîches,République de Suisse,2800,0,
133,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chicorée moulue,République de Suisse,8600,0,
134,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Eaux-de-vie,République de Suisse,1207600,0,
135,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fromage,République de Suisse,91900,0,
136,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits divers,République de Suisse,30900,0,
137,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits secs divers,République de Suisse,71100,0,
138,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits amandes,République de Suisse,58100,0,
139,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huile d'olive,République de Suisse,193400,0,
140,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Légumes,République de Suisse,60400,0,
141,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Miel,République de Suisse,50700,0,
142,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons divers,République de Suisse,10100,0,
143,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Sel,République de Suisse,1843600,0,
144,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins divers,République de Suisse,2123900,0,
145,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de liqueur,République de Suisse,71000,0,
146,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vinaigre,République de Suisse,14700,0,
147,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Volailles et gibier,République de Suisse,3500,0,
148,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,République de Suisse,21400,0,
149,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Café,République de Suisse,500,0,
150,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Liqueurs, rhum, &c",République de Suisse,14300,0,
151,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Epiceries diverses,République de Suisse,21500,0,
152,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Canelle,République de Suisse,1600,0,
153,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Girofle,République de Suisse,2500,0,
154,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Muscade et macis,République de Suisse,3000,0,
155,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bêtes de somme,République de Suisse,1500,0,
156,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Coton,République de Suisse,11100,0,
157,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fil de lin et de chanvre,République de Suisse,98900,0,
158,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Laines filées,République de Suisse,16500,0,
159,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soies,République de Suisse,1136600,0,
160,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Baleine,République de Suisse,2100,0,
161,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois divers,République de Suisse,34000,0,
162,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois des îles,République de Suisse,55800,0,
163,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Brai, goudron et résine",République de Suisse,12800,0,
164,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Charbon de bois et de terre,République de Suisse,14500,0,
165,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Chaux, plâtre et ciment",République de Suisse,43700,0,
166,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cire blanche et jaune,République de Suisse,20600,0,
167,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuirs apprêtés,République de Suisse,53900,0,
168,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines diverses,République de Suisse,5300,0,
169,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de jardin,République de Suisse,7000,0,
170,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de trèfle et luzerne,République de Suisse,56700,0,
171,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de graines et de noix,République de Suisse,797900,0,
172,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de poissons,République de Suisse,27800,0,
173,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soufre,République de Suisse,49800,0,
174,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,République de Suisse,20300,0,
175,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Alun,République de Suisse,51500,0,
176,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Céruse,République de Suisse,3200,0,
177,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cochenille,République de Suisse,33500,0,
