numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value,remarks
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Eaux-de-vie,3000,
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Provisions diverses,70000,
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Cacao,176000,
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Café,3672000,
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Sucre,6589000,
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Thé,374000,
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Liqueurs et sirops,9000,
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Poivre,666000,
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Cannelle,78000,
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Girofle,229000,
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Muscade,91000,
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Epiceries diverses,3000,
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Chanvre,7000,
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Coton,2649000,
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Fil,4000,
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Laine,112000,
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,"Poil de chêvre, lièvre et lapin",5000,
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Soie et filoselle,135000,
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Articles réunis,5000,
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Bois divers,244000,
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Bois des îles,122000,
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Cendres diverses,460000,
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,"Potasse, vedasses et gravelées",1120000,
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Charbons,185000,
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Cires blanche et jaune,10000,
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Cuirs en poil,6000,
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Huile d'olive pour fabriques,24000,
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Huile de poisson,460000,
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Soufre et salpêtre,269000,
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Tabacs,973000,
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Articles réunis,90000,
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Blé et autres grains, comestibles",69000,
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Riz,7000,
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Farine et biscuit de mer,11000,
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Légumes,24000,
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Bestiaux en bœufs, vaches, porcs, moutons",513000,
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Chairs salées,45000,
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Fromage,34000,
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Poissons de toute sorte,20000,
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Huile d'olive,7000,
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Fruits verts, en oranges et citrons",89000,
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Fruits secs, en amandes, figues et raisins",47000,
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Vins,149000,
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Eaux-de-vie,37000,
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Provisions diverses,510000,
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cacao,39000,
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Café,2461000,
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Sucre,1297000,
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Thé,73000,
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Liqueurs et sirops,50000,
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Poivre,135000,
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cannelle,12000,
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Girofle,9000,
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Muscade,12000,
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Epiceries diverses,4000,
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Chanvre,344000,
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Coton,10260000,
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Fil,495000,
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Laine,4735000,
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Lin,17000,
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Poil de chêvre, lièvre et lapin",60000,
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Soie et filoselle,1799000,
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Articles réunis,67000,
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Bois divers,1052000,
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Bois des îles,94000,
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cendres diverses,6000,
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Potasse, vedasses et gravelées",132000,
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Charbons,152000,
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cires blanche et jaune,68000,
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cuirs en poil,704000,
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Huile d'olive pour fabriques,63000,
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Huile de poisson,45000,
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Soufre et salpêtre,10000,
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Suif,4000,
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Soie de porc et sanglier,54000,
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Tabacs,29000,
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Articles réunis,1670000,
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,"Blé et autres grains, comestibles",4000,
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Riz,224000,
169,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Farine et biscuit de mer,3000,
170,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,"Bestiaux en bœufs, vaches, porcs, moutons",202000,
171,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Chairs salées,1000,
172,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Fromage,1476000,
