numrodeligne,dataentryby,source,SourecPath,SourceType,year,Exportations/Importations,Pays d'origine,marchandises,value
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Cuirs en poil,2105864
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Huile d'olive pour fabriques,7663
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Huile de poisson,456108
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Soufre et salpêtre,11182
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Suif,15200
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Tabacs,149236
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Articles réunis,341457
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Brai, goudron, résine",592518
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Graine de lin,112010
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Laine,248616
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Bois divers,11530
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Charbons,18451
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Blé et autres grains, comestibles",74214
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Riz,73142
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Farine et biscuit de mer,14552
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Légumes,46553
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Bestiaux en bœufs, vaches, porcs, moutons",872716
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Chairs salées,101232
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Fromage,57185
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Poissons de toute sorte,44070
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Huile d'olive,5921
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",216459
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Vins,17765
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Eaux-de-vie,6843
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Provisions diverses,70821
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Cacao,3168
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Café,991563
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Sucre,444066
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Thé,9595
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Liqueurs et sirops,3325
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Poivre,245855
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Cannelle,57632
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Girofle,21074
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Muscade,4770
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Epiceries diverses,39003
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Chanvre,280857
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Coton,767579
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Fil,1947647
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Laine,7251124
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Lin,1932
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Poil de chêvre, lièvre et lapin",116290
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Soie et filoselle,2703744
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Bois divers,2159913
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Bois des îles,184627
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Cendres diverses ; potasse, vedasses et gravelées",411384
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Charbons,351297
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Cires blanche et jaune,152308
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Cuirs en poil,747068
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Huile d'olive pour fabriques,13374
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Huile de poisson,128477
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Soufre et salpêtre,2740
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Suif,4938
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Tabacs,17445
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Articles réunis,581005
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Brai, goudron, résine",50945
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Blé et autres grains, comestibles",76628
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Riz,185684
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Farine et biscuit de mer,70010
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Bestiaux en bœufs, vaches, porcs, moutons",130080
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Fromage,1768389
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Huile d'olive,700
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",82825
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Vins,4637
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Provisions diverses,4284
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Cacao,2468
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Café,97394
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Sucre,13091
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Thé,972
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Liqueurs et sirops,10656
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Articles réunis,367
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Poivre,42510
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Cannelle,49828
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Girofle,31230
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Muscade,8450
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Epiceries diverses,14453
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Chanvre,714
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Coton,1939707
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Fil,27093
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Laine,700225
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Poil de chêvre, lièvre et lapin",624
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Soie et filoselle,513420
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Bois divers,185768
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Bois des îles,19983
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Cendres diverses ; potasse, vedasses et gravelées",43170
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Charbons,400
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Cires blanche et jaune,5595
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Cuirs en poil,51600
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Huile de poisson,12800
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Articles réunis,46038
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Brai, goudron, résine",2310
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,"Blé et autres grains, comestibles",7720
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Riz,1105258
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Farine et biscuit de mer,3601
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Chairs salées,14195
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Poissons de toute sorte,3606629
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",10922
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Vins,18772
169,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Provisions diverses,1551
170,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Cacao,486225
171,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Café,16756700
172,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Sucre,27036570
173,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Thé,1709452
174,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Liqueurs et sirops,4726
175,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Poivre,2543291
176,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Cannelle,171923
177,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Girofle,118710
178,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Muscade,19072
179,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Epiceries diverses,2384
180,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Coton,18500412
181,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Laine,4350
182,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats-Unis d'Amérique,Soie et filoselle,25720
