numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,doubleaccounts
23,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Etats-Unis d'amérique,64200,15891400,0
24,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Villes anséatiques,560400,15891400,0
25,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Royaume de Danemarck,860100,15891400,0
26,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Royaume de Suède,41700,15891400,0
27,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Milanes et toscane,199500,15891400,0
28,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,République de Genes,1066600,15891400,0
29,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Empire ottoman et barbarie,40000,15891400,0
30,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Royaume de Naples,43500,15891400,0
31,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Royaume de Sardaigne,2090900,15891400,0
32,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Empire d'Autriche,2564900,15891400,0
33,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Empire de Russie,106000,15891400,0
34,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Etats de Rome,25600,15891400,0
35,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,Angleterre,203700,15891400,0
36,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins divers,"Colonies francaises en Asie,Afrique en Amérique",2370400,15891400,0
37,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,Royaume d'Espagne,230400,17104000,0
38,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,Royaume de Hollande,3510900,17104000,0
39,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,République de suisse,98000,17104000,0
40,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,Etats-Unis d'amérique,16300,17104000,0
41,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,Villes anséatiques,2157600,17104000,0
42,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de Bordeaux,Royaume de Suède,230900,17104000,0
43,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de Bordeaux,Empire ottoman et barbarie,37900,17104000,0
44,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de Bordeaux,Empire d'Autriche,86700,17104000,0
45,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de Bordeaux,Empire de Russie,460400,17104000,0
46,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de Bordeaux,Angleterre,3996100,17104000,0
47,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de Bordeaux,"Colonies francaises en Asie,Afrique en Amérique",6278800,17104000,0
48,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins de liqueurs,Royaume d'Espagne,10200,107000,0
49,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de liqueurs,Royaume de Sardaigne,11200,107000,0
50,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Vins de liqueurs,"Colonies francaises en Asie,Afrique en Amérique",85600,107000,0
51,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Royaume d'Espagne,57700,3487400,0
52,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Royaume de Hollande,31500,3487400,0
53,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Royaume de Prusse,12800,3487400,0
54,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Etats de l'Allemagne,38400,3487400,0
55,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,République de suisse,369200,3487400,0
56,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Etats-Unis d'amérique,25600,3487400,0
57,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Villes anséatiques,63500,3487400,0
58,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Royaume de Danemarck,62500,3487400,0
59,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Royaume de Suède,128400,3487400,0
60,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Huile d'olive,Milanes et toscane,54600,3487400,0
61,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,République de Genes,14200,3487400,0
62,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,Empire ottoman et barbarie,8400,3487400,0
63,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,Royaume de Sardaigne,98300,3487400,0
64,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,Empire d'Autriche,396500,3487400,0
65,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,Empire de Russie,38200,3487400,0
66,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,Angleterre,23800,3487400,0
67,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Huile d'olive,"Colonies francaises en Asie,Afrique en Amérique",2063800,3487400,0
68,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",Royaume d'Espagne,2436400,3835300,0
69,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",Etats de l'Allemagne,708400,3835300,0
70,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",République de suisse,1207200,3835300,0
71,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",Royaume de Sardaigne,322100,3835300,0
72,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",Empire d'Autriche,18400,3835300,0
73,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",Angleterre,142800,3835300,0
74,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Royaume d'Espagne,6389300,15213900,0
75,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Royaume de Hollande,1136300,15213900,0
76,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Etats de l'Allemagne,603700,15213900,0
77,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,République de suisse,1312500,15213900,0
78,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Etats-Unis d'amérique,15000,15213900,0
79,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Royaume de Danemarck,150400,15213900,0
80,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Royaume de Suède,11600,15213900,0
81,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Blé et autres grains,Milanes et toscane,64800,15213900,0
82,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,République de Genes,367000,15213900,0
83,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Empire ottoman et barbarie,187800,15213900,0
84,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Royaume de Naples,24000,15213900,0
85,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Royaume de Sardaigne,615100,15213900,0
86,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Empire d'Autriche,750000,15213900,0
87,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Royaume de Potugal,1694200,15213900,0
88,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,Angleterre,1274700,15213900,0
89,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,République de Venise,363100,15213900,0
90,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Blé et autres grains,"Colonies francaises en Asie,Afrique en Amérique",254400,15213900,0
91,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Farine,Royaume d'Espagne,923500,7453600,0
92,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Farine,Etats de l'Allemagne,18700,7453600,0
93,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Farine,République de suisse,56000,7453600,0
94,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Farine,République de Genes,22700,7453600,0
95,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Farine,Angleterre,103600,7453600,0
96,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Farine,République de Venise,51000,7453600,0
97,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Farine,"Colonies francaises en Asie,Afrique en Amérique",6278100,7453600,0
98,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Chairs salées,Royaume d'Espagne,323200,5604800,0
99,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Chairs salées,Etats-Unis d'amérique,17600,5604800,0
100,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Chairs salées,Royaume de Sardaigne,11500,5604800,0
101,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Chairs salées,Royaume de Potugal,54600,5604800,0
102,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Chairs salées,"Colonies francaises en Asie,Afrique en Amérique",5197900,5604800,0
103,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fromages,Royaume d'Espagne,12000,1110200,0
104,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fromages,République de suisse,59300,1110200,0
105,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fromages,République de Genes,11200,1110200,0
106,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fromages,Empire ottoman et barbarie,26900,1110200,0
107,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fromages,Royaume de Sardaigne,54000,1110200,0
108,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fromages,Empire d'Autriche,98600,1110200,0
109,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fromages,"Colonies francaises en Asie,Afrique en Amérique",848200,1110200,0
110,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Légumes,Royaume d'Espagne,406300,1336600,0
111,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Légumes,Royaume de Hollande,15000,1336600,0
112,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Légumes,Etats de l'Allemagne,17500,1336600,0
113,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Légumes,République de suisse,30600,1336600,0
114,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Légumes,Milanes et toscane,20700,1336600,0
115,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,République de Genes,16800,1336600,0
116,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,Empire ottoman et barbarie,19200,1336600,0
117,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,Royaume de Sardaigne,33500,1336600,0
118,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,Royaume de Potugal,30300,1336600,0
119,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,Angleterre,11200,1336600,0
120,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Légumes,"Colonies francaises en Asie,Afrique en Amérique",735500,1336600,0
121,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Royaume d'Espagne,40100,2603100,0
122,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Royaume de Hollande,188200,2603100,0
123,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Royaume de Prusse,31600,2603100,0
124,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Etats de l'Allemagne,36200,2603100,0
125,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,République de suisse,69700,2603100,0
126,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Etats-Unis d'amérique,10400,2603100,0
127,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Villes anséatiques,274100,2603100,0
128,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Royaume de Danemarck,177100,2603100,0
129,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Royaume de Suède,113800,2603100,0
130,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Fruits divers,Milanes et toscane,183700,2603100,0
131,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,République de Genes,66200,2603100,0
132,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Empire ottoman et barbarie,55300,2603100,0
133,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Royaume de Naples,11600,2603100,0
134,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Royaume de Sardaigne,202000,2603100,0
135,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Empire d'Autriche,258700,2603100,0
136,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Empire de Russie,66300,2603100,0
137,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Etats de Rome,11800,2603100,0
138,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,Angleterre,298900,2603100,0
139,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,République de Venise,14600,2603100,0
140,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Fruits divers,"Colonies francaises en Asie,Afrique en Amérique",492800,2603100,0
141,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Poissons de toute sorte,Royaume d'Espagne,433900,1961100,0
142,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Poissons de toute sorte,République de suisse,42300,1961100,0
143,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Poissons de toute sorte,Royaume de Suède,25500,1961100,0
144,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Poissons de toute sorte,Milanes et toscane,18600,1961100,0
145,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,République de Genes,463200,1961100,0
146,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,Empire ottoman et barbarie,39300,1961100,0
147,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,Royaume de Sardaigne,465700,1961100,0
148,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,Etats de Rome,12800,1961100,0
149,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,Angleterre,95300,1961100,0
150,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Poissons de toute sorte,"Colonies francaises en Asie,Afrique en Amérique",364500,1961100,0
151,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Miel,Royaume de Hollande,434500,629700,0
152,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Miel,République de suisse,24400,629700,0
153,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Miel,Villes anséatiques,62800,629700,0
154,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Miel,Royaume de Naples,25400,629700,0
