numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,remarks,DoubleAccounts
34,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Etats de Rome,10000,11435000,,0
35,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Angleterre,187000,11435000,,0
36,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Colonies françaises,1551000,11435000,,0
37,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Royaume d'Espagne,282000,18648000,Le total devrait être 18 588 000,0
38,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Hollande,2054000,18648000,,0
39,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Royaume de Prusse,3137000,18648000,,0
40,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Etats-Unis d'Amerique,32000,18648000,,0
41,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Villes Anséatiques,3012000,18648000,,0
42,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Royaume de Danemark,859000,18648000,,0
43,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de Bordeaux,Royaume de Suède,328000,18648000,,0
44,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Royaume de Naples,7000,18648000,,0
45,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Empire d'Autriche,209000,18648000,,0
46,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Empire de Russie,1352000,18648000,,0
47,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Royaume de Portugal,7000,18648000,,0
48,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Etats de Rome,4000,18648000,,0
49,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Angleterre,2903000,18648000,,0
50,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de Bordeaux,Colonies françaises,4402000,18648000,,0
51,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de liqueur,République de Suisse,34000,173000,,0
52,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de liqueur,Etats-Unis d'Amerique,9000,173000,,0
53,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins de liqueur,Milanie Toscane,20000,173000,,0
54,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de liqueur,République de Gènes,19000,173000,,0
55,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de liqueur,Royaume de Sardaigne,22000,173000,,0
56,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins de liqueur,Colonies françaises,69000,173000,,0
57,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Royaume d'Espagne,43000,3122000,,0
58,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Hollande,23000,3122000,,0
59,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Royaume de Prusse,32000,3122000,,0
60,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Etats de l'Allemagne,43000,3122000,,0
61,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,République de Suisse,397000,3122000,,0
62,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Etats-Unis d'Amerique,6000,3122000,,0
63,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Villes Anséatiques,49000,3122000,,0
64,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Royaume de Danemark,110000,3122000,,0
65,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Royaume de Suède,54000,3122000,,0
66,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Huile d'Olive,Milanie Toscane,778000,3122000,,0
67,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,République de Gènes,22000,3122000,,0
68,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,Empire ottoman et barbarie,14000,3122000,,0
69,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,Royaume de Sardaigne,108000,3122000,,0
70,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,Empire d'Autriche,83000,3122000,,0
71,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,Angleterre,57000,3122000,,0
72,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Huile d'Olive,Colonies françaises,1303000,3122000,,0
73,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",Royaume d'Espagne,1472000,3656000,,0
74,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",Etats de l'Allemagne,634000,3656000,,0
75,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",République de Suisse,978000,3656000,,0
76,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",Royaume de Sardaigne,489000,3656000,,0
77,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",Empire d'Autriche,15000,3656000,,0
78,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",Angleterre,68000,3656000,,0
79,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Blé et autres grains comestibles,Royaume d'Espagne,1517000,2169000,,0
80,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Blé et autres grains comestibles,Hollande,141000,2169000,,0
81,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Blé et autres grains comestibles,République de Gènes,47000,2169000,,0
82,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Blé et autres grains comestibles,Empire ottoman et barbarie,146000,2169000,,0
83,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Blé et autres grains comestibles,Royaume de Sardaigne,20000,2169000,,0
84,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Blé et autres grains comestibles,République de Venise,20000,2169000,,0
85,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Blé et autres grains comestibles,Colonies françaises,278000,2169000,,0
86,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Farine et pâtes d'Italie,Colonies françaises,2895000,2895000,,0
87,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Chairs salées,Royaume d'Espagne,369000,4659000,,0
88,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Chairs salées,Royaume de Portugal,46000,4659000,,0
89,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Chairs salées,Colonies françaises,4244000,4659000,,0
90,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fromages,Royaume d'Espagne,19000,963000,,0
91,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fromages,République de Suisse,68000,963000,,0
92,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,République de Gènes,19000,963000,,0
93,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,Empire ottoman et barbarie,23000,963000,,0
94,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,Royaume de Naples,13000,963000,,0
95,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,Royaume de Sardaigne,16000,963000,,0
96,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,Empire d'Autriche,100000,963000,,0
97,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fromages,Colonies françaises,705000,963000,,0
98,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Légumes,Royaume d'Espagne,277000,863000,,0
99,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Légumes,Empire ottoman et barbarie,8000,863000,,0
100,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Légumes,Royaume de Portugal,22000,863000,,0
101,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Légumes,Colonies françaises,556000,863000,,0
102,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Royaume d'Espagne,34000,2345000,,0
103,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Hollande,264000,2345000,,0
104,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Royaume de Prusse,51000,2345000,,0
105,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Etats de l'Allemagne,62000,2345000,,0
106,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,République de Suisse,75000,2345000,,0
107,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Etats-Unis d'Amerique,19000,2345000,,0
108,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Villes Anséatiques,332000,2345000,,0
109,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Royaume de Danemark,105000,2345000,,0
110,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Royaume de Suède,25000,2345000,,0
111,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Fruits divers,Milanie Toscane,157000,2345000,,0
112,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,République de Gènes,113000,2345000,,0
113,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Empire ottoman et barbarie,112000,2345000,,0
114,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Royaume de Naples,50000,2345000,,0
115,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Royaume de Sardaigne,124000,2345000,,0
116,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Empire d'Autriche,89000,2345000,,0
117,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Empire de Russie,86000,2345000,,0
118,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Angleterre,223000,2345000,,0
119,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,République de Venise,12000,2345000,,0
120,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Fruits divers,Colonies françaises,412000,2345000,,0
121,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Poissons de toute sorte,Royaume d'Espagne,62000,1964000,,0
122,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Poissons de toute sorte,République de Suisse,53000,1964000,,0
123,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Poissons de toute sorte,Royaume de Danemark,24000,1964000,,0
124,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,République de Gènes,581000,1964000,,0
125,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Empire ottoman et barbarie,48000,1964000,,0
126,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Royaume de Sardaigne,612000,1964000,,0
127,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Empire d'Autriche,13000,1964000,,0
128,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Etats de Rome,20000,1964000,,0
129,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Angleterre,38000,1964000,,0
130,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Poissons de toute sorte,Colonies françaises,513000,1964000,,0
131,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Miel,Hollande,459000,585000,,0
132,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Miel,Royaume de Prusse,12000,585000,,0
133,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Miel,République de Suisse,18000,585000,,0
134,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Miel,Empire ottoman et barbarie,9000,585000,,0
135,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Miel,Empire d'Autriche,81000,585000,,0
136,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Miel,Empire de Russie,6000,585000,,0
137,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Royaume d'Espagne,13000,2076000,,0
138,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Hollande,78000,2076000,,0
139,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Royaume de Prusse,39000,2076000,,0
140,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Etats de l'Allemagne,411000,2076000,,0
141,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,République de Suisse,823000,2076000,,0
142,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Etats-Unis d'Amerique,80000,2076000,,0
143,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Villes Anséatiques,40000,2076000,,0
144,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Royaume de Danemark,76000,2076000,,0
145,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Sel,Royaume de Suède,23000,2076000,,0
146,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Sel,Royaume de Sardaigne,237000,2076000,,0
147,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Sel,Empire d'Autriche,51000,2076000,,0
148,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Sel,Empire de Russie,39000,2076000,,0
149,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Sel,Angleterre,155000,2076000,,0
150,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Sel,Colonies françaises,11000,2076000,,0
151,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Provisions de bouche réunies,Royaume d'Espagne,144000,659000,,0
152,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Provisions de bouche réunies,Hollande,11000,659000,,0
153,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Provisions de bouche réunies,Royaume de Prusse,16000,659000,,0
154,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Provisions de bouche réunies,République de Suisse,146000,659000,,0
