numrodeligne,datantryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Dents d'éléphant,4900
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Ecaille,37100
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Eponges,2100
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Fourrages,2300
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Graines grasses de chanvre, lin et colza",1000
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Graines de jardin et autres,1400
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Graines de prairie, trèfle et luzerne",600
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Huiles d'olive pour fabriques,14828800
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Huiles de poisson,5000
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane",300
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Nacre de perle,6000
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Oreillons,4400
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Rogues de poisson,1100
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Soies de porc et de sanglier,500
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Sparterie brute, en auffe, joncs et roseaux",177300
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Suif,31200
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Tabacs en feuilles et en côtes,12700
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Articles réunis,84700
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Alquifoux, mine de plomb ou graphite",400
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Cochenille,1218000
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Curcuma,9700
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Graine jaune d'Avignon ou nerprun,12200
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Indigo,1786600
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Jus de citron,6500
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Noix de galle et galles légères,18100
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Quercitron,11100
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Safranum,325500
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Sumac,45000
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Articles réunis,34200
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Bois des îles et des Indes, d'ébénisterie",4900
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Bois de teinture,8500
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Cornes de bétail,35800
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Crin,140100
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Cuirs et peaux non apprêtés ,4153200
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Dents d'éléphant,97600
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Ecaille,900
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Graines de jardin et autres,500
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Huiles d'olive pour fabriques,9100
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Nacre de perle,17800
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Sparterie brute, en auffe, joncs et roseaux",2300
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Suif,18800
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Tabacs en feuilles et en côtes,3600
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Articles réunis,4900
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Curcuma,1600
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Indigo,125600
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Noix de galle et galles légères,1400
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Safranum,1400
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Sumac,35800
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Articles réunis,200
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Agaric brut et préparé,25300
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Ardoises,3200
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Baleine,8800
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Bois de construction et autres,16000
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Bois sciés en planches,165000
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Bois feuillards,155800
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Bois merrains,51200
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Bois ouvrés divers, en perches, échalas, échasses",700
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Bois de teinture,148700
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Brai, goudron, galipot et résine",600
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Cendres-potasse, védasse et gravelée",2500
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Cendres soude, natron et salin",63600
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Charbon de terre et de bois,5400
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Cires blanche et jaune,2200
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Cornes de bétail,26200
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Crin,200
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Cuirs et peaux non apprêtés ,392000
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Ecaille,5200
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Eponges,4600
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Fourrages,7600
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Graines grasses de chanvre, lin et colza",13300
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Graines de jardin et autres,18300
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Graines de prairie, trèfle et luzerne",2000
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Huiles d'olive pour fabriques,4397300
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Huiles de faine et de noix,39300
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Huiles de poisson,18500
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Manganèse,500
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Marbre et albâtre brut et poli,68400
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane",5300
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Oreillons,25500
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Soufre,60900
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Sparterie brute, en auffe, joncs et roseaux",1000
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Suif,17000
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Tabacs en feuilles et en côtes,214200
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Articles réunis,49900
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Alquifoux, mine de plomb ou graphite",16400
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Alun,44900
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Avelanèdes,500
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Céruse,2600
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Curcuma,900
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Garance et alizari,16600
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Graine jaune d'Avignon ou nerprun,1500
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Indigo,43200
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Jus de citron,3500
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Noix de galle et galles légères,67500
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Quercitron,53300
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Sumac,61300
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Articles réunis,15900
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Bois de construction et autres,34300
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Bois feuillards,8500
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Bois merrains,40800
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Bois ouvrés divers, en perches, échalas, échasses",1700
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Bois de teinture,15300
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Cendres-potasse, védasse et gravelée",750800
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Cendres soude, natron et salin",1000
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Charbon de terre et de bois,4000
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Cires blanche et jaune,5600
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Cuirs et peaux non apprêtés ,171200
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Dents d'éléphant,3800
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Ecaille,3000
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Eponges,174800
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Fourrages,500
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Huiles d'olive pour fabriques,1348700
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Huiles de graines,700
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Marbre et albâtre brut et poli,92700
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane",3400
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Nacre de perle,27300
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Soufre,154900
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Suif,432900
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Tabacs en feuilles et en côtes,31500
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Articles réunis,10800
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Alun,61000
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Avelanèdes,122700
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Garance et alizari,70500
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Graine jaune d'Avignon ou nerprun,4900
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Indigo,32800
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Noix de galle et galles légères,71300
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Quercitron,35200
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Safranum,5200
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Sumac,124300
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Articles réunis,3000
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Agaric brut et préparé,5100
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Bois de construction et autres,8200
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Bois sciés en planches,1800
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Bois feuillards,241200
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Bois merrains,109600
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Cendres-potasse, védasse et gravelée",47600
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Cendres soude, natron et salin",27900
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Cires blanche et jaune,1700
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Cornes de bétail,9100
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Cuirs et peaux non apprêtés ,41400
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Graines de jardin et autres,5000
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Huiles d'olive pour fabriques,4943700
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Huiles de graines,600
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Huiles de poisson,300
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Oreillons,7800
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Soufre,2212400
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Suif,220400
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Articles réunis,22100
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Jus de citron,118800
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Noix de galle et galles légères,143100
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Sumac,289300
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Articles réunis,44900
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Bois de construction et autres,5600
169,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Bois sciés en planches,44600
170,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Bois merrains,54000
171,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Cuirs et peaux non apprêtés ,30800
172,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Huiles d'olive pour fabriques,9900
173,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Marbre et albâtre brut et poli,700
174,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane",15000
