numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Légumes,160900
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Miel,300
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Moutarde,800
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Œufs,24500
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Poissons de toutes sortes,14800
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Provisions de bouche réunies,11100
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Riz,15000
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Sel,21300
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bière et cidre,2900
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Eaux-de-vie,1982200
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Liqueurs,144100
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vins divers ordinaires,548600
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vins divers fins,368600
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vins de Bordeaux ordinaires,800200
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vins de Bordeaux fins en bouteilles,821600
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vins de liqueur,34500
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Vinaigre,52100
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Denrées coloniales et épicerie,5400
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Sirop mélasse,600
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Sucres,14800
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bêtes de somme,3382000
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Chanvre,13100
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Coton filé et en rame,32500
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fil de lin et de chanvre,394400
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,"Laines filées, blanches et teintes",51700
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Lin,145300
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Soies,23000
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bois divers,2500
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bois feuillards,8000
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bois ouvrés,9200
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bois sciés en planches,173400
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bois des iles et des Indes,11900
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,"Brai, goudron et résine",179400
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Cendres propres aux manufactures,2300
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Charbon de terre,1400
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Charbons cardiers,6900
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Cires blanche et jaune,238000
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Cuirs et peaux de bœufs et de vaches apprêtés,169600
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Graines diverses,600
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Graines d'anis,900
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Graines de jardin,11000
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Graines de trèfle et luzerne,300
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Huiles de graines ordinaires,2900
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,"Huiles d'oeillette, de nois, de pavots",46200
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Huiles de poisson,7400
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Houblon,800
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Liège en planche,6900
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Matériaux propres à la construction,4100
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Plants d'arbres,1900
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Soufre,10400
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Suif,2700
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Tabacs,8600
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Articles réunis,21700
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Beurre,464700
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Blés,82900
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Chairs fraîches et salées,123600
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Farine et biscuit de mer,344800
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Farine pâtes et vermicelle,5400
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fromage,5900
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fruits frais,1000
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fruits secs divers,8700
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fruits secs amandes,800
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fruits à l'eau de vie,6600
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fruits et légumes confits et marinés,2200
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Graisse,1000
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Huile d'olive fine,6900
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Légumes,50600
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Moutarde,400
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Poissons de toutes sortes,8700
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Sel,75000
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Bière et cidre,3100
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Eaux-de-vie,423600
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Liqueurs,9500
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Vins divers ordinaires,287800
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Vins divers fins,69200
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Vins de Bordeaux ordinaires,40000
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Vins de liqueur,4500
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Vinaigre,26900
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Sucres,9600
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Fil de lin et de chanvre,6100
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,"Laines filées, blanches et teintes",900
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Soies,160300
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Bois feuillards,300
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Bois sciés en planches,2600
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,"Brai, goudron et résine",60900
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Cuirs et peaux de bœufs et de vaches apprêtés,20600
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Graines de jardin,2400
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Graines de trèfle et luzerne,800
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,"Huiles d'oeillette, de nois, de pavots",23100
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Matériaux propres à la construction,6900
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Soufre,2000
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Tabacs,5600
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Portugal et ses colonies,Articles réunis,900
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bestiaux,400100
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Beurre,1200
111,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Blés,33900
112,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Chairs fraîches et salées,2200
113,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Chairs volailles et gibier,7900
114,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Farine et biscuit de mer,3900
115,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Farine pâtes et vermicelle,6100
116,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fromage,4800
117,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fruits frais,209100
118,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fruits secs divers,31800
119,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fruits secs amandes,21400
120,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fruits et légumes confits et marinés,6900
121,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Graisse,4600
122,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Huile d'olive fine,10300
123,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Légumes,14900
124,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Miel,7600
125,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Moutarde,2800
126,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Poissons de toutes sortes,137600
127,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Poissons morue de pêche française,504800
128,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Provisions de bouche réunies,5900
129,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Sel,130300
130,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bière et cidre,1700
131,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Eaux-de-vie,574100
132,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Liqueurs,19300
133,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vins divers ordinaires,3028600
134,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vins divers fins,70000
135,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vins de Bordeaux ordinaires,11400
136,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vins de Bordeaux fins en bouteilles,10000
137,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vins de liqueur,21100
138,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Vinaigre,9600
139,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Denrées coloniales et épicerie,2100
140,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Sirop mélasse,2000
141,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Sucres,247700
142,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bêtes de somme,463500
143,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Chanvre,22500
144,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Coton filé et en rame,265800
145,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Fil de lin et de chanvre,85100
146,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,"Laines filées, blanches et teintes",212300
147,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Laines mérinos lavées,118400
148,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Laines mérinos en suint,17300
149,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Laines (déchet de ),1900
150,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Soies,2900
151,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bois divers,120800
152,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bois ouvrés,3200
153,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Bois des iles et des Indes,6700
154,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,"Brai, goudron et résine",45400
155,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Cendres propres aux manufactures,50400
156,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Charbon de terre,15000
157,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Charbons cardiers,2100
158,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Cires blanche et jaune,38100
159,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Cuirs et peaux de bœufs et de vaches apprêtés,847000
160,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Ecorces pour les tanneries,11700
161,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Graines d'anis,25900
162,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Graines de jardin,4400
163,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Graines de trèfle et luzerne,81400
164,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Huiles de graines ordinaires,28700
165,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,"Huiles d'oeillette, de nois, de pavots",3900
166,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Huiles de poisson,4200
167,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Houblon,500
168,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume de Sardaigne,Liège en planche,6400
