numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
39,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Etoffes de coton,Angleterre ,,,,400,,Pas de quantité ni de prix unitaire
40,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Etoffes de soye,Angleterre ,8,Livres,50,400,0,
41,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Flandres,Etoffes de laine etamine,Angleterre ,504,Aunes,,720,,Prix unitaire illisible
42,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Fer en paquets,Angleterre ,1000,Livres,"0,2",200,0,20 livres le quintal
43,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Normandie,Fer en marmites,Angleterre ,75,Nombre,,112,,Pas de prix unitaire
44,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Fil à coudre,Angleterre ,283,Livres,2,566,0,
45,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Fil à mèche,Angleterre ,1120,Livres,"1,1",1232,0,
46,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Fruits cruds,Angleterre ,,,,269,,Pas de prix unitaire
47,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Citrons,Angleterre ,69,Caisses,,1242,,Pas de prix unitaire
48,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Oranges,Angleterre ,71,Caisses,,2130,,
49,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Fruits confits,Angleterre ,,,,166,,
50,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Fruits secs (figues),Angleterre ,415,Livres,"0,3",124,"-0,5",30 livres le quintal
51,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Figues,Angleterre ,8874,Livres,"0,3",2662,"-0,2",30 livres le quintal
52,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Noix,Angleterre ,,,,4550,,
53,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Noisettes,Angleterre ,,,,207,,
54,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Prunes seches,Angleterre ,5488,Livres,"0,45",2470,"0,4",45 livres le quintal
55,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Raisin sec,Angleterre ,18420,Livres,"0,3",5526,0,30 livres le quintal
56,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Raisin de Corinthe,Angleterre ,11640,Livres,"0,3",3492,0,30 livres le quintal
57,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Futailles vides,Petites isles,300,Pièces,3,900,0,
58,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Isle de France,Gants de peau,Angleterre ,1344,Paires,,2016,,Pas de prix unitaire
59,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Isle de France,Gaze de soye,Angleterre ,871,Aunes,5,2613,-1742,
60,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Graine de lin,La Hollande,2606,Livres,"0,1",261,"0,4",10 livres le quintal
61,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Etranger,Graisse salée,Angleterre ,917,Livres,"0,75",687,"-0,75",
62,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Huile d'olive,Angleterre ,,,,6233,,"Pas de prix unitaire + quantité: 978 pots et 3299,5 livres"
63,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Huile a bruler,Angleterre ,,,,592,,
64,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Legumes divers,Petites isles,,,,112,,
65,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Legumes divers,Angleterre ,,,,378,,
66,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Librairie,Angleterre ,,,,3745,0,
67,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Lingerie,Angleterre ,,,,7563,,
68,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Marchandises à la valeur,Angleterre ,,,,2276,,
69,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Marchandises à la valeur,La Hollande,,,,105,,
70,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Mercerie,Angleterre ,409,Livres,2,802,-16,Erreur de calcul
71,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Provence,Meubles divers,Angleterre ,,,,2100,,
72,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Miel,Angleterre ,12222,Livres,"0,22",2689,"0,16",22 livres le quintal
73,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Miel,La Hollande,184800,Livres,"0,22",40656,0,22 livres le quintal
74,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Normandie,Mouchoir de coton,Angleterre ,280,Aunes,3,840,0,
75,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Normandie,Ouvrages divers de bois,Angleterre ,,,,3276,,
76,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Normandie,Ouvrages d'ozier,Angleterre ,,,,272,,
77,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Papier blanc,Angleterre ,61,Rames,9,552,3,Erreur de calcul
78,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Papier gris,Angleterre ,68,Rames,"3,5",238,0,
79,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Papier peint,Angleterre ,,,,304,,
80,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,4,1789,Saint-Malo,Saint-Malo,Bretagne,Parapluyes,Angleterre ,134,Nombre,18,2412,0,
81,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Bretagne,Peaux de chèvre,Angleterre ,30,Nombre,6,180,0,
82,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Bretagne,Peaux de Bazanne,Angleterre ,125,Nombre,"1,5",187,"-0,5",
83,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Bretagne,Peaux de moutons passées,Angleterre ,112,Nombre,"1,5",168,0,
84,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Bretagne,Peaux de veaux corroyées,Angleterre ,358,Livres,2,716,0,159 nombre pour 358 livres
85,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Bretagne,Peaux de veaux passées,Angleterre ,285,Livres,"2,5",712,"-0,5",7 nombre pour 285 livres
86,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Angleterre,Poivres à meules,La Hollande,18,Nombre,6,108,0,
87,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Angleterre,Plumes à lit,Angleterre ,787,Livres,3,2754,393,Erreur de calcul
88,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Angleterre,Plumes teintes,Angleterre ,2,Livres,,150,,Pas de prix unitaire
89,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Angleterre,Poisson salé divers,Angleterre ,,,,153,,
90,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint-Cast,Huitres,Angleterre ,1280000,Livres,"0,003",3840,0,3 livres le mille
91,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Morues vertes,Angleterre ,280,Nombre,"0,8",224,0,80 livres le quintal
92,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Sardines,Angleterre ,53,Barils,40,2120,0,
93,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Saumon,Marseille,48000,Livres,"0,3",14400,0,30 livres le quintal
94,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Poterie de terre,Angleterre ,,,,150,,
95,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Provisions de bouche,Angleterre ,,,,1296,,
96,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Saint Pierre et Miquelon,Quincaillerie de fer,Angleterre ,8828,Livres,,4414,,Pas de prix unitaire
97,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Isle de France,Ruban de soye,Angleterre ,"9,5",Livres,,596,,
98,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,5,1789,Saint-Malo,Saint-Malo,Provence,Savon,Petites isles,20000,Livres,"0,53",10600,0,53 livres le quintal
