numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
34,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Italie,200,49086,,,,0
35,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Genes,600,49086,,,,0
36,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Levant,2444,49086,,,,0
37,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Nord,2612,49086,,,,0
38,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Savoye,11070,49086,,,,0
39,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Alun,Suede,766,49086,,,,0
40,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Amadou,Savoye,130,0,,,,0
41,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Amandes,Allemagne,574.5,469849.1,,,,0
42,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Amandes,Danemark,201,469849.1,,,,0
43,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Amandes,Espagne,5388,469849.1,,,,0
44,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,3,Amandes,Flandre,196.2,469849.1,,,,0
45,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Geneve,3281.4,469849.1,,,,0
46,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Hollande,77299.60000000001,469849.1,,,,0
47,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Isles,6540,469849.1,,,,0
48,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Italie,33222,469849.1,,,,0
49,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Naples,1200,469849.1,,,,0
50,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Genes,27221,469849.1,,,,0
51,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Levant,60572,469849.1,,,,0
52,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Nord,160706,469849.1,,,,0
53,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Savoye,74528.39999999999,469849.1,,,,0
54,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Suede,18739,469849.1,,,,0
55,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amandes,Suisse,180,469849.1,,,,0
56,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Ambre,Italie,400,0,,,,0
57,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Allemagne,2972.6,82252,,,,0
58,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Danemark,8.800000000000001,82252,,,,0
59,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Espagne,665.8,82252,,,,0
60,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Flandre,76408.60000000001,82252,,,,0
61,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Geneve,289,82252,,,,0
62,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Isles,820,82252,,,,0
63,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Amidon,Savoye,1087.2,82252,,,,0
64,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Allemagne,5,5469,,,le total devrait être 5499,0
65,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Danemark,6,5469,,,,0
66,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Espagne,76,5469,,,,0
67,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Flandre,144.6,5469,,,,0
68,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Geneve,4.2,5469,,,,0
69,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Hollande,4030.2,5469,,,,0
70,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Isles,742.6,5469,,,,0
71,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Italie,60,5469,,,,0
72,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Savoye,422.4,5469,,,,0
73,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anchois,Suede,8,5469,,,,0
74,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anguilles,Allemagne,130,340.6,,,,0
75,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anguilles,Italie,112.5,340.6,,,,0
76,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,4,Anguilles,Genes,98.09999999999999,340.6,,,,0
77,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Anis,Espagne,15,2285,,,,0
78,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Anis,Geneve,297.5,2285,,,,0
79,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Anis,Hollande,648,2285,,,,0
80,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Anis,Savoye,1202,2285,,,,0
81,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Anis,Suisse,122.5,2285,,,,0
82,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Antimoine,Flandre,80,1175.6,,,,0
83,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Antimoine,Hollande,495.6,1175.6,,,,0
84,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Antimoine,Italie,399,1175.6,,,,0
85,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Antimoine,Savoye,201,1175.6,,,,0
86,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arbres à planter,Allemagne,90,1539.8,,,,0
87,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arbres à planter,Espagne,400,1539.8,,,,0
88,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arbres à planter,Flandre,609.8,1539.8,,,,0
89,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arbres à planter,Hollande,200,1539.8,,,,0
90,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arbres à planter,Levant,240,1539.8,,,,0
91,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arcenic,Geneve,180,241,,,,0
92,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Arcenic,Savoye,61,241,,,,0
93,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Ardoises,Allemagne,9456,30904.4,,,,0
94,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Ardoises,Espagne,30,30904.4,,,,0
95,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Ardoises,Flandre,21418.4,30904.4,,,,0
96,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argent ; vif,Espagne,510,510,,,,0
97,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Allemagne,45415.9,2832976.2,,,,0
98,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Angleterre,52,2832976.2,,,,0
99,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Danemark,715,2832976.2,,,,0
100,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Espagne,899118,2832976.2,,,,0
101,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Flandre,8236.5,2832976.2,,,,0
102,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Geneve,2764.5,2832976.2,,,,0
103,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Hollande,114310.6,2832976.2,,,,0
104,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Italie,5073,2832976.2,,,,0
105,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,5,Argenterie,Genes,15846,2832976.2,,,,0
106,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Argenterie,Nord,11591.3,2832976.2,,,,0
107,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Argenterie,Portugal,1605340,2832976.2,,,,0
108,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Argenterie,Russie,123915,2832976.2,,,,0
109,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Argenterie,Savoye,142.5,2832976.2,,,,0
110,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Argenterie,Suisse,456,2832976.2,,,,0
111,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; diverses,Allemagne,178,88548.10000000001,478,1488.09997559,,0
112,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; diverses,Flandre,300,88548.10000000001,478,1488.09997559,,0
113,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; épées,Allemagne,400,88548.10000000001,1010.09997559,1488.09997559,,0
114,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; épées,Flandre,318,88548.10000000001,1010.09997559,1488.09997559,,0
115,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; épées,Hollande,134,88548.10000000001,1010.09997559,1488.09997559,,0
116,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; blanches ; épées,Portugal,158.1,88548.10000000001,1010.09997559,1488.09997559,,0
117,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; à feu ; fusils,Espagne,290,88548.10000000001,87060,87060,,0
118,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; à feu ; fusils,Flandre,160,88548.10000000001,87060,87060,,0
119,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; à feu ; fusils,Isles,86400,88548.10000000001,87060,87060,,0
120,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armes ; à feu ; fusils,Italie,210,88548.10000000001,87060,87060,,0
121,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Armoisin,Hollande,4005,0,,,,0
122,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Arquifou,Espagne,105,833,,,,0
123,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Arquifou,Levant,728,833,,,,0
124,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Asnes,Angleterre,60,2105,,,,0
125,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Asnes,Espagne,1215,2105,,,,0
126,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Asnes,Savoye,830,2105,,,,0
127,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,6,Auf,Savoye,14,0,,,,0
128,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,7,Avirons,Espagne,3220,6708,,,,0
129,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,7,Avirons,Hollande,2868,6708,,,,0
130,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1761.csv,Objet Général,1761,Exports,7,Avirons,Portugal,620,6708,,,,0
