numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,doubleaccounts
37,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Alun,Italie,180,41864,,,,,0
38,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Alun,Levant,4601,41864,,,,,0
39,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Alun,Nord,73,41864,,,,,0
40,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Alun,Savoye,2394,41864,,,,,0
41,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amadou,Espagne,534,549,,,,,0
42,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amadou,Flandre,15,549,,,,,0
43,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Allemagne,58,305895,,,,,0
44,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Danemark,1912,305895,,,,,0
45,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Espagne,434,305895,,,,,0
46,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Flandre,1091,305895,,,,,0
47,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Geneve,2465,305895,,,,,0
48,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Hollande,44926,305895,,,,,0
49,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Isles,17750,305895,,,,,0
50,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Italie,62415,305895,,,,,0
51,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Levant,39967,305895,,,,,0
52,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Nord,90198,305895,,,,,0
53,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Savoye,34501,305895,,,,,0
54,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,4,Amandes,Suede,10176,305895,,,,,0
55,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amertis,Hollande,4096,0,,,,,0
56,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Allemagne,1433,72705,,,,,0
57,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Angleterre,35,72705,,,,,0
58,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Danemark,6,72705,,,,,0
59,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Espagne,1237,72705,,,,,0
60,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Flandre,61946,72705,,,,,0
61,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Geneve,3437,72705,,,,,0
62,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Hollande,90,72705,,,,,0
63,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Isles,400,72705,,,,,0
64,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Italie,342,72705,,,,,0
65,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Levant,50,72705,,,,,0
66,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Portugal,1180,72705,,,,,0
67,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Amidon,Savoye,2548,72705,,,,,0
68,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Allemagne,94,20130,,,,le total devrait être 20120 - 19,0
69,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Flandre,1325,20130,,,,,0
70,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Geneve,437,20130,,,,,0
71,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Hollande,4048,20130,,,,,0
72,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Isles,9626,20130,,,,,0
73,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Italie,9,20130,,,,,0
74,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Nord,1925,20130,,,,,0
75,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Savoye,2070,20130,,,,,0
76,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anchois,Suede,584,20130,,,,,0
77,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Ancres de fer,Espagne,7500,12566,,,,,0
78,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Ancres de fer,Isles,5066,12566,,,,,0
79,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anguilles,Allemagne,1061,7049,,,,,0
80,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anguilles,Italie,5988,7049,,,,,0
81,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Allemagne,35,9375,,,,,0
82,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Espagne,3880,9375,,,,,0
83,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Geneve,1063,9375,,,,,0
84,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Hollande,2567,9375,,,,,0
85,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Italie,637,9375,,,,,0
86,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Savoye,1052,9375,,,,,0
87,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,5,Anis,Suisse,140,9375,,,,,0
88,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Antimoine,Portugal,88,414,,,,,0
89,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Antimoine,Savoye,326,414,,,,,0
90,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Allemagne,1314,2221,,,,,0
91,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Espagne,200,2221,,,,,0
92,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Flandre,471,2221,,,,,0
93,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Hollande,36,2221,,,,,0
94,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Nord,108,2221,,,,,0
95,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arbres à planter,Suede,92,2221,,,,,0
96,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arcenic,Espagne,75,1044,,,,,0
97,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arcenic,Levant,950,1044,,,,,0
98,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Arcenic,Savoye,19,1044,,,,,0
99,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Ardoises,Allemagne,500,23260,,,,,0
100,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Ardoises,Flandre,20180,23260,,,,,0
101,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Ardoises,Hollande,1260,23260,,,,,0
102,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Ardoises,Isles,1320,23260,,,,,0
103,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argent vif,Italie,800,2888,,,,,0
104,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argent vif,Levant,2088,2888,,,,,0
105,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Allemagne,912,138723,137854,,,,0
106,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Angleterre,256,138723,137854,,,,0
107,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Espagne,14470,138723,137854,,,,0
108,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Flandre,15165,138723,137854,,,,0
109,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Geneve,4089,138723,137854,,,,0
110,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Hollande,5090,138723,137854,,,,0
111,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Isles,4068,138723,137854,,,,0
112,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Italie,36,138723,137854,,,,0
113,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Portugal,91834,138723,137854,,,,0
114,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; diverse,Russie,1930,138723,137854,,,,0
115,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; bugues,Savoye,40,138723,,,,,0
116,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; croix,Savoye,36,138723,,,,,0
117,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; épés,Espagne,107,138723,792,,,,0
118,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; épés,Flandre,75,138723,792,,,,0
119,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; épés,Italie,160,138723,792,,,,0
120,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Argenterie ; épés,Russie,450,138723,792,,,,0
121,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,6,Aristoloche,Italie,82,0,,,,,0
122,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; blanche ; satres,Isles,6000,91950,,,,,0
123,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; diverses,Allemagne,30,91950,31830,85950,,,0
124,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; diverses,Isles,31800,91950,31830,85950,,,0
125,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; fusils,Espagne,600,91950,32800,85950,,,0
126,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; fusils,Isles,29700,91950,32800,85950,,,0
127,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; fusils,Italie,120,91950,32800,85950,,,0
128,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; fusils,Portugal,1860,91950,32800,85950,,,0
129,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; fusils,Russie,520,91950,32800,85950,,,0
130,Fatima Zahra,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1757.csv,Objet Général,1757,Exports,7,Armes ; à feu ; pistolets,Isles,21320,91950,21320,85950,,,0
