Numéro de ligne,Data entry by,Source,Year,Exports-Imports,Sheet,Marchandises,Marchandises,Marchandises-1,Marchandises-2,Marchandises-3,Marchandises-4,Pays,Leur Valeur,,Leur valeur recalculée,Leur Valeur (sub-total 1),,Leur Valeur (sub-total 2),Leur Valeur (sub-total 2),,Total,,Remarks
273,Annick Davis,Montbret 849,1752,Imports,105,Bois ; de chesne,Bois , de chesne,,,,Allemagne,202 941,0,"202 941,00",204 151,0,,,,409 927,0,
277,Annick Davis,Montbret 849,1752,Imports,105,Bois ; gro-cribles,Bois , gro-cribles,,,,Allemagne,260,0,"260,00",1 900,0,,,,4 652,18,
280,Annick Davis,Montbret 849,1752,Imports,105,Bois ; fagots,Bois , fagots,,,,Allemagne,493,17,"493,85",,,,,,4 652,18,
314,Annick Davis,Montbret 849,1752,Imports,106,Bois ; merrain ; à tonneaux,Bois , merrain , à tonneaux,,,Allemagne,78 014,15,"78 014,75",233 160,9,705 665,12,,11 172,0,
321,Annick Davis,Montbret 849,1752,Imports,106,Bois ; ouvré,Bois , ouvré,,,,Allemagne,3 032,10,"3 032,50",7 251,10,,,,954,0,
326,Annick Davis,Montbret 849,1752,Imports,106,Bois ; de roüage,Bois , de roüage,,,,Allemagne,1 532,0,"1 532,00",,,,,,3 125,15,
372,Annick Davis,Montbret 849,1752,Imports,108,Bouteilles ; de verre,Bouteilles , de verre,,,,Allemagne,4 861,0,"4 861,00",,,,,,3 125,15,
381,Annick Davis,Montbret 849,1752,Imports,109,Boutons ; d'argent,Boutons , d'argent,,,,Allemagne,280,0,"280,00",,,,,,120,0,
382,Annick Davis,Montbret 849,1752,Imports,109,Boutons ; de crin,Boutons , de crin,,,,Allemagne,21 056,0,"21 056,00",30 832,0,,,,357,10,
385,Annick Davis,Montbret 849,1752,Imports,109,Boutons ; d'etaim,Boutons , d'etaim,,,,Allemagne,630,0,"630,00",762,0,,,,357,10,
403,Annick Davis,Montbret 849,1752,Imports,110,Briques,Briques,,,,,Allemagne,107,10,"107,50",,,,,,249 600,18,
425,Annick Davis,Montbret 849,1752,Imports,111,Caffé ; de Moka,Caffé , de Moka,,,,Allemagne,15,0,"15,00",304 159,10,,,,249 600,18,
428,Annick Davis,Montbret 849,1752,Imports,112,Calamine,Calamine,,,,,Allemagne,,,"249 600,90",,,,,,249 600,18,
456,Annick Davis,Montbret 849,1752,Imports,113,Carpes,Carpes,,,,,Allemagne,,,"249 600,90",,,,,,249 600,18,
458,Annick Davis,Montbret 849,1752,Imports,114,Carreaux ; de terre,Carreaux , de terre,,,,Allemagne,52,8,"52,40",,,,,,249 600,18,
480,Annick Davis,Montbret 849,1752,Imports,115,Cendre ; commune,Cendre , commune,,,,Allemagne,50,0,"50,00",206 090,0,,,,249 600,18,
486,Annick Davis,Montbret 849,1752,Imports,115,Cendre ; de plomb,Cendre , de plomb,,,,Allemagne,5 651,0,"5 651,00",,,,,,249 600,18,
487,Annick Davis,Montbret 849,1752,Imports,115,Cendre ; potasse,Cendre , potasse,,,,Allemagne,11 996,0,"11 996,00",31 210,3,,,,249 600,18,
493,Annick Davis,Montbret 849,1752,Imports,115,Cercles ; de bois,Cercles , de bois,,,,Allemagne,7 373,2,"7 373,10",,,,,,11 118,16,
501,Annick Davis,Montbret 849,1752,Imports,115,Chair ; Salée,Chair , Salée,,,,Allemagne,186,8,"186,40",5 414,10,,,,11 118,16,
514,Annick Davis,Montbret 849,1752,Imports,116,Chandelle,Chandelle,,,,,Allemagne,1 636,0,"1 636,00",,,,,,11 118,16,
531,Annick Davis,Montbret 849,1752,Imports,117,Chapeaux ; de paille,Chapeaux , de paille,,,,Allemagne,198,0,"198,00",2 028,0,,,,70 852,14,
535,Annick Davis,Montbret 849,1752,Imports,117,Chapeaux ; de poil,Chapeaux , de poil,,,,Allemagne,1 800,0,"1 800,00",,,,,,70 852,14,
537,Annick Davis,Montbret 849,1752,Imports,118,Charbon ; de bois,Charbon , de bois,,,,Allemagne,86 889,5,"86 889,25",90 087,14,,,,70 852,14,
542,Annick Davis,Montbret 849,1752,Imports,118,Charbon ; de terre,Charbon , de terre,,,,Allemagne,48 761,10,"48 761,50",1 783 354,12,,,,70 852,14,
554,Annick Davis,Montbret 849,1752,Imports,118,Chaux,Chaux,,,,,Allemagne,1 192,0,"1 192,00",,,,,,70 852,14,
559,Annick Davis,Montbret 849,1752,Imports,119,Chevaux,Chevaux,,,,,Allemagne,13 420,0,"13 420,00",,,,,,70 852,14,
566,Annick Davis,Montbret 849,1752,Imports,119,Cheveux,Cheveux,,,,,Allemagne,1 780,0,"1 780,00",,,,,,20 068,5,
607,Annick Davis,Montbret 849,1752,Imports,121,Clous ; de fer,Clous , de fer,,,,Allemagne,95 156,11,"95 156,55",,,,,,20 068,5,
630,Annick Davis,Montbret 849,1752,Imports,121,Colle ; forte,Colle , forte,,,,Allemagne,1 332,12,"1 332,60",60 598,17,,,,20 068,5,
641,Annick Davis,Montbret 849,1752,Imports,122,Confitures,Confitures,,,,,Allemagne,11 860,13,"11 860,65",,,,,,20 068,5,
659,Annick Davis,Montbret 849,1752,Imports,122,Corbeilles ; d'ozier,Corbeilles , d'ozier,,,,Allemagne,940,10,"940,50",,,,,,20 068,5,
670,Annick Davis,Montbret 849,1752,Imports,123,Cordes ; à violons,Cordes , à violons,,,,Allemagne,220,0,"220,00",,,,,,20 068,5,
675,Annick Davis,Montbret 849,1752,Imports,123,Cornes ; de beuf,Cornes , de beuf,,,,Allemagne,13,0,"13,00",281,9,,,,20 068,5,
677,Annick Davis,Montbret 849,1752,Imports,123,Cornes ; de cerf,Cornes , de cerf,,,,Allemagne,37,10,"37,50",984,10,,,,125,0,
693,Annick Davis,Montbret 849,1752,Imports,124,Coton ; filé,Coton , filé,,,,Allemagne,4 881,0,"4 881,00",4 063 847,15,,,,195 999,11,
709,Annick Davis,Montbret 849,1752,Imports,124,Couperose,Couperose,,,,,Allemagne,1 442,10,"1 442,50",,,,,,195 999,11,
731,Annick Davis,Montbret 849,1752,Imports,125,Couvertures ; de plocq,Couvertures , de plocq,,,,Allemagne,11 286,0,"11 286,00",11 517,0,,,,195 999,11,
744,Annick Davis,Montbret 849,1752,Imports,126,Crin,Crin,,,,,Allemagne,2 900,5,"2 900,25",,,,,,195 999,11,
759,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de beuf ; en poil,Cuirs , de beuf , en poil,,,Allemagne,600,13,"600,65",3 019 026,5,3 445 080,15,,129 250,0,
770,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de beuf ; tannés,Cuirs , de beuf , tannés,,,Allemagne,725,10,"725,50",426 019,10,3 445 080,15,,14 101,0,
777,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de cheval ; tannés,Cuirs , de cheval , tannés,,,Allemagne,30,0,"30,00",,,,,,14 101,0,
782,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de vache ; en poil,Cuirs , de vache , en poil,,,Allemagne,432,0,"432,00",13 556,0,15 068,0,,14 101,0,
792,Annick Davis,Montbret 849,1752,Imports,128,Cuivre ; en batterie,Cuivre , en batterie,,,,Allemagne,492 427,10,"492 427,50",495 756,17,,,,14 101,0,
805,Annick Davis,Montbret 849,1752,Imports,128,Cuivre ; ouvré,Cuivre , ouvré,,,,Allemagne,4 662,15,"4 662,75",140 919,2,,,,70 911,8,
812,Annick Davis,Montbret 849,1752,Imports,128,Cuivre ; en planches,Cuivre , en planches,,,,Allemagne,13 610,12,"13 610,60",411 458,7,,,,70 911,8,
830,Annick Davis,Montbret 849,1752,Imports,129,Cuivre ; vieux,Cuivre , vieux,,,,Allemagne,8 048,14,"8 048,70",174 900,14,,,,70 911,8,
850,Annick Davis,Montbret 849,1752,Imports,130,Dentelle ; de fil ; blanc,Dentelle , de fil , blanc,,,Allemagne,542,10,"542,50",258 567,10,,,,70 911,8,
858,Annick Davis,Montbret 849,1752,Imports,131,Dragées,Dragées,,,,,Allemagne,86,5,"86,25",,,,,,70 911,8,
866,Annick Davis,Montbret 849,1752,Imports,133,Drap ; Serge ; à doubler,Drap , Serge , à doubler,,,Allemagne,21,17,"21,85",,,,,,70 911,8,
882,Annick Davis,Montbret 849,1752,Imports,134,Eau ; medecinalle ; de fleur d'oranger,Eau , medecinalle , de fleur d'oranger,,,Allemagne,3,0,"3,00",10 634,18,12 014,10,,70 911,8,
892,Annick Davis,Montbret 849,1752,Imports,135,Eau ; de vie,Eau , de vie,,,,Allemagne,79,16,"79,80",,,,,,16 209,9,
898,Annick Davis,Montbret 849,1752,Imports,136,Echalats,Echalats,,,,,Allemagne,3 420,0,"3 420,00",,,,,,16 209,9,
901,Annick Davis,Montbret 849,1752,Imports,136,Ecorce ; de chesne,Ecorce , de chesne,,,,Allemagne,938,0,"938,00",963,0,,,,16 209,9,
912,Annick Davis,Montbret 849,1752,Imports,136,Email,Email,,,,,Allemagne,45,0,"45,00",,,,,,588,1,
949,Annick Davis,Montbret 849,1752,Imports,138,Etaim ; en bloc,Etaim , en bloc,,,,Allemagne,430,8,"430,40",492 114,15,,,,588,1,
957,Annick Davis,Montbret 849,1752,Imports,138,Etaim ; ouvré,Etaim , ouvré,,,,Allemagne,3 327,12,"3 327,60",17 871,17,,,,588,1,
963,Annick Davis,Montbret 849,1752,Imports,138,Etaim ; vieux,Etaim , vieux,,,,Allemagne,51,4,"51,20",,,,,,588,1,
992,Annick Davis,Montbret 849,1752,Imports,141,Faucilles,Faucilles,,,,,Allemagne,541,10,"541,50",,,,,,588,1,
994,Annick Davis,Montbret 849,1752,Imports,141,Faulx ; à faucher,Faulx , à faucher,,,,Allemagne,390,0,"390,00",,,,,,128,0,
998,Annick Davis,Montbret 849,1752,Imports,142,Fayance,Fayance,,,,,Allemagne,31,10,"31,50",,,,,,128,0,
1 005,Annick Davis,Montbret 849,1752,Imports,142,Fer ; en barres,Fer , en barres,,,,Allemagne,177 288,8,"177 288,40",1 741 691,17,,,,525,0,
1 017,Annick Davis,Montbret 849,1752,Imports,142,Fer ; en batterie,Fer , en batterie,,,,Allemagne,468,15,"468,75",,,,,,685,0,
1 018,Annick Davis,Montbret 849,1752,Imports,142,Fer ; battu,Fer , battu,,,,Allemagne,197,5,"197,25",1 508,10,,,,685,0,
1 020,Annick Davis,Montbret 849,1752,Imports,142,Fer ; blanc,Fer , blanc,,,,Allemagne,4 090,18,"4 090,90",317 488,12,,,,28 138,5,
1 028,Annick Davis,Montbret 849,1752,Imports,142,Fer ; coulé,Fer , coulé,,,,Allemagne,16 653,2,"16 653,10",57 943,16,,,,28 138,5,
1 037,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en marmittes,Fer , en marmittes,,,,Allemagne,844,0,"844,00",,,,,,28 138,5,
1 038,Annick Davis,Montbret 849,1752,Imports,143,Fer ; noir,Fer , noir,,,,Allemagne,1 920,0,"1 920,00",55 821,0,,,,35 919,17,
1 041,Annick Davis,Montbret 849,1752,Imports,143,Fer ; ouvré,Fer , ouvré,,,,Allemagne,113,8,"113,40",18 276,7,,,,35 919,17,
1 050,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en plaques,Fer , en plaques,,,,Allemagne,122,15,"122,75",17 107,3,,,,35 919,17,
1 053,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en platines,Fer , en platines,,,,Allemagne,590,0,"590,00",3 298,0,,,,35 919,17,
1 059,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en taule,Fer , en taule,,,,Allemagne,385,5,"385,25",26 418,10,,,,109 254,15,
1 065,Annick Davis,Montbret 849,1752,Imports,143,Fer ; vieux,Fer , vieux,,,,Allemagne,2,10,"2,50",276,14,,,,109 254,15,
1 071,Annick Davis,Montbret 849,1752,Imports,144,Fèves,Fèves,,,,,Allemagne,1 920,0,"1 920,00",,,,,,109 254,15,
1 088,Annick Davis,Montbret 849,1752,Imports,144,Fil ; d'or ; fin,Fil , d'or , fin,,,Allemagne,640,0,"640,00",,,,,,16 888,10,
1 089,Annick Davis,Montbret 849,1752,Imports,144,Fil ; à coudre ; blanc,Fil , à coudre , blanc,,,Allemagne,120,0,"120,00",,,372 403,18,,16 888,10,
1 090,Annick Davis,Montbret 849,1752,Imports,144,Fil ; à coudre ; de chanvre,Fil , à coudre , de chanvre,,,Allemagne,2 544,0,"2 544,00",2 834,0,372 403,18,,16 888,10,
1 104,Annick Davis,Montbret 849,1752,Imports,145,Fil ; de chèvre,Fil , de chèvre,,,,Allemagne,7 026,0,"7 026,00",492 387,0,,,,16 888,10,
1 110,Annick Davis,Montbret 849,1752,Imports,145,Fil ; d'Etoupe,Fil , d'Etoupe,,,,Allemagne,2 014,9,"2 014,45",,,,,,16 888,10,
1 112,Annick Davis,Montbret 849,1752,Imports,145,Fil ; de lin ; blanc,Fil , de lin , blanc,,,Allemagne,233 505,0,"233 505,00",819 343,15,853 028,0,,160 008,0,
1 119,Annick Davis,Montbret 849,1752,Imports,145,Fil ; à tisserand ; dechenette,Fil , à tisserand , dechenette,,,Allemagne,400,0,"400,00",,,12 357,15,,160 008,0,
1 124,Annick Davis,Montbret 849,1752,Imports,146,Fil de fer ; divers,Fil de fer , divers,,,,Allemagne,39 234,10,"39 234,50",297 488,12,,,,38 458,18,
1 132,Annick Davis,Montbret 849,1752,Imports,146,Fil de léton ,Fil de léton ,,,,,Allemagne,221 932,11,"221 932,55",,,,,,38 458,18,
1 154,Annick Davis,Montbret 849,1752,Imports,147,Foin,Foin,,,,,Allemagne,1 610,0,"1 610,00",,,,,,38 458,18,
1 170,Annick Davis,Montbret 849,1752,Imports,148,Fromage ; commun,Fromage , commun,,,,Allemagne,1 130,2,"1 130,10",232 671,8,,,,280,0,
1 184,Annick Davis,Montbret 849,1752,Imports,148,Fruit ; cru ; divers,Fruit , cru , divers,,,Allemagne,2,10,"2,50",10 432,10,17 169,10,,280,0,
1 188,Annick Davis,Montbret 849,1752,Imports,148,Fruit ; cru ; Pommes et poires,Fruit , cru , Pommes et poires,,,Allemagne,209,0,"209,00",6 737,0,17 169,10,,17 467,3,
1 195,Annick Davis,Montbret 849,1752,Imports,149,Futailles,Futailles,,,,,Allemagne,935,0,"935,00",,,,,,17 467,3,
1 201,Annick Davis,Montbret 849,1752,Imports,149,Futaine,Futaine,,,,,Allemagne,,,"17 467,15",,,,,,17 467,3,
1 202,Annick Davis,Montbret 849,1752,Imports,149,Fuzeaux,Fuzeaux,,,,,Allemagne,,,"17 467,15",,,,,,17 467,3,
1 209,Annick Davis,Montbret 849,1752,Imports,150,Galon ; d'or ; faux,Galon , d'or , faux,,,Allemagne,1 800,0,"1 800,00",5 720,0,,,,17 467,3,
1 210,Annick Davis,Montbret 849,1752,Imports,150,Galon ; d'or ; fin,Galon , d'or , fin,,,Allemagne,3 920,0,"3 920,00",5 720,0,,,,17 467,3,
1 213,Annick Davis,Montbret 849,1752,Imports,150,Gans ; communs,Gans , communs,,,,Allemagne,600,0,"600,00",2 211,10,,,,17 467,3,
1 216,Annick Davis,Montbret 849,1752,Imports,150,Gans ; de laine,Gans , de laine,,,,Allemagne,4,4,"4,20",748,4,,,,17 467,3,
1 277,Annick Davis,Montbret 849,1752,Imports,153,Graine ; de chapelet,Graine , de chapelet,,,,Allemagne,1 338,4,"1 338,20",5 388,4,,,,272 947,10,
1 282,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de Jardin,Graine , de Jardin,,,,Allemagne,115,0,"115,00",679,8,,,,272 947,10,
1 296,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de navette,Graine , de navette,,,,Allemagne,65,12,"65,60",103,2,,,,272 947,10,
1 311,Annick Davis,Montbret 849,1752,Imports,155,Haches,Haches,,,,,Allemagne,,,"272 947,50",,,,,,272 947,10,
1 329,Annick Davis,Montbret 849,1752,Imports,156,Horlogerie ; horloges ; de bois,Horlogerie , horloges , de bois,,,Allemagne,1 368,0,"1 368,00",3 852,15,,,,272 947,10,
1 339,Annick Davis,Montbret 849,1752,Imports,156,Houblon,Houblon,,,,,Allemagne,126,0,"126,00",,,,,,272 947,10,
1 358,Annick Davis,Montbret 849,1752,Imports,157,Huile ; de navette,Huile , de navette,,,,Allemagne,5,0,"5,00",,,,,,266 225,6,
1 366,Annick Davis,Montbret 849,1752,Imports,157,Huile ; de poisson,Huile , de poisson,,,,Allemagne,182,4,"182,20",416 306,10,,,,266 225,6,
1 387,Annick Davis,Montbret 849,1752,Imports,158,Jambons,Jambons,,,,,Allemagne,768,10,"768,50",,,,,,266 225,6,
1 398,Annick Davis,Montbret 849,1752,Imports,158,Images ; de papier,Images , de papier,,,,Allemagne,408,0,"408,00",618,0,,,,2 584,16,
1 411,Annick Davis,Montbret 849,1752,Imports,159,Instrumens de musique ; divers,Instrumens de musique , divers,,,,Allemagne,6 916,0,"6 916,00",7 716,0,,,,2 584,16,
1 413,Annick Davis,Montbret 849,1752,Imports,159,Instrumens de musique ; violons,Instrumens de musique , violons,,,,Allemagne,4 201,10,"4 201,50",4 491,10,,,,8 050,0,
1 428,Annick Davis,Montbret 849,1752,Imports,160,Lacets ; de fil,Lacets , de fil,,,,Allemagne,9,0,"9,00",,,,,,21 458,0,
1 456,Annick Davis,Montbret 849,1752,Imports,161,Laine ; filée,Laine , filée,,,,Allemagne,30,0,"30,00",5 610,15,,,,11 489,17,
1 470,Annick Davis,Montbret 849,1752,Imports,161,Laine ; peignée,Laine , peignée,,,,Allemagne,1 680,0,"1 680,00",86 960,8,,,,11 489,17,
1 494,Annick Davis,Montbret 849,1752,Imports,162,Lanternes,Lanternes,,,,,Allemagne,,,"11 489,85",,,,,,11 489,17,
1 498,Annick Davis,Montbret 849,1752,Imports,162,Lattes,Lattes,,,,,Allemagne,6 104,14,"6 104,70",,,,,,11 489,17,
1 505,Annick Davis,Montbret 849,1752,Imports,163,Leton ; en feüilles,Leton , en feüilles,,,,Allemagne,1 489,12,"1 489,60",8 920,0,,,,11 489,17,
1 508,Annick Davis,Montbret 849,1752,Imports,163,Leton ; gratté,Leton , gratté,,,,Allemagne,21 737,12,"21 737,60",44 005,2,,,,11 489,17,
1 533,Annick Davis,Montbret 849,1752,Imports,164,Lin ; crü,Lin , crü,,,,Allemagne,6,0,"6,00",141 016,19,,,,670 820,15,
1 541,Annick Davis,Montbret 849,1752,Imports,164,Lin ; Peigné,Lin , Peigné,,,,Allemagne,1 237,10,"1 237,50",50 828,5,,,,670 820,15,
1 545,Annick Davis,Montbret 849,1752,Imports,164,Linge ; vieux,Linge , vieux,,,,Allemagne,595,0,"595,00",,,,,,670 820,15,
1 549,Annick Davis,Montbret 849,1752,Imports,164,Liqueurs,Liqueurs,,,,,Allemagne,6 096,10,"6 096,50",,,,,,670 820,15,
1 561,Annick Davis,Montbret 849,1752,Imports,164,Lunettes,Lunettes,,,,,Allemagne,40,0,"40,00",,,,,,670 820,15,
1 582,Annick Davis,Montbret 849,1752,Imports,165,Marbre ; brut,Marbre , brut,,,,Allemagne,205,15,"205,75",39 342,13,,,,670 820,15,
1 588,Annick Davis,Montbret 849,1752,Imports,166,Marbre ; ouvré ; divers,Marbre , ouvré , divers,,,Allemagne,114,0,"114,00",26 220,10,27 330,10,,670 820,15,
1 593,Annick Davis,Montbret 849,1752,Imports,166,Marchandises ; meslées,Marchandises , meslées,,,,Allemagne,90 325,15,"90 325,75",,,,,,1 018,0,
1 621,Annick Davis,Montbret 849,1752,Imports,167,Matelats ; de laine,Matelats , de laine,,,,Allemagne,178,0,"178,00",,,,,,1 018,0,
1 626,Annick Davis,Montbret 849,1752,Imports,167,Mercerie,Mercerie,,,,,Allemagne,1 110 120,0,"1 110 120,00",,,,,,1 018,0,
1 639,Annick Davis,Montbret 849,1752,Imports,167,Meubles,Meubles,,,,,Allemagne,467,10,"467,50",,,,,,117,10,
1 641,Annick Davis,Montbret 849,1752,Imports,167,Meules ; à éguiser,Meules , à éguiser,,,,Allemagne,2 010,0,"2 010,00",27 682,4,,,,238 653,14,
1 649,Annick Davis,Montbret 849,1752,Imports,168,Mine ; de plomb,Mine , de plomb,,,,Allemagne,12,0,"12,00",88 905,9,,,,238 653,14,
1 660,Annick Davis,Montbret 849,1752,Imports,169,morue ; verte,morue , verte,,,,Allemagne,639,0,"639,00",105 526,11,,,,238 653,14,
1 683,Annick Davis,Montbret 849,1752,Imports,170,Moutons,Moutons,,,,,Allemagne,134 550,0,"134 550,00",,,,,,238 653,14,
1 693,Annick Davis,Montbret 849,1752,Imports,171,Nacelles,Nacelles,,,,,Allemagne,,,"238 653,70",,,,,,238 653,14,
1 708,Annick Davis,Montbret 849,1752,Imports,171,Noir ; à noircir,Noir , à noircir,,,,Allemagne,21 190,0,"21 190,00",,,,,,238 653,14,
1 728,Annick Davis,Montbret 849,1752,Imports,173,Or ; et argent ; faux,Or , et argent , faux,,,Allemagne,161 575,0,"161 575,00",,,,,,238 653,14,
1 733,Annick Davis,Montbret 849,1752,Imports,173,Oreillons,Oreillons,,,,,Allemagne,1 060,0,"1 060,00",,,,,,238 653,14,
1 746,Annick Davis,Montbret 849,1752,Imports,173,Orge ; perlée,Orge , perlée,,,,Allemagne,520,0,"520,00",1 432,10,,,,238 653,14,
1 755,Annick Davis,Montbret 849,1752,Imports,174,Ozier,Ozier,,,,,Allemagne,,,"238 653,70",,,,,,238 653,14,
1 756,Annick Davis,Montbret 849,1752,Imports,174,Paille,Paille,,,,,Allemagne,,,"238 653,70",,,,,,238 653,14,
1 763,Annick Davis,Montbret 849,1752,Imports,174,Pains ; de navette,Pains , de navette,,,,Allemagne,156,13,"156,65",,,,,,238 653,14,
1 774,Annick Davis,Montbret 849,1752,Imports,175,Papier ; commun,Papier , commun,,,,Allemagne,726,0,"726,00",,,,,,238 653,14,
1 775,Annick Davis,Montbret 849,1752,Imports,175,Papier ; doré,Papier , doré,,,,Allemagne,5 790,0,"5 790,00",5 820,0,,,,238 653,14,
1 780,Annick Davis,Montbret 849,1752,Imports,175,Papier ; gris,Papier , gris,,,,Allemagne,1 143,15,"1 143,75",,,,,,238 653,14,
1 786,Annick Davis,Montbret 849,1752,Imports,175,Parchemin,Parchemin,,,,,Allemagne,180,0,"180,00",,,,,,238 653,14,
1 807,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; de chevre ; passée,Peaux , de chevre , passée,,,Allemagne,1 767,0,"1 767,00",5 239,4,27 596,15,,238 653,14,
1 810,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; de chevre ; en poil,Peaux , de chevre , en poil,,,Allemagne,1 224,0,"1 224,00",22 357,11,27 596,15,,238 653,14,
1 825,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; d'hermine,Peaux , d'hermine,,,,Allemagne,160,0,"160,00",10 563,0,,,,238 653,14,
1 830,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; de lapin,Peaux , de lapin,,,,Allemagne,210,0,"210,00",11 511,10,,,,238 653,14,
1 844,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; de loup ; cervier,Peaux , de loup , cervier,,,Allemagne,240,0,"240,00",7 804,0,8 893,0,,17 200,0,
1 856,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de mouton ; en laine,Peaux , de mouton , en laine,,,Allemagne,8 310,0,"8 310,00",13 912,16,14 783,0,,120,0,
1 859,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de mouton ; passées,Peaux , de mouton , passées,,,Allemagne,283,0,"283,00",870,4,14 783,0,,720,0,
1 875,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; de veau ; corroïées,Peaux , de veau , corroïées,,,Allemagne,6,0,"6,00",11,0,87 902,10,,720,0,
1 879,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; de veau ; en poil,Peaux , de veau , en poil,,,Allemagne,74,0,"74,00",86 915,10,87 902,10,,25 335,10,
1 891,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; de Veslin,Peaux , de Veslin,,,,Allemagne,1 746,0,"1 746,00",,,,,,25 335,10,
1 892,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; pelleterie ; aprestée,Peaux , pelleterie , aprestée,,,Allemagne,2 770,0,"2 770,00",13 955,19,114 175,19,,25 335,10,
