numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
39,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Anchois,Espagne,1993,9965,19717,livres,,,,0
40,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Anchois,Hollande,10727,27434,19717,livres,,,,0
41,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Anchois,Isles,6997,3930,19717,flacons,,,,0
42,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Anis,Suede,2649,13245,,livres,,,,0
43,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Antimoine,Hollande,5440,12125,,livres,,,,0
44,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Ardoises,Flandres,44000,1760,58839,milliers,,,,0
45,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Ardoises,Isles,14839,927.5,58839,milliers,,,,0
46,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Allemagne,40710,714,366821,marcs,,,,0
47,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Angleterre,10599,187,366821,marcs,,,,0
48,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Danemark,2166,38,366821,marcs,,,,0
49,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Espagne,68575,,366821,,,,,0
50,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Flandres,19565,343,366821,marcs,,,,0
51,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Genève,14022,246,366821,marcs,,,,0
52,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Hollande,26676,468,366821,marcs,,,,0
53,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Italie,14820,260,366821,marcs,,,,0
54,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Naples,25251,443,366821,marcs,,,,0
55,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Gènes,7410,130,366821,marcs,,,,0
56,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Nord,15675,275,366821,marcs,,,,0
57,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Portugal,7995,141,366821,marcs,,,,0
58,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Russie,12540,220,366821,marcs,,,,0
59,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Savoye,9726,146,366821,marcs,,,,0
60,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Isles,82370,1447,366821,marcs,,,,0
61,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Argenterie,Guinée,8721,152,366821,marcs,,,,0
62,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; blanches,Isles,9270,3780,960219,livres,41254,,,0
63,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; blanches,Guinée,31984,3140,960219,sabres,41254,,2 Qtités pour Guinée,1
64,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; blanches,Guinée,31984,10218,960219,livres,41254,,2 Qtités pour Guinée,2
65,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; à feu,Hollande,19330,1279,960219,fusils,918965,,,0
66,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; à feu,Isles,289817,289817,960219,livres,918965,,,0
67,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; à feu,Guinée,588268,10464,960219,fusils,918965,,2 Qtités pour Guinée,1
68,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; à feu,Guinée,588268,364609,960219,livres,918965,,2 Qtités pour Guinée,2
69,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Armes ; à feu,Indes,21550,14325,960219,livres,918965,,,0
70,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Arquifou,Genes,1513,10087,42571,livres,,,,0
71,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Arquifou,Levant,41058,273722,42571,livres,,,,0
72,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,7,Artichaux Confits,Isles,13660,34150,,livres,,,,0
73,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Avoine,Savoye,3125,62500,7099,livres,,,,0
74,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Avoine,Suisse,2625,52500,7099,livres,,,,0
75,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Avoine,Isles,1349,26980,7099,livres,,,,0
76,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Azur,Levant,2248,3748,12898,livres,,,,0
77,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Azur,Isles,10650,21300,12898,livres,,,,0
78,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Balais,Savoye,1009,3365,,livres,,,,0
79,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Barettes,Guinée,5250,3000,,en nombre,,,,0
80,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Barils vides,Guinée,10740,10740,,en nombre,,,,0
81,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de fil et coton,Allemagne,10203,1898,4014945,livres,402087,,,0
82,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de fil et coton,Espagne,20022,4004,4014945,livres,402087,,,0
83,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de fil et coton,Isles,371862,57958,4014945,livres,402087,,2 Qtités pour Isles,1
84,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de fil et coton,Isles,371862,23449,4014945,pièces,402087,,2 Qtités pour Isles,2
85,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de filozelle,Allemagne,27202,1813,4014945,livres,58316,,,0
86,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de filozelle,Espagne,31114,2377,4014945,livres,58316,,,0
87,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Allemagne,2580,430,4014945,livres,535857,,,0
88,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Angleterre,24336,676,4014945,douzaines,535857,,,0
89,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Espagne,199628,33275,4014945,livres,535857,,,0
90,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Flandres,17628,451,4014945,douzaines,535857,,,0
91,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Genève,4800,800,4014945,livres,535857,,,0
92,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Hollande,59892,9982,4014945,livres,535857,,,0
93,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Portugal,36747,6124,4014945,livres,535857,,,0
94,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Savoye,38108,6755,4014945,livres,535857,,,0
95,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Suisse,6398,1119,4014945,livres,535857,,,0
96,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de laine,Isles,145740,24290,4014945,livres,535857,,,0
97,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Allemagne,598729,12829,4014945,livres,3018685,,,0
98,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Angleterre,65075,6507,4014945,paires,3018685,,,0
99,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Danemark,4105,69,4014945,livres,3018685,,,0
100,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Espagne,1187700,28123.5,4014945,livres,3018685,,,0
101,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Flandres,114235,2284.5,4014945,livres,3018685,,,0
102,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Genève,11585,232.75,4014945,livres,3018685,,,0
103,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,9,Bas ; de soye,Hollande,157030,3066.75,4014945,livres,3018685,,,0
104,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Italie,246910,5612.5,4014945,livres,3018685,,,0
105,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Naples,66265,1641,4014945,livres,3018685,,,0
106,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Genes,6720,168,4014945,livres,3018685,,,0
107,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Nord,30075,601.5,4014945,livres,3018685,,,0
108,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Portugal,99097,1982,4014945,livres,3018685,,,0
109,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Russie,6250,125,4014945,livres,3018685,,,0
110,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Savoye,9110,203,4014945,livres,3018685,,,0
111,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Suède,2337,46.75,4014945,livres,3018685,,,0
112,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Suisse,56620,1075,4014945,livres,3018685,,,0
113,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bas ; de soye,Isles,356842,7137,4014945,livres,3018685,,,0
114,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Batteaux neufs,Flandres,8610,21,,en nombre,,,,0
115,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Baudriers,Espagne,12366,12242,,livres,,,,0
116,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bazannes tannées,Espagne,34428,2969,36719,douzaines,,,,0
117,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Bazannes tannées,Flandres,2291,45,36719,douzaines,,,,0
118,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Benjoin,Nord,3880,995,,livres,,,,0
119,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; à la daube,Isles,4116,7346,2866037,livres,,,,0
120,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; à l'écarlatte,Isles,10500,8400,2866037,livres,,,,0
121,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; fumés,Guinée,19728,23210,2866037,livres,,,,0
122,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; salés,Espagne,12087,48350,2866037,livres,1527843,,,0
123,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; salés,Suisse,1104,3155,2866037,livres,1527843,,,0
124,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; salés,Isles,1284037,25680,2866037,barils,1527843,,,0
125,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; salés,Guinée,198384,3968,2866037,barils,1527843,,,0
126,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; salés,Indes,32231,644.33,2866037,barils,1527843,,,0
127,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; en vie,Allemagne,1096640,11387,2866037,en nombre,1303850,,,0
128,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; en vie,Angleterre,1800,6,2866037,en nombre,1303850,,,0
129,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; en vie,Espagne,3360,28,2866037,en nombre,1303850,,,0
130,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; en vie,Savoye,140400,1170,2866037,en nombre,1303850,,,0
131,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beufs ; en vie,Suisse,61650,685,2866037,en nombre,1303850,,,0
132,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beurre,Allemagne,28709,58010,622812,livres,,,,0
133,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beurre,Angleterre,14854,28149,622812,livres,,,,0
134,Frédéric Duprez,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,11,Beurre,Espagne,21546,40290,622812,livres,,,,0
135,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Hollande,3610,7220,622812,livres,,,,0
136,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Italie,8919,25483,622812,livres,,,,0
137,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Portugal,15861,31724,622812,livres,,,,0
138,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Savoye,3803,8453,622812,livres,,,,0
139,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Isles,478317,807921,622812,livres,,,,0
140,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Guinée,38320,64623,622812,livres,,,,0
141,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Beurre,Indes,88730,175382,622812,livres,,,,0
142,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bière,Italie,2753,11013,47678,livres,,,,0
143,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bière,Isles,35836,1791.75,47678,barriques,,,,0
144,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bière,Indes,9089,82,47678,tonneaux,,,,0
145,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bijouteries,Flandres,2155,,89520,,,,,0
146,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bijouteries,Russie,10650,,89520,,,,,0
147,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Bijouteries,Isles,76715,,89520,,,,,0
148,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Biscuits amer,Isles,194650,1037000,355488,livres,,,,0
149,Fatima Zahra,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,13,Biscuits amer,Guinée,160838,804190,355488,livres,,,,0
