Numéro de ligne,Data entry by,Source,Year,Export-Import,Sheet,Marchandises,,,,,Pays,,Quantité,Leur valeur,,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),,Total,Remarks,Leur valeur,Deniers,Leur Valeur (sub-total 1),Deniers,Leur Valeur (sub-total 2),deniers,Total,Deniers
42,Fatima zahra,Montbret 155-43,1759,Imports,4,Amadon,,,,,Genes,,,5 434,,0,0,,14 768,,5 434,,,,,,14 767,18
43,Fatima zahra,Montbret 155-44,1759,Imports,4,Amadon,,,,,Savoye,,,2 501,,0,0,,14 768,,2 501,,,,,,14 767,18
44,Fatima zahra,Montbret 155-45,1759,Imports,4,Amandes,,,,,Espagne,,,13 195,,0,0,,19 161,,13 194,10,,,,,19 160,10
45,Fatima zahra,Montbret 155-46,1759,Imports,4,Amandes,,,,,Flandre,,,2 106,,0,0,,19 161,,2 106,,,,,,19 160,10
46,Fatima zahra,Montbret 155-47,1759,Imports,4,Amandes,,,,,Hollande,,,3 615,,0,0,,19 161,,3 615,,,,,,19 160,10
47,Fatima zahra,Montbret 155-48,1759,Imports,4,Amandes,,,,,Italie,,,60,,0,0,,19 161,,60,,,,,,19 160,10
48,Fatima zahra,Montbret 155-49,1759,Imports,4,Amandes,,,,,Genes,,,140,,0,0,,19 161,,140,,,,,,19 160,10
49,Fatima zahra,Montbret 155-50,1759,Imports,5,Amandes,,,,,Savoye,,,45,,0,0,,19 161,,45,,,,,,19 160,10
50,Fatima zahra,Montbret 155-51,1759,Imports,5,Ambre,,,,,Hollande,,,5 824,,0,0,,0,,5 824,5,,,,,,
51,Fatima zahra,Montbret 155-52,1759,Imports,5,Ameçons,,,,,Espagne,,,175,,0,0,,0,,175,,,,,,,
52,Fatima zahra,Montbret 155-53,1759,Imports,5,Amidon,,,,,Allemagne,,,720,,0,0,,28 626,,720,,,,,,28 626,5
53,Fatima zahra,Montbret 155-54,1759,Imports,5,Amidon,,,,,Espagne,,,1 950,,0,0,,28 626,,1 950,,,,,,28 626,5
54,Fatima zahra,Montbret 155-55,1759,Imports,5,Amidon,,,,,Flandre,,,310,,0,0,,28 626,,310,,,,,,28 626,5
55,Fatima zahra,Montbret 155-56,1759,Imports,5,Amidon,,,,,Hollande,,,20 490,,0,0,,28 626,,20 489,12,,,,,28 626,5
56,Fatima zahra,Montbret 155-57,1759,Imports,5,Amidon,,,,,Italie,,,160,,0,0,,28 626,,160,,,,,,28 626,5
57,Fatima zahra,Montbret 155-58,1759,Imports,5,Amidon,,,,,Nord,,,4 919,,0,0,,28 626,,4 918,13,,,,,28 626,5
58,Fatima zahra,Montbret 155-59,1759,Imports,5,Amidon,,,,,Savoye,,,78,,0,0,,28 626,,78,,,,,,28 626,5
59,Fatima zahra,Montbret 155-60,1759,Imports,5,Anchois,,,,,Espagne,,,87 400,,0,0,,87 948,,87 400,9,,,,,87 948,3
60,Fatima zahra,Montbret 155-61,1759,Imports,5,Anchois,,,,,Flandre,,,96,,0,0,,87 948,,95,14,,,,,87 948,3
61,Fatima zahra,Montbret 155-62,1759,Imports,5,Anchois,,,,,Hollande,,,92,,0,0,,87 948,,92,,,,,,87 948,3
62,Fatima zahra,Montbret 155-63,1759,Imports,5,Anchois,,,,,Genes,,,60,,0,0,,87 948,,60,,,,,,87 948,3
63,Fatima zahra,Montbret 155-64,1759,Imports,5,Anchois,,,,,Savoye,,,300,,0,0,,87 948,,300,,,,,,87 948,3
64,Fatima zahra,Montbret 155-65,1759,Imports,5,Angelique,,,,,Hollande,,,65,,0,0,,0,,64,10,,,,,,
65,Fatima zahra,Montbret 155-66,1759,Imports,5,Anis,,,,,Allemagne,,,2,,0,0,,6 656,,2,2,,,,,6 655,12
66,Fatima zahra,Montbret 155-67,1759,Imports,5,Anis,,,,,Espagne,,,6 122,,0,0,,6 656,,6 122,,,,,,6 655,12
67,Fatima zahra,Montbret 155-68,1759,Imports,5,Anis,,,,,Hollande,,,161,,0,0,,6 656,,160,10,,,,,6 655,12
68,Fatima zahra,Montbret 155-69,1759,Imports,5,Anis,,,,,Levant,,,371,,0,0,,6 656,,371,,,,,,6 655,12
69,Fatima zahra,Montbret 155-70,1759,Imports,5,Anisette,,,,,Hollande,,,12,,0,0,,0,,12,,,,,,,
70,Fatima zahra,Montbret 155-71,1759,Imports,5,Anspects,,,,,Danemark,,,150,,0,0,,0,,150,,,,,,,
71,Fatima zahra,Montbret 155-72,1759,Imports,6,Antimoine,,,,,Hollande,,,10,,0,0,,70,,9,12,,,,,69,12
72,Fatima zahra,Montbret 155-73,1759,Imports,6,Antimoine,,,,,Italie,,,60,,0,0,,70,,60,,,,,,69,12
73,Fatima zahra,Montbret 155-74,1759,Imports,6,Arbres à planter,,,,,Espagne,,,94,,0,0,,759,,94,,,,,,759,
74,Fatima zahra,Montbret 155-75,1759,Imports,6,Arbres à planter,,,,,Flandre,,,15,,0,0,,759,,15,,,,,,759,
75,Fatima zahra,Montbret 155-76,1759,Imports,6,Arbres à planter,,,,,Genes,,,600,,0,0,,759,,600,,,,,,759,
76,Fatima zahra,Montbret 155-77,1759,Imports,6,Arbres à planter,,,,,Portugal,,,50,,0,0,,759,,50,,,,,,759,
77,Fatima zahra,Montbret 155-78,1759,Imports,6,Arçcons de selle,,,,,Allemagne,,,22,,0,0,,0,,22,,,,,,,
78,Fatima zahra,Montbret 155-79,1759,Imports,6,Arcenic,,,,,Hollande,,,8 277,,0,0,,12 044,,8 276,18,,,,,12 043,15
79,Fatima zahra,Montbret 155-80,1759,Imports,6,Arcenic,,,,,Nord,,,3 767,,0,0,,12 044,,3 766,17,,,,,12 043,15
80,Fatima zahra,Montbret 155-81,1759,Imports,6,Ardoises,,,,,Allemagne,,,44 163,,0,0,,49 530,,44 162,15,,,,,49 529,15
81,Fatima zahra,Montbret 155-82,1759,Imports,6,Ardoises,,,,,Espagne,,,1 150,,0,0,,49 530,,1 150,,,,,,49 529,15
82,Fatima zahra,Montbret 155-83,1759,Imports,6,Ardoises,,,,,Flandre,,,3 950,,0,0,,49 530,,3 950,,,,,,49 529,15
83,Fatima zahra,Montbret 155-84,1759,Imports,6,Ardoises,,,,,Geneve,,,72,,0,0,,49 530,,72,,,,,,49 529,15
84,Fatima zahra,Montbret 155-85,1759,Imports,6,Ardoises,,,,,Savoye,,,195,,0,0,,49 530,,195,,,,,,49 529,15
85,Fatima zahra,Montbret 155-86,1759,Imports,6,Argent vif,,,,,Allemagne,,,18 110,,0,0,,25 747,,18 110,,,,,,25 747,
86,Fatima zahra,Montbret 155-87,1759,Imports,6,Argent vif,,,,,Flandre,,,2 900,,0,0,,25 747,,2 900,,,,,,25 747,
87,Fatima zahra,Montbret 155-88,1759,Imports,6,Argent vif,,,,,Hollande,,,4 737,,0,0,,25 747,,4 737,,,,,,25 747,
88,Fatima zahra,Montbret 155-89,1759,Imports,6,Argenterie,,,,,Allemagne,,,670,,0,0,,6 460,,669,15,,,,,6 459,15
89,Fatima zahra,Montbret 155-90,1759,Imports,6,Argenterie,,,,,Flandre,,,5 130,,0,0,,6 460,,5 130,,,,,,6 459,15
90,Fatima zahra,Montbret 155-91,1759,Imports,6,Argenterie,,,,,Geneve,,,660,,0,0,,6 460,,660,,,,,,6 459,15
91,Fatima zahra,Montbret 155-92,1759,Imports,6,Armes ; blanches ; diverses,,,,,Allemagne,,,103 952,,105 073,0,,194 101,,103 952,,105 072,10,,,194 100,10
92,Fatima zahra,Montbret 155-93,1759,Imports,6,Armes ; blanches ; diverses,,,,,Flandre,,,1 121,,105 073,0,,194 101,,1 120,10,105 072,10,,,194 100,10
93,Fatima zahra,Montbret 155-94,1759,Imports,6,Armes ; à feu ; diverses,,,,,Allemagne,,,84 570,,89 028,0,,194 101,,84 570,,89 028,,,,194 100,10
94,Fatima zahra,Montbret 155-95,1759,Imports,6,Armes ; à feu ; diverses,,,,,Flandre,,,4 458,,89 028,0,,194 101,,4 458,,89 028,,,,194 100,10
95,Fatima zahra,Montbret 155-96,1759,Imports,7,Armoires,,,,,Allemagne,,,12,,0,0,,96,,12,,,,,,96,
96,Fatima zahra,Montbret 155-97,1759,Imports,7,Armoires,,,,,Flandre,,,24,,0,0,,96,,24,,,,,,96,
97,Fatima zahra,Montbret 155-98,1759,Imports,7,Armoires,,,,,Savoye,,,60,,0,0,,96,,60,,,,,,96,
98,Fatima zahra,Montbret 155-99,1759,Imports,7,Arquifou,,,,,Espagne,,,48 237,,0,0,,71 906,,48 236,10,,,,,71 905,10
99,Fatima zahra,Montbret 155-100,1759,Imports,7,Arquifou,,,,,Hollande,,,2 790,,0,0,,71 906,,2 790,,,,,,71 905,10
100,Fatima zahra,Montbret 155-101,1759,Imports,7,Arquifou,,,,,Italie,,,1 387,,0,0,,71 906,,1 387,,,,,,71 905,10
101,Fatima zahra,Montbret 155-102,1759,Imports,7,Arquifou,,,,,Savoye,,,19 492,,0,0,,71 906,,19 492,,,,,,71 905,10
102,Fatima zahra,Montbret 155-103,1759,Imports,7,Artichaux,,,,,Savoye,,,1 130,,0,0,,0,,1 130,,,,,,,
103,Fatima zahra,Montbret 155-104,1759,Imports,7,Asnes,,,,,Espagne,,,125,,0,0,,395,,125,,,,,,395,
104,Fatima zahra,Montbret 155-105,1759,Imports,7,Asnes,,,,,Savoye,,,270,,0,0,,395,,270,,,,,,395,
105,Fatima zahra,Montbret 155-106,1759,Imports,7,Attelles de coliers,,,,,Allemagne,,,6 460,,0,0,,0,,6 460,,,,,,,
106,Fatima zahra,Montbret 155-107,1759,Imports,7,Auf,,,,,Espagne,,,5 500,,0,0,,0,,5 500,,,,,,,
107,Fatima zahra,Montbret 155-108,1759,Imports,7,Avirons,,,,,Allemagne,,,578,,0,0,,32 118,,577,16,,,,,32 117,10
108,Fatima zahra,Montbret 155-109,1759,Imports,7,Avirons,,,,,Danemark,,,121,,0,0,,32 118,,121,4,,,,,32 117,10
109,Fatima zahra,Montbret 155-110,1759,Imports,7,Avirons,,,,,Espagne,,,19 134,,0,0,,32 118,,19 133,10,,,,,32 117,10
110,Fatima zahra,Montbret 155-111,1759,Imports,7,Avirons,,,,,Hollande,,,95,,0,0,,32 118,,95,,,,,,32 117,10
111,Fatima zahra,Montbret 155-112,1759,Imports,7,Avirons,,,,,Naples,,,12 190,,0,0,,32 118,,12 190,,,,,,32 117,10
112,Fatima zahra,Montbret 155-113,1759,Imports,7,Avoine,,,,,Espagne,,,1 320,,0,0,,3 618,,1 320,,,,,,3 618,
113,Fatima zahra,Montbret 155-114,1759,Imports,7,Avoine,,,,,Flandre,,,30,,0,0,,3 618,,30,,,,,,3 618,
114,Fatima zahra,Montbret 155-115,1759,Imports,7,Avoine,,,,,Hollande,,,2 268,,0,0,,3 618,,2 268,,,,,,3 618,
115,Fatima zahra,Montbret 155-116,1759,Imports,7,Azur,,,,,Allemagne,,,3 145,,0,0,,179 544,,3 145,2,,,,,179 544,1
116,Fatima zahra,Montbret 155-117,1759,Imports,7,Azur,,,,,Espagne,,,320,,0,0,,179 544,,320,,,,,,179 544,1
117,Fatima zahra,Montbret 155-118,1759,Imports,7,Azur,,,,,Flandre,,,14 604,,0,0,,179 544,,14 603,11,,,,,179 544,1
118,Fatima zahra,Montbret 155-119,1759,Imports,7,Azur,,,,,Geneve,,,14,,0,0,,179 544,,14,8,,,,,179 544,1
119,Fatima zahra,Montbret 155-120,1759,Imports,7,Azur,,,,,Hollande,,,124 858,,0,0,,179 544,,124 858,5,,,,,179 544,1
120,Fatima zahra,Montbret 155-121,1759,Imports,7,Azur,,,,,Nord,,,35 727,,0,0,,179 544,,35 726,15,,,,,179 544,1
121,Fatima zahra,Montbret 155-122,1759,Imports,7,Azur,,,,,Savoye,,,876,,0,0,,179 544,,876,,,,,,179 544,1
122,Fatima zahra,Montbret 155-123,1759,Imports,7,Babouches,,,,,Levant,,,882,,0,0,,0,,882,,,,,,,
123,Fatima zahra,Montbret 155-124,1759,Imports,8,Baguettes de fusil,,,,,Espagne,,,600,,0,0,,3 776,,600,,,,,,3 775,12
124,Fatima zahra,Montbret 155-125,1759,Imports,8,Baguettes de fusil,,,,,Flandre,,,1 096,,0,0,,3 776,,1 095,12,,,,,3 775,12
125,Fatima zahra,Montbret 155-126,1759,Imports,8,Baguettes de fusil,,,,,Italie,,,1 080,,0,0,,3 776,,1 080,,,,,,3 775,12
126,Fatima zahra,Montbret 155-127,1759,Imports,8,Baguettes de fusil,,,,,Savoye,,,1 000,,0,0,,3 776,,1 000,,,,,,3 775,12
127,Fatima zahra,Montbret 155-128,1759,Imports,8,Balais ; de bois,,,,,Allemagne,,,279,,2 790,0,,45 028,,279,9,2 790,1,,,45 027,12
128,Fatima zahra,Montbret 155-129,1759,Imports,8,Balais ; de bois,,,,,Flandre,,,2 511,,2 790,0,,45 028,,2 510,12,2 790,1,,,45 027,12
129,Fatima zahra,Montbret 155-130,1759,Imports,8,Balais ; de bruyere,,,,,Flandre,,,12 425,,0,0,,45 028,,12 425,,,,,,45 027,12
130,Fatima zahra,Montbret 155-131,1759,Imports,8,Balais ; de jonga,,,,,Espagne,,,40,,66,0,,45 028,,40,,66,5,,,45 027,12
131,Fatima zahra,Montbret 155-132,1759,Imports,8,Balais ; de jonga,,,,,Savoye,,,26,,66,0,,45 028,,26,5,66,5,,,45 027,12
132,Fatima zahra,Montbret 155-133,1759,Imports,8,Balais ; de palmes,,,,,Espagne,,,24 353,,29 746,0,,45 028,Le total devrait être 29746 - 6,24 353,2,29 746,5,,,45 027,12
133,Fatima zahra,Montbret 155-134,1759,Imports,8,Balais ; de palmes,,,,,Italie,,,1 331,,29 746,0,,45 028,,1 331,4,29 746,5,,,45 027,12
134,Fatima zahra,Montbret 155-135,1759,Imports,8,Balais ; de palmes,,,,,Naples,,,133,,29 746,0,,45 028,,133,,29 746,5,,,45 027,12
135,Fatima zahra,Montbret 155-136,1759,Imports,8,Balais ; de palmes,,,,,Genes,,,2 008,,29 746,0,,45 028,,2 008,,29 746,5,,,45 027,12
136,Fatima zahra,Montbret 155-137,1759,Imports,8,Balais ; de palmes,,,,,Savoye,,,1 921,,29 746,0,,45 028,,1 921,,29 746,5,,,45 027,12
137,Fatima zahra,Montbret 155-138,1759,Imports,8,Baleine ; coupée,,,,,Allemagne,,,5 613,,267 250,0,,481 533,,5 612,10,267 250,7,,,481 532,17
138,Fatima zahra,Montbret 155-139,1759,Imports,8,Baleine ; coupée,,,,,Flandre,,,17 357,,267 250,0,,481 533,,17 357,7,267 250,7,,,481 532,17
139,Fatima zahra,Montbret 155-140,1759,Imports,8,Baleine ; coupée,,,,,Hollande,,,237 061,,267 250,0,,481 533,,237 060,10,267 250,7,,,481 532,17
140,Fatima zahra,Montbret 155-141,1759,Imports,8,Baleine ; coupée,,,,,Italie,,,1 300,,267 250,0,,481 533,,1 300,,267 250,7,,,481 532,17
141,Fatima zahra,Montbret 155-142,1759,Imports,8,Baleine ; coupée,,,,,Portugal,,,5 920,,267 250,0,,481 533,,5 920,,267 250,7,,,481 532,17
142,Fatima zahra,Montbret 155-143,1759,Imports,8,Baleine ; en fanon,,,,,Flandre,,,1 375,,214 283,0,,481 533,,1 375,,214 282,10,,,481 532,17
143,Fatima zahra,Montbret 155-144,1759,Imports,8,Baleine ; en fanon,,,,,Hollande,,,201 095,,214 283,0,,481 533,,201 095,,214 282,10,,,481 532,17
144,Fatima zahra,Montbret 155-145,1759,Imports,8,Baleine ; en fanon,,,,,Portugal,,,11 813,,214 283,0,,481 533,,11 812,10,214 282,10,,,481 532,17
145,Fatima zahra,Montbret 155-146,1759,Imports,8,Balles à jouer,,,,,Flandre,,,14,,0,0,,0,,14,8,,,,,,
146,Fatima zahra,Montbret 155-147,1759,Imports,8,Barils vuides,,,,,Hollande,,,33,,0,0,,0,,32,10,,,,,,
147,Fatima zahra,Montbret 155-148,1759,Imports,9,Barres ; d'anspects,,,,,Hollande,,,308,,0,0,,6 286,,307,10,,,,,6 285,10
148,Fatima zahra,Montbret 155-149,1759,Imports,9,Barres ; de bois,,,,,Genes,,,186,,236,0,,6 286,,186,,236,,,,6 285,10
149,Fatima zahra,Montbret 155-150,1759,Imports,9,Barres ; de bois,,,,,Savoye,,,50,,236,0,,6 286,,50,,236,,,,6 285,10
150,Fatima zahra,Montbret 155-151,1759,Imports,9,Barres ; de cabestan,,,,,Italie,,,1 950,,5 742,0,,6 286,,1 950,,5 742,,,,6 285,10
151,Fatima zahra,Montbret 155-152,1759,Imports,9,Barres ; de cabestan,,,,,Genes,,,3 792,,5 742,0,,6 286,,3 792,,5 742,,,,6 285,10
152,Fatima zahra,Montbret 155-153,1759,Imports,9,Baromettre,,,,,Savoye,,,50,,0,0,,0,,50,,,,,,,
153,Fatima zahra,Montbret 155-154,1759,Imports,9,Bas ; de coton,,,,,Allemagne,,,54,,73 973,0,,271 982,,54,,73 973,,,,271 982,
154,Fatima zahra,Montbret 155-155,1759,Imports,9,Bas ; de coton,,,,,Flandre,,,24,,73 973,0,,271 982,,24,,73 973,,,,271 982,
155,Fatima zahra,Montbret 155-156,1759,Imports,9,Bas ; de coton,,,,,Naples,,,1 000,,73 973,0,,271 982,,1 000,,73 973,,,,271 982,
156,Fatima zahra,Montbret 155-157,1759,Imports,9,Bas ; de coton,,,,,Genes,,,3 600,,73 973,0,,271 982,,3 600,,73 973,,,,271 982,
157,Fatima zahra,Montbret 155-158,1759,Imports,9,Bas ; de coton,,,,,Levant,,,62 925,,73 973,0,,271 982,,62 925,,73 973,,,,271 982,
158,Fatima zahra,Montbret 155-159,1759,Imports,9,Bas ; de coton,,,,,Savoye,,,6 010,,73 973,0,,271 982,,6 010,,73 973,,,,271 982,
159,Fatima zahra,Montbret 155-160,1759,Imports,9,Bas ; de coton,,,,,Suisse,,,360,,73 973,0,,271 982,,360,,73 973,,,,271 982,
160,Fatima zahra,Montbret 155-161,1759,Imports,9,Bas ; d'estames,,,,,Espagne,,,72,,0,0,,271 982,,72,,,,,,271 982,
161,Fatima zahra,Montbret 155-162,1759,Imports,9,Bas ; de fil,,,,,Allemagne,,,162,,30 212,0,,271 982,,162,,30 212,5,,,271 982,
162,Fatima zahra,Montbret 155-163,1759,Imports,9,Bas ; de fil,,,,,Espagne,,,186,,30 212,0,,271 982,,186,5,30 212,5,,,271 982,
163,Fatima zahra,Montbret 155-164,1759,Imports,9,Bas ; de fil,,,,,Flandre,,,2 344,,30 212,0,,271 982,,2 344,,30 212,5,,,271 982,
164,Fatima zahra,Montbret 155-165,1759,Imports,9,Bas ; de fil,,,,,Genes,,,23 590,,30 212,0,,271 982,,23 590,,30 212,5,,,271 982,
165,Fatima zahra,Montbret 155-166,1759,Imports,9,Bas ; de fil,,,,,Savoye,,,3 930,,30 212,0,,271 982,,3 930,,30 212,5,,,271 982,
166,Fatima zahra,Montbret 155-167,1759,Imports,9,Bas ; fil et coton,,,,,Geneve,,,10 968,,24 014,0,,271 982,,10 968,,24 014,5,,,271 982,
167,Fatima zahra,Montbret 155-168,1759,Imports,9,Bas ; fil et coton,,,,,Suisse,,,13 046,,24 014,0,,271 982,,13 046,5,24 014,5,,,271 982,
168,Fatima zahra,Montbret 155-169,1759,Imports,9,Bas ; de filozelle,,,,,Genes,,,59 392,,0,0,,271 982,,59 392,,,,,,271 982,
169,Fatima zahra,Montbret 155-170,1759,Imports,9,Bas ; de laine,,,,,Allemagne,,,168,,43 987,0,,271 982,,168,,43 987,,,,271 982,
170,Fatima zahra,Montbret 155-171,1759,Imports,9,Bas ; de laine,,,,,Espagne,,,2 323,,43 987,0,,271 982,,2 323,,43 987,,,,271 982,
171,Fatima zahra,Montbret 155-172,1759,Imports,9,Bas ; de laine,,,,,Hollande,,,1 296,,43 987,0,,271 982,,1 296,,43 987,,,,271 982,
172,Fatima zahra,Montbret 155-173,1759,Imports,10,Bas ; de laine,,,,,Genes,,,34 020,,43 987,0,,271 982,,34 020,,43 987,,,,271 982,
173,Fatima zahra,Montbret 155-174,1759,Imports,10,Bas ; de laine,,,,,Portugal,,,3 780,,43 987,0,,271 982,,3 780,,43 987,,,,271 982,
174,Fatima zahra,Montbret 155-175,1759,Imports,10,Bas ; de laine,,,,,Savoye,,,2 400,,43 987,0,,271 982,,2 400,,43 987,,,,271 982,
175,Fatima zahra,Montbret 155-176,1759,Imports,10,Bas ; de soye,,,,,Espagne,,,332,,40 332,0,,271 982,,331,10,40 331,10,,,271 982,
176,Fatima zahra,Montbret 155-177,1759,Imports,10,Bas ; de soye,,,,,Genes,,,40 000,,40 332,0,,271 982,,40 000,,40 331,10,,,271 982,
177,Fatima zahra,Montbret 155-178,1759,Imports,10,Batanonis,,,,,Levant,,,10 200,,0,0,,0,,10 200,,,,,,,
178,Fatima zahra,Montbret 155-179,1759,Imports,10,Batoirs,,,,,Allemagne,,,160,,0,0,,0,,160,,,,,,,
179,Fatima zahra,Montbret 155-180,1759,Imports,10,Batons vernis,,,,,Hollande,,,54,,0,0,,279,,54,,,,,,279,
180,Fatima zahra,Montbret 155-181,1759,Imports,10,Batons vernis,,,,,Nord,,,200,,0,0,,279,,200,,,,,,279,
181,Fatima zahra,Montbret 155-182,1759,Imports,10,Batons vernis,,,,,Savoye,,,25,,0,0,,279,,25,,,,,,279,
182,Fatima zahra,Montbret 155-183,1759,Imports,10,Batteaux neufs,,,,,Espagne,,,3 800,,0,0,,0,,3 800,,,,,,,
183,Fatima zahra,Montbret 155-184,1759,Imports,10,Baume,,,,,Espagne,,,156,,0,0,,24 215,,156,,,,,,24 214,10
184,Fatima zahra,Montbret 155-185,1759,Imports,10,Baume,,,,,Hollande,,,4 053,,0,0,,24 215,,4 052,10,,,,,24 214,10
