Nom opérateur/trice,Cote du document source,Année,N° de page du PDF,Exportations/Importations,Pays d'origine,Familles de marchandises,Nom de la marchandise,Quantités marchandises,Unité de compte/quantités,Prix unitaire,Unité de compte,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Valeur en décimale de Lt,Unité de compte,Total ,Unité de compte,Remarques
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Suisse,,Acier,,,,,"1 083,00",5,,"1083,25",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Hollande,,Agarie,,,,,"771,00",,,771,,"1101,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Savoye,,Agarie,,,,,"330,00",,,330,,"1101,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Allemagne,,Agneaux,,,,,"287,00",,,287,,"287,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Levant,,Ajamis,,,,,"309 834,00",,,309834,,"309834,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Allemagne,,Aiguilles,,,,,"368 090,00",,,368090,,"390305,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Flandre,,Aiguilles,,,,,"22 122,00",10,,"22122,5",,"390305,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Hollande,,Aiguilles,,,,,"18,00",,,18,,"390305,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Savoye,,Aiguilles,,,,,"75,00",,,75,,"390305,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Espagne,,Ails,,,,,"3 980,00",3,,"3980,15",,"5707,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Italie,,Ails,,,,,"7,00",10,,"7,5",,"5707,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Gènes,,Ails,,,,,"1 720,00",,,1720,,"5707,65",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Acier,,,,,"2 154,00",,,2154,,"4464,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Isles,,Acier,,,,,"420,00",,,420,,"4464,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Acier,,,,,"35,00",,,35,,"4464,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Suisse,,Acier,,,,,"1 855,00",,,1855,,"4464,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Gènes,,Agarie,,,,,"600,00",,,600,,"600,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Allemagne,,Agneaux,,,,,"607,00",,,607,,"620,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Agneaux,,,,,"9,00",,,9,,"620,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Agneaux,,,,,"4,00",,,4,,"620,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Allemagne,,Agréments ; de soye,,,,,"15,00",,,15,,"2841,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Flandre,,Agréments ; de soye,,,,,"2 814,00",,,2814,,"2841,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Agréments ; de soye,,,,,"12,00",,,12,,"2841,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Ajamis,,,,,"21 366,00",,,21366,,"57906,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Italie,,Ajamis,,,,,"25 578,00",,,25578,,"57906,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Naples,,Ajamis,,,,,"2 925,00",,,2925,,"57906,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Levant,,Ajamis,,,,,"1 008,00",,,1008,,"57906,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Ajamis,,,,,"7 029,00",,,7029,,"57906,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Aiguilles,,,,,"1 200,00",,,1200,,"1270,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Flandre,,Aiguilles,,,,,"70,00",,,70,,"1270,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Levant,,Alaya,,,,,"6 148,00",,,6148,,"6148,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Aloës,,,,,"6 567,00","5,00",,"6567,25",,"6567,25",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Espagne,,Alpargattes,,,,,"99,00",,,99,,"99,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Alumettes,,,,,"1 083,00",,,1083,,"1083,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Allemagne,,Alun,,,,,"36 830,00",14,,"36830,7",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Espagne,,Alun,,,,,"16 861,00",2,,"16861,1",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Flandre,,Alun,,,,,"122,00",7,,"122,35",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Alun,,,,,"72 022,00",10,,"72022,5",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Italie,,Alun,,,,,"148 422,00",,,148422,,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Gènes,,Alun,,,,,"1 305,00",,,1305,,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Nord,,Alun,,,,,"19 170,00",5,,"19170,25",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Suède,,Alun,,,,,"19 117,00",10,,"19117,5",,"313851,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Allemagne,,Amadou,,,,,"7 114,00",15,,"7114,75",,"11297,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Italie,,Amadou,,,,,"147,00",,,147,,"11297,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Gènes,,Amadou,,,,,"3 966,00",,,3966,,"11297,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Savoye,,Amadou,,,,,"70,00",,,70,,"11297,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Allemagne,,Amandes,,,,,"30,00",,,30,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Espagne,,Amandes,,,,,"13 584,00",,,13584,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Flandre,,Amandes,,,,,"5 745,00",,,5745,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Amandes,,,,,"21 220,00",,,21220,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Italie,,Amandes,,,,,"13,00",,,13,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Naples,,Amandes,,,,,"3 800,00",,,3800,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Gènes,,Amandes,,,,,"1 222,00",,,1222,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Portugal,,Amandes,,,,,"520,00",8,,"520,4",,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Savoye,,Amandes,,,,,"20,00",,,20,,"46154,40",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Ambre,,,,,"1 487,00",5,,"1487,25",,"1487,25",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Espagne,,Ameçons,,,,,"825,00",,,825,,"825,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Allemagne,,Amidon,,,,,"1 700,00",,,1700,,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Espagne,,Amidon,,,,,"13 290,00",,,13290,,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Flandre,,Amidon,,,,,"10 986,00",4,,"10986,2",,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Importations,Hollande,,Amidon,,,,,"21 777,00",3,,"21777,15",,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Ajustements,,,,,"10 323,00",,,10323,,"10323,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Alun,,,,,"2 264,00",,,2264,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Alun,,,,,"119,00",,,119,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Hollande,,Alun,,,,,"2 000,00",,,2000,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Gènes,,Alun,,,,,"600,00",,,600,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Levant,,Alun,,,,,"8 863,00",,,8863,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Nord,,Alun,,,,,"2 034,00",,,2034,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Savoye,,Alun,,,,,"2 246,00",10,,"2246,5",,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Suède,,Alun,,,,,"460,00",,,460,,"18586,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Amandes,,,,,"680,00",2,,"680,1",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Amandes,,,,,"1 137,00",,,1137,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Amandes,,,,,"10,00",,,10,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Genève,,Amandes,,,,,"328,00",15,,"328,75",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Hollande,,Amandes,,,,,"41 605,00",2,,"41605,1",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Isles,,Amandes,,,,,"12 265,00",,,12265,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Italie,,Amandes,,,,,"22 316,00",10,,"22316,5",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Naples,,Amandes,,,,,"11 549,00",,,11549,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Gènes,,Amandes,,,,,"47 375,00",,,47375,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Levant,,Amandes,,,,,"25 840,00",,,25840,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Nord,,Amandes,,,,,"101 323,00",,,101323,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Savoye,,Amandes,,,,,"58 978,00",10,,"58978,5",,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Suède,,Amandes,,,,,"12 735,00",,,12735,,"336142,95",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Allemagne,,Amidon,,,,,"1 522,00",,,1522,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Danemark,,Amidon,,,,,"10,00",,,10,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Espagne,,Amidon,,,,,"1 195,00",,,1195,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Flandre,,Amidon,,,,,"28 393,00",,,28393,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,3,Exportations,Genève,,Amidon,,,,,"521,00",,,521,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Nord,,Amidon,,,,,"310 052,00",6,,"310052,3",,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Savoye,,Amidon,,,,,"10,00",0,,10,,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Suède,,Amidon,,,,,"136,00",4,,"136,2",,"78951,85",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Espagne,,Anchoix,,,,,"35 817,00",4,,"35817,2",,"38561,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Flandre,,Anchoix,,,,,"198,00",,,198,,"38561,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Italie,,Anchoix,,,,,"1 328,00",,,1328,,"38561,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Savoye,,Anchoix,,,,,"1 218,00",,,1218,,"38561,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Allemagne,,Andouilles,,,,,"3,00",15,,"3,75",,"3,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Hollande,,Angélique,,,,,"195,00",,,195,,"195,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Gènes,,Anguilles,,,,,"30,00",,,30,,"30,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Angleterre,,Anis,,,,,"120,00",,,120,,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Espagne,,Anis,,,,,"8 855,00",15,,"8855,75",,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Flandre,,Anis,,,,,"138,00",,,138,,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Hollande,,Anis,,,,,"38,00",15,,"38,75",,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Italie,,Anis,,,,,"640,00",,,640,,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Levant,,Anis,,,,,"1 224,00",,,1224,,"110016,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Nord,,Anspects,,,,,"169,00",,,169,,"169,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Hollande,,Antimoine,,,,,"565,00",,,565,,"565,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Flandre,,Arbres ; à planter ,,,,,"6,00",,,6,,"7155,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Italie,,Arbres ; à planter ,,,,,"750,00",,,750,,"7155,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Gènes,,Arbres ; à planter ,,,,,"6 350,00",,,6350,,"7155,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Savoye,,Arbres ; à planter ,,,,,"49,00",,,49,,"7155,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Angleterre,,Arcenic,,,,,"83,00",4,,"83,2",,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Flandre,,Arcenic,,,,,"258,00",,,258,,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Hollande,,Arcenic,,,,,"5 532,00",8,,"5532,4",,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Italie,,Arcenic,,,,,"112,00",,,112,,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Gènes,,Arcenic,,,,,"140,00",,,140,,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Importations,Nord,,Arcenic,,,,,"1 058,00",2,,"1058,1",,"7183,70",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Amidon,,,,,"875,00",,,875,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Gènes,,Amidon,,,,,"40,00",,,40,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Levant,,Amidon,,,,,"46,00",,,46,,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Amidon,,,,,"626,00",4,,"626,2",,"33228,20",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Allemagne,,Anchoix,,,,,"142,00",10,,"142,5",,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Anchoix,,,,,"207,00",16,,"207,8",,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Anchoix,,,,,"4 277,00",4,,"4277,2",,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Isles,,Anchoix,,,,,"80,00",,,80,,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Gènes,,Anchoix,,,,,"39,00",,,39,,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Anchoix,,,,,"50,00",,,50,,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Suède,,Anchoix,,,,,"8,00",,,8,,"4804,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Anguilles,,,,,"48,00",15,,"48,75",,"372,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Anguilles,,,,,"324,00",,,324,,"372,75",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Allemagne,,Anis,,,,,"652,00",16,,"652,8",,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Anis,,,,,"828,00",,,828,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Anis,,,,,"6,00",5,,"6,25",,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Anis,,,,,"3 310,00",,,3310,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Anis,,,,,"611,00",,,611,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Suisse,,Anis,,,,,"25,00",,,25,,"5433,05",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Antimoine,,,,,"30,00",,,30,,"258,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Italie,,Antimoine,,,,,"180,00",,,180,,"258,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Antimoine,,,,,"48,00",,,48,,"258,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Angleterre,,Arbres ; à planter ,,,,,"72,00",,,72,,"1021,80",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Danemark,,Arbres ; à planter ,,,,,"95,00",,,95,,"1021,80",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Espagne,,Arbres ; à planter ,,,,,"323,00",,,323,,"1021,80",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Flandre,,Arbres ; à planter ,,,,,"507,00",16,,"507,8",,"1021,80",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Hollande,,Arbres ; à planter ,,,,,"24,00",,,24,,"1021,80",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,4,Exportations,Savoye,,Arcenic,,,,,"40,00",,,40,,"40,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Allemagne,,Acons ; de selle,,,,,"27,00",,,27,,"147,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Gènes,,Acons ; de selle,,,,,"120,00",,,120,,"147,00",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Allemagne,,Ardoises,,,,,"53 890,00",,,53890,,"62402,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Espagne,,Ardoises,,,,,"1 300,00",,,1300,,"62402,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Flandre,,Ardoises,,,,,"7 212,00",10,,"7212,5",,"62402,50",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,5,Importations,Flandre,,Argent ; faux,,,,,"515,00",,,515,,"515,00",,
